# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 03:14:18 2025
#                        
# Element                            : Fr
# Z                                  : 87
# A                                  : 227
# I                                  : 0
# Half-life                   [min. ]: 2.47 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.461333E+01 
# Emax2 (background)             [eV]: 1.000000E+02 
# Number of resonances (<Emax)       : 40
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 5.867610E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.507100E+03 
# MACS 30 keV (calculated)       [b.]: 3.134800E-01
# Westcott factor (calculated)       : 9.924400E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 8.739000E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.232070E+02 
#
# Thermal  (n,f) xs              [b.]: 7.958220E-03 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 1.989830E-01
#
# Scattering radius              [fm]: 8.09 +/- 8.09 
#
# Average Gtotal   l=0           [eV]: 2.523980E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.230860E-04 
# Average Gg       l=0           [eV]: 2.414480E-02 
# Average level spacing D0 (l=0) [eV]: 9.116040E-01 
# Neutron strength function S0 (l=0) : 2.756560E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.597500E+01      5.195000E-03     0       +0.00      1.995160E-03    3.600000E-05    2.431917E-02    1.736700E-02    +3.283941E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -2.433130E+01      4.866000E-03     0       +0.00      6.101924E-06    0.000000E+00    2.431917E-02    1.736700E-02    +3.283941E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.578900E+01      3.158000E-03     0       +0.00      2.949521E-03    5.300000E-05    2.431917E-02    1.736700E-02    +3.283941E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.175778E+01      2.352000E-03     0       +0.00      6.075521E-03    1.080000E-04    2.431917E-02    1.736700E-02    +3.283941E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -8.512964E+00      1.703000E-03     0       +0.00      2.243042E-04    4.000000E-06    2.431917E-02    1.736700E-02    +3.283941E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -8.435160E+00      1.687000E-03     0       +0.00      2.671776E-03    4.800000E-05    2.431917E-02    1.736700E-02    +3.283941E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -7.315454E+00      1.463000E-03     0       +0.00      4.678491E-04    8.000000E-06    2.431917E-02    1.736700E-02    +3.283941E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -6.254808E+00      1.251000E-03     0       +0.00      1.910790E-03    3.400000E-05    2.431917E-02    1.736700E-02    +3.283941E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -3.528467E+00      7.060000E-04     0       +0.00      1.027426E-05    0.000000E+00    2.431917E-02    1.736700E-02    +3.283941E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -2.032786E+00      4.070000E-04     0       +0.00      5.188286E-03    9.300000E-05    2.431917E-02    1.736700E-02    +3.283941E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.474373E+00      2.950000E-04     0       +1.00      1.248134E-04    2.000000E-06    2.414482E-02    1.724300E-02    +3.283941E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -4.557898E-01      9.100000E-05     0       +1.00      2.297554E-05    0.000000E+00    2.414482E-02    1.724300E-02    +3.283941E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.474373E+00      2.950000E-04     0       +1.00      8.703378E-05    2.000000E-06    2.414482E-02    1.724300E-02    +3.283941E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.615894E+00      3.230000E-04     0       +1.00      3.626147E-04    6.000000E-06    2.414482E-02    1.724300E-02    +3.283941E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
