# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 22:38:52 2025
#                        
# Element                            : Gd
# Z                                  : 64
# A                                  : 141
# I                                  : 0
# Half-life                   [sec. ]: 14 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.305496E+01 
# Emax2 (background)             [eV]: 1.043900E+02 
# Number of resonances (<Emax)       : 93
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.190210E+02 
# Ress Int. (n,g) (systematics)  [b.]: 7.827340E+02 
# MACS 30 keV (calculated)       [b.]: 4.444000E+00
# Westcott factor (calculated)       : 1.115000E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.916200E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.897870E+01 
#
# Scattering radius              [fm]: 6.91 +/- 6.91 
#
# Average Gtotal   l=0           [eV]: 1.927590E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.055920E-06 
# Average Gg       l=0           [eV]: 1.927530E-01 
# Average level spacing D0 (l=0) [eV]: 1.535880E-01 
# Neutron strength function S0 (l=0) : 8.772170E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.059794E+00      6.120000E-04     0       +0.00      1.261856E-05    0.000000E+00    1.935406E-01    7.945300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.516421E+00      5.030000E-04     0       +0.00      2.082750E-07    0.000000E+00    1.935406E-01    7.945300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.598753E+00      3.200000E-04     0       +0.00      3.638912E-07    0.000000E+00    1.935406E-01    7.945300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.060160E+00      2.120000E-04     0       +0.00      1.681442E-05    0.000000E+00    1.935406E-01    7.945300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.837523E-01      1.370000E-04     0       +0.00      5.039974E-05    1.000000E-06    1.935406E-01    7.945300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.496535E-01      7.000000E-05     0       +0.00      5.636139E-07    0.000000E+00    1.935406E-01    7.945300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.736217E-01      3.500000E-05     0       +0.00      2.663973E-09    0.000000E+00    1.935406E-01    7.945300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.736217E-01      3.500000E-05     0       +0.00      4.784603E-06    0.000000E+00    1.935406E-01    7.945300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.187224E-01      1.240000E-04     0       +0.00      7.325482E-06    0.000000E+00    1.935406E-01    7.945300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.143459E-01      1.830000E-04     0       +0.00      3.243963E-06    0.000000E+00    1.935406E-01    7.945300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
