# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 22:33:00 2025
#                        
# Element                            : Gd
# Z                                  : 64
# A                                  : 144
# I                                  : 0
# Half-life                   [min. ]: 4.47 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.832905E+01 
# Emax2 (background)             [eV]: 1.927410E+02 
# Number of resonances (<Emax)       : 67
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 8.591360E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.064100E+03 
# MACS 30 keV (calculated)       [b.]: 4.675200E+00
# Westcott factor (calculated)       : 9.709600E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 5.927330E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.373740E+01 
#
# Scattering radius              [fm]: 6.96 +/- 6.96 
#
# Average Gtotal   l=0           [eV]: 1.065100E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 8.737840E-06 
# Average Gg       l=0           [eV]: 1.064790E-01 
# Average level spacing D0 (l=0) [eV]: 4.496670E-01 
# Neutron strength function S0 (l=0) : 1.974020E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.480680E-01      1.500000E-04     0       +0.50      2.821246E-05    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -5.042975E-01      1.010000E-04     0       +0.50      4.505089E-06    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.414893E-01      2.800000E-05     0       +0.50      7.325533E-07    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.480680E-01      1.500000E-04     0       +0.50      2.742862E-06    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.144332E+00      2.290000E-04     0       +0.50      2.102485E-05    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.746829E+00      3.490000E-04     0       +0.50      1.072882E-04    1.000000E-06    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.908614E+00      3.820000E-04     0       +0.50      9.090138E-06    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.583342E+00      7.170000E-04     0       +0.50      1.218068E-05    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.704658E+00      7.410000E-04     0       +0.50      1.549253E-05    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.289507E+00      8.580000E-04     0       +0.50      2.893897E-08    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.302177E+00      8.600000E-04     0       +0.50      6.233402E-06    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.224038E+00      1.045000E-03     0       +0.50      8.407085E-07    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.686441E+00      1.137000E-03     0       +0.50      2.802864E-07    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.282880E+00      1.257000E-03     0       +0.50      1.785051E-05    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.755086E+00      1.351000E-03     0       +0.50      3.096717E-06    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.194530E+00      1.439000E-03     0       +0.50      1.644584E-06    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.997532E+00      1.600000E-03     0       +0.50      1.843490E-05    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.462667E+00      1.693000E-03     0       +0.50      3.010106E-05    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.983874E+00      1.797000E-03     0       +0.50      7.571332E-06    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.012645E+01      2.025000E-03     0       +0.50      1.626663E-05    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.016427E+01      2.033000E-03     0       +0.50      2.879384E-05    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.028626E+01      2.057000E-03     0       +0.50      8.230680E-10    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.037106E+01      2.074000E-03     0       +0.50      5.081283E-07    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.111402E+01      2.223000E-03     0       +0.50      4.382011E-05    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.147001E+01      2.294000E-03     0       +0.50      2.321991E-05    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.187287E+01      2.375000E-03     0       +0.50      2.203468E-05    0.000000E+00    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.266296E+01      2.533000E-03     0       +0.50      1.042835E-04    1.000000E-06    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.289409E+01      2.579000E-03     0       +0.50      6.897704E-05    1.000000E-06    1.064791E-01    4.455600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
