# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 01:02:09 2025
#                        
# Element                            : Hf
# Z                                  : 72
# A                                  : 158
# I                                  : 0
# Half-life                   [sec. ]: 2.85 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.481324E+01 
# Emax2 (background)             [eV]: 2.163270E+02 
# Number of resonances (<Emax)       : 60
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 7.053800E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.140580E+03 
# MACS 30 keV (calculated)       [b.]: 2.514400E+00
# Westcott factor (calculated)       : 1.006640E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.614630E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.023840E+01 
#
# Scattering radius              [fm]: 7.18 +/- 7.18 
#
# Average Gtotal   l=0           [eV]: 9.648390E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.204260E-05 
# Average Gg       l=0           [eV]: 9.630260E-02 
# Average level spacing D0 (l=0) [eV]: 1.054100E+00 
# Neutron strength function S0 (l=0) : 4.065180E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -8.446299E+00      1.689000E-03     0       +0.50      1.081489E-04    1.000000E-06    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.604197E+00      1.521000E-03     0       +0.50      6.983675E-05    1.000000E-06    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.843317E+00      1.369000E-03     0       +0.50      4.719034E-05    0.000000E+00    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.178659E+00      1.036000E-03     0       +0.50      1.095097E-04    1.000000E-06    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.037043E+00      4.070000E-04     0       +0.50      9.548023E-05    1.000000E-06    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.885794E+00      3.770000E-04     0       +0.50      1.655760E-04    2.000000E-06    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.574671E+00      3.150000E-04     0       +0.50      4.042978E-07    0.000000E+00    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.632592E+00      3.270000E-04     0       +0.50      1.650931E-04    2.000000E-06    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.885794E+00      3.770000E-04     0       +0.50      5.852552E-05    1.000000E-06    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.986824E+00      3.970000E-04     0       +0.50      1.425363E-04    1.000000E-06    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.251940E+00      4.500000E-04     0       +0.50      6.726423E-05    1.000000E-06    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.006997E+00      6.010000E-04     0       +0.50      1.016617E-04    1.000000E-06    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.082745E+00      8.170000E-04     0       +0.50      5.352871E-04    5.000000E-06    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.705628E+00      9.410000E-04     0       +0.50      3.355554E-05    0.000000E+00    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.763617E+00      1.353000E-03     0       +0.50      5.134825E-06    0.000000E+00    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.203137E+00      1.841000E-03     0       +0.50      1.086017E-05    0.000000E+00    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.264548E+00      1.853000E-03     0       +0.50      1.156763E-04    1.000000E-06    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.219000E+01      2.438000E-03     0       +0.50      1.696013E-04    2.000000E-06    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.336664E+01      2.673000E-03     0       +0.50      1.101973E-03    1.100000E-05    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.425784E+01      2.852000E-03     0       +0.50      1.637285E-04    2.000000E-06    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.599862E+01      3.200000E-03     0       +0.50      3.894794E-05    0.000000E+00    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.619540E+01      3.239000E-03     0       +0.50      7.202918E-06    0.000000E+00    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.638165E+01      3.276000E-03     0       +0.50      2.793320E-06    0.000000E+00    9.630261E-02    3.943200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
