# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:58:57 2025
#                        
# Element                            : Hf
# Z                                  : 72
# A                                  : 160
# I                                  : 0
# Half-life                   [sec. ]: 13.6 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.933833E+01 
# Emax2 (background)             [eV]: 2.410100E+02 
# Number of resonances (<Emax)       : 94
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 7.826530E+01 
# Ress Int. (n,g) (systematics)  [b.]: 9.342120E+02 
# MACS 30 keV (calculated)       [b.]: 3.138200E+00
# Westcott factor (calculated)       : 9.943900E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.138320E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.011710E+01 
#
# Scattering radius              [fm]: 7.21 +/- 7.21 
#
# Average Gtotal   l=0           [eV]: 8.210670E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.980760E-05 
# Average Gg       l=0           [eV]: 8.195350E-02 
# Average level spacing D0 (l=0) [eV]: 6.667230E-01 
# Neutron strength function S0 (l=0) : 4.521000E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.291086E+00      4.580000E-04     0       +0.50      1.063564E-04    1.000000E-06    8.195350E-02    3.386900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.951990E+00      3.900000E-04     0       +0.50      1.096573E-05    0.000000E+00    8.195350E-02    3.386900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.897639E+00      3.800000E-04     0       +0.50      9.529662E-07    0.000000E+00    8.195350E-02    3.386900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.295573E+00      2.590000E-04     0       +0.50      2.791887E-06    0.000000E+00    8.195350E-02    3.386900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -8.794348E-01      1.760000E-04     0       +0.50      9.438770E-05    1.000000E-06    8.195350E-02    3.386900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.975221E-01      1.600000E-04     0       +0.50      2.146994E-06    0.000000E+00    8.195350E-02    3.386900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.295573E+00      2.590000E-04     0       +0.50      1.198222E-04    1.000000E-06    8.195350E-02    3.386900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +2.144718E+00      4.290000E-04     0       +0.50      3.267957E-06    0.000000E+00    8.195350E-02    3.386900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.689521E+00      5.380000E-04     0       +0.50      6.233488E-06    0.000000E+00    8.195350E-02    3.386900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.320475E+00      6.640000E-04     0       +0.50      1.761718E-04    2.000000E-06    8.195350E-02    3.386900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.986991E+00      7.970000E-04     0       +0.50      1.325781E-04    1.000000E-06    8.195350E-02    3.386900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.240783E+00      8.480000E-04     0       +0.50      1.465139E-06    0.000000E+00    8.195350E-02    3.386900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.367263E+00      8.730000E-04     0       +0.50      1.600793E-05    0.000000E+00    8.195350E-02    3.386900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.531148E+00      1.306000E-03     0       +0.50      3.193915E-05    0.000000E+00    8.195350E-02    3.386900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
