# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:52:42 2025
#                        
# Element                            : Hf
# Z                                  : 72
# A                                  : 162
# I                                  : 0
# Half-life                   [sec. ]: 39.4 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.679590E+01 
# Emax2 (background)             [eV]: 2.618910E+02 
# Number of resonances (<Emax)       : 66
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 8.330200E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.415500E+03 
# MACS 30 keV (calculated)       [b.]: 3.354000E+00
# Westcott factor (calculated)       : 1.010920E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.956660E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.883650E+01 
#
# Scattering radius              [fm]: 7.24 +/- 7.24 
#
# Average Gtotal   l=0           [eV]: 7.188710E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.090800E-05 
# Average Gg       l=0           [eV]: 7.185520E-02 
# Average level spacing D0 (l=0) [eV]: 6.032110E-01 
# Neutron strength function S0 (l=0) : 1.837970E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.342898E+00      6.690000E-04     0       +0.50      8.426030E-06    0.000000E+00    7.185524E-02    3.006800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.171061E+00      6.340000E-04     0       +0.50      1.168134E-05    0.000000E+00    7.185524E-02    3.006800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.359293E+00      2.720000E-04     0       +0.50      9.078292E-05    1.000000E-06    7.185524E-02    3.006800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.025524E+00      2.050000E-04     0       +0.50      1.073334E-05    0.000000E+00    7.185524E-02    3.006800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.357337E-01      1.670000E-04     0       +0.50      2.622450E-05    0.000000E+00    7.185524E-02    3.006800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.032279E-01      1.610000E-04     0       +0.50      1.018978E-05    0.000000E+00    7.185524E-02    3.006800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.025524E+00      2.050000E-04     0       +0.50      1.016155E-04    1.000000E-06    7.185524E-02    3.006800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.627687E+00      3.260000E-04     0       +0.50      1.710626E-04    2.000000E-06    7.185524E-02    3.006800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.916870E+00      3.830000E-04     0       +0.50      7.619343E-05    1.000000E-06    7.185524E-02    3.006800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.408444E+00      6.820000E-04     0       +0.50      2.049009E-06    0.000000E+00    7.185524E-02    3.006800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
