# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:24:22 2025
#                        
# Element                            : Hf
# Z                                  : 72
# A                                  : 170
# I                                  : 0
# Half-life                   [hours]: 16.0111 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 7.101508E+01 
# Emax2 (background)             [eV]: 1.903120E+03 
# Number of resonances (<Emax)       : 66
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 6.400900E+01 
# Ress Int. (n,g) (systematics)  [b.]: 3.803010E+02 
# MACS 30 keV (calculated)       [b.]: 1.717600E+00
# Westcott factor (calculated)       : 1.065150E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.337120E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.362730E+01 
#
# Scattering radius              [fm]: 7.35 +/- 0.51 
#
# Average Gtotal   l=0           [eV]: 5.868460E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.424050E-06 
# Average Gg       l=0           [eV]: 5.867390E-02 
# Average level spacing D0 (l=0) [eV]: 1.183580E+00 
# Neutron strength function S0 (l=0) : 2.941170E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.337794E+00      4.680000E-04     0       +0.50      1.097337E-05    0.000000E+00    5.867384E-02    2.716400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.842600E+00      3.690000E-04     0       +0.50      1.622898E-06    0.000000E+00    5.867384E-02    2.716400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.574885E+00      3.150000E-04     0       +0.50      2.159029E-05    0.000000E+00    5.867384E-02    2.716400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.380961E+00      2.760000E-04     0       +0.50      7.408854E-06    0.000000E+00    5.867384E-02    2.716400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.358252E-01      6.700000E-05     0       +0.50      1.365968E-06    0.000000E+00    5.867384E-02    2.716400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.439756E-01      8.900000E-05     0       +0.50      2.351155E-05    0.000000E+00    5.867384E-02    2.716400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.214346E+00      2.430000E-04     0       +0.50      4.652837E-05    1.000000E-06    5.867384E-02    2.716400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.337794E+00      4.680000E-04     0       +0.50      1.911870E-05    0.000000E+00    5.867384E-02    2.716400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +3.145124E+00      6.290000E-04     0       +0.50      2.250755E-06    0.000000E+00    5.867384E-02    2.716400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.370431E+00      1.074000E-03     0       +0.50      6.282157E-05    1.000000E-06    5.867384E-02    2.716400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
