# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 22:50:27 2025
#                        
# Element                            : Hf
# Z                                  : 72
# A                                  : 171
# I                                  : 1
# Half-life                   [sec. ]: 29.5 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.117915E+01 
# Emax2 (background)             [eV]: 2.033690E+02 
# Number of resonances (<Emax)       : 92
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 6.206930E+01 
# Ress Int. (n,g) (systematics)  [b.]: 7.894930E+02 
# MACS 30 keV (calculated)       [b.]: 4.074000E+00
# Westcott factor (calculated)       : 1.081020E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.693790E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.502970E+01 
#
# Scattering radius              [fm]: 7.37 +/- 7.37 
#
# Average Gtotal   l=0           [eV]: 8.148360E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.415130E-06 
# Average Gg       l=0           [eV]: 8.147630E-02 
# Average level spacing D0 (l=0) [eV]: 2.521330E-01 
# Neutron strength function S0 (l=0) : 5.895150E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.429415E+00      8.860000E-04     0       +0.00      5.014066E-08    0.000000E+00    8.101875E-02    3.827200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.901842E+00      5.800000E-04     0       +0.00      1.149676E-06    0.000000E+00    8.101875E-02    3.827200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.362101E+00      4.720000E-04     0       +0.00      7.646304E-06    0.000000E+00    8.101875E-02    3.827200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.019831E+00      4.040000E-04     0       +0.00      1.826266E-05    0.000000E+00    8.101875E-02    3.827200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.569758E+00      3.140000E-04     0       +0.00      4.856800E-06    0.000000E+00    8.101875E-02    3.827200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.460055E+00      2.920000E-04     0       +0.00      1.370804E-05    0.000000E+00    8.101875E-02    3.827200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.089014E+00      2.180000E-04     0       +0.00      7.614720E-05    1.000000E-06    8.101875E-02    3.827200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.368202E-01      6.700000E-05     0       +0.00      1.017794E-05    0.000000E+00    8.101875E-02    3.827200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.219881E-01      4.400000E-05     0       +0.00      5.286056E-08    0.000000E+00    8.101875E-02    3.827200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.368202E-01      6.700000E-05     0       +0.00      2.784542E-05    0.000000E+00    8.101875E-02    3.827200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.216465E+00      2.430000E-04     0       +0.00      1.561217E-06    0.000000E+00    8.101875E-02    3.827200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.262923E+00      2.530000E-04     0       +0.00      5.896431E-05    1.000000E-06    8.101875E-02    3.827200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.534682E+00      3.070000E-04     0       +0.00      4.635649E-06    0.000000E+00    8.101875E-02    3.827200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.199370E+00      4.400000E-04     0       +0.00      4.765972E-05    1.000000E-06    8.101875E-02    3.827200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
