# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 22:34:17 2025
#                        
# Element                            : Hf
# Z                                  : 72
# A                                  : 177
# I                                  : 2
# Abundancy                       [%]: 18.6
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.077553E+02 
# Emax2 (background)             [eV]: 3.439090E+03 
# Number of resonances (<Emax)       : 56
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 7.534660E+02 
# Ress Int. (n,g) (systematics)  [b.]: 3.799520E+02 
# MACS 30 keV (calculated)       [b.]: 4.535200E+00
# Westcott factor (calculated)       : 9.992700E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.832760E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.060690E+01 
#
# Scattering radius              [fm]: 7.45 +/- 7.45 
#
# Average Gtotal   l=0           [eV]: 1.035880E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.461410E-04 
# Average Gg       l=0           [eV]: 1.035420E+01 
# Average level spacing D0 (l=0) [eV]: 6.110450E+00 
# Neutron strength function S0 (l=0) : 3.856910E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.911199E+02      5.822400E-02     0       +19.0      3.674777E-03    5.100000E-05    1.035417E+01    5.698263E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.823088E+02      5.646200E-02     0       +19.0      2.297627E-03    3.200000E-05    1.035417E+01    5.698263E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.371091E+02      4.742200E-02     0       +19.0      1.866620E-07    0.000000E+00    1.035417E+01    5.698263E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.757925E+02      3.515800E-02     0       +19.0      6.329545E-06    0.000000E+00    1.035417E+01    5.698263E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.689819E+02      3.379600E-02     0       +19.0      8.820155E-05    1.000000E-06    1.035417E+01    5.698263E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.680232E+02      3.360500E-02     0       +19.0      5.486273E-04    8.000000E-06    1.035417E+01    5.698263E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.563657E+02      3.127300E-02     0       +19.0      4.520083E-03    6.200000E-05    1.035417E+01    5.698263E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.343106E+02      2.686200E-02     0       +19.0      1.136211E-03    1.600000E-05    1.035417E+01    5.698263E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.129600E+02      2.259200E-02     0       +19.0      1.067352E-03    1.500000E-05    1.035417E+01    5.698263E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.115750E+02      2.231500E-02     0       +19.0      4.613418E-03    6.300000E-05    1.035417E+01    5.698263E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
