# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 00:52:54 2025
#                        
# Element                            : Hf
# Z                                  : 72
# A                                  : 179
# I                                  : 1
# Abundancy                       [%]: 13.62
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.588973E+03 
# Emax2 (background)             [eV]: 1.832210E+03 
# Number of resonances (<Emax)       : 99
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 5.922710E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.712690E+02 
# MACS 30 keV (calculated)       [b.]: 1.196000E+00
# Westcott factor (calculated)       : 9.977400E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 7.167960E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.101830E+02 
#
# Scattering radius              [fm]: 7.48 +/- 7.48 
#
# Average Gtotal   l=0           [eV]: 2.576570E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.490930E-03 
# Average Gg       l=0           [eV]: 2.331590E-01 
# Average level spacing D0 (l=0) [eV]: 1.708570E+01 
# Neutron strength function S0 (l=0) : 3.379660E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.318751E+01      1.263800E-02     0       +0.00      4.999067E-03    7.300000E-05    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.936012E+01      1.187200E-02     0       +0.00      3.038553E-02    4.430000E-04    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.758167E+01      3.516000E-03     0       +0.00      2.323211E-03    3.400000E-05    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.758005E+00      1.752000E-03     0       +0.00      2.728604E-02    3.970000E-04    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -4.524302E+00      9.050000E-04     0       +0.00      4.182860E-03    6.100000E-05    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.280574E+00      4.560000E-04     0       +0.00      7.920217E-05    1.000000E-06    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.758005E+00      1.752000E-03     0       +0.00      3.214848E-05    0.000000E+00    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.765351E+01      3.531000E-03     0       +0.00      3.298683E-03    4.800000E-05    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.549751E+01      7.100000E-03     0       +0.00      1.075273E-01    1.566000E-03    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.930177E+01      7.860000E-03     0       +0.00      1.077403E-03    1.600000E-05    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.436939E+01      1.087400E-02     0       +0.00      8.446548E-02    1.230000E-03    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.895250E+01      1.179000E-02     0       +0.00      3.165695E-02    4.610000E-04    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.033878E+01      1.606800E-02     0       +0.00      6.649155E-04    1.000000E-05    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.641246E+01      1.928200E-02     0       +0.00      2.579092E-01    3.757000E-03    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.250006E+02      2.500000E-02     0       +0.00      4.590350E-02    6.690000E-04    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.290173E+02      2.580300E-02     0       +0.00      8.058130E-02    1.174000E-03    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.653795E+02      3.307600E-02     0       +0.00      7.321365E-02    1.066000E-03    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.800530E+02      3.601100E-02     0       +0.00      3.162275E-02    4.610000E-04    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.979210E+02      3.958400E-02     0       +0.00      7.238476E-03    1.050000E-04    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.322802E+02      4.645600E-02     0       +0.00      5.220654E-02    7.600000E-04    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.389090E+02      4.778200E-02     0       +0.00      2.446789E-02    3.560000E-04    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.552302E+02      5.104600E-02     0       +0.00      3.866998E-03    5.600000E-05    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.733171E+02      5.466300E-02     0       +0.00      7.154941E-02    1.042000E-03    2.251617E-01    1.311910E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
