# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 22:26:32 2025
#                        
# Element                            : Hf
# Z                                  : 72
# A                                  : 181
# I                                  : 0
# Half-life                   [days ]: 42.3843 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.210034E+02 
# Emax2 (background)             [eV]: 4.431500E+03 
# Number of resonances (<Emax)       : 95
# Number of resonances (<Emax2)      : 100
# Thermal  (n,g) xs (calculated) [b.]: 3.998070E+01 
# Thermal  (n,g) xs (experiment) [b.]: 40 +/- 30 
# Ress Int. (n,g) (systematics)  [b.]: 4.830980E+02 
# MACS 30 keV (calculated)       [b.]: 2.522600E-01
# Westcott factor (calculated)       : 9.992300E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 9.434820E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.040150E+03 
#
# Scattering radius              [fm]: 7.51 +/- 7.51 
#
# Average Gtotal   l=0           [eV]: 1.096620E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.895010E-03 
# Average Gg       l=0           [eV]: 3.522660E-02 
# Average level spacing D0 (l=0) [eV]: 4.115430E+00 
# Neutron strength function S0 (l=0) : 1.010080E-03 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.535845E+02      5.071700E-02     0       +0.00      2.700134E-01    4.157000E-03    3.052026E-02    1.879600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.860182E+02      3.720400E-02     0       +0.00      4.154390E-01    6.396000E-03    3.052026E-02    1.879600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.171719E+02      2.343400E-02     0       +0.00      3.595811E-01    5.536000E-03    3.052026E-02    1.879600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.130171E+02      2.260300E-02     0       +0.00      1.224968E+00    1.886000E-02    3.052026E-02    1.879600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.030588E+02      2.061200E-02     0       +0.00      2.691448E-03    4.100000E-05    3.052026E-02    1.879600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.293238E+01      1.658600E-02     0       +0.00      4.995939E-02    7.690000E-04    3.052026E-02    1.879600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.773927E+01      1.554800E-02     0       +0.00      1.298290E-01    1.999000E-03    3.052026E-02    1.879600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.503150E+01      1.500600E-02     0       +0.00      2.255533E-01    3.473000E-03    3.052026E-02    1.879600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.062794E+01      1.212600E-02     0       +0.00      2.564909E-02    3.950000E-04    3.052026E-02    1.879600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.801832E+01      1.160400E-02     0       +0.00      1.808669E-01    2.785000E-03    3.052026E-02    1.879600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.762916E+01      1.152600E-02     0       +0.00      8.417093E-02    1.296000E-03    3.052026E-02    1.879600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.449195E+01      1.089800E-02     0       +0.00      1.499475E-02    2.310000E-04    3.052026E-02    1.879600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.557667E+01      9.115000E-03     0       +0.00      9.905198E-02    1.525000E-03    3.052026E-02    1.879600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.592091E+01      7.184000E-03     0       +0.00      1.441419E-02    2.220000E-04    3.052026E-02    1.879600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
