# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:17:32 2025
#                        
# Element                            : Hg
# Z                                  : 80
# A                                  : 198
# I                                  : 0
# Abundancy                       [%]: 9.97
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.180000E+02 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 5
# Number of resonances (<Emax2)      : 48
# Thermal (n,g) xs (systematics) [b.]: 2.007770E+00 
# Res. Int (n,g) (calculated)    [b.]: 7.907500E+01  
# Res. Int (n,g) (experiment)    [b.]: 72 +/- 2 
# MACS 30 keV (calculated)       [b.]: 3.328000E-01
# Westcott factor (calculated)       : 1.001380E+00
#
# Thermal (n,el) xs (calculated) [b.]: 9.890330E+00 
# Thermal (n,el) xs (experiment) [b.]: 9.5 +/- 0.3 
# Res. Int (n,el) (calculated)   [b.]: 1.011920E+02 
#
# Scattering radius              [fm]: 9.50 +/- 0.47 
#
# Average Gtotal   l=0           [eV]: 3.544400E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.192950E-02 
# Average Gg       l=0           [eV]: 1.500000E-01 
# Average level spacing D0 (l=0) [eV]: 1.045000E+02 
# Neutron strength function S0 (l=0) : 1.426980E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  +2.306000E+01      1.000000E+00     0       +0.50      6.700000E-03    2.000000E-04    1.300000E-01    1.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.981000E+01      1.000000E+00     0       +0.50      2.850000E-02    1.000000E-03    1.400000E-01    1.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.025000E+02      1.000000E+00     0       +0.50      7.780000E-01    3.000000E-02    1.650000E-01    2.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.440000E+02      3.000000E+00     0       +0.50      5.700000E-02    5.000000E-03    1.650000E-01    4.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.174000E+02      4.000000E+00     0       +0.50      1.520000E-01    1.000000E-02    1.500000E-01    5.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.122000E+03      3.000000E+00     1       +1.50      7.605000E-03    1.750000E-03    1.500000E-01    7.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.131000E+03      3.000000E+00     0       +0.50      4.600000E-02    7.000000E-03    1.500000E-01    7.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.138000E+03      3.000000E+00     0       +0.50      7.800000E-02    1.700000E-02    1.500000E-01    7.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.271000E+03      3.000000E+00     0       +0.50      1.300000E-01    5.900000E-02    1.500000E-01    7.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.294000E+03      3.000000E+00     1       +0.50      7.600000E-03    2.000000E-03    1.500000E-01    7.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.626000E+03      4.000000E+00     1       +0.50      1.100000E-02    2.000000E-03    1.500000E-01    7.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.638000E+03      4.000000E+00     0       +0.50      5.200000E-02    8.000000E-03    1.500000E-01    7.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.911000E+03      4.000000E+00     1       +0.50      9.000000E-03    2.000000E-03    1.500000E-01    7.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.152000E+03      4.000000E+00     0       +0.50      2.700000E-01    1.000000E-02    1.500000E-01    7.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.282000E+03      4.000000E+00     1       +0.50      1.200000E-02    3.000000E-03    1.500000E-01    7.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.313000E+03      4.000000E+00     0       +0.50      2.300000E-01    6.000000E-02    1.500000E-01    7.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.359000E+03      4.000000E+00     1       +0.50      1.700000E-02    3.000000E-03    1.500000E-01    7.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
