# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 00:49:16 2025
#                        
# Element                            : Hg
# Z                                  : 80
# A                                  : 212
# I                                  : 0
# Half-life                   [sec. ]: 30 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.293726E+04 
# Emax2 (background)             [eV]: 5.000000E+04 
# Number of resonances (<Emax)       : 19
# Number of resonances (<Emax2)      : 33
# Thermal (n,g) xs (systematics) [b.]: 1.499060E+00 
# Ress Int. (n,g) (systematics)  [b.]: 6.599630E-01 
# MACS 30 keV (calculated)       [b.]: 2.309100E-03
# Westcott factor (calculated)       : 1.000510E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.390570E+04 
# Res. Int (n,el) (calculated)   [b.]: 4.040320E+05 
#
# Scattering radius              [fm]: 7.91 +/- 7.91 
#
# Average Gtotal   l=0           [eV]: 4.689920E+03 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.084890E+03 
# Average Gg       l=0           [eV]: 1.627840E-02 
# Average level spacing D0 (l=0) [eV]: 4.312420E+03 
# Neutron strength function S0 (l=0) : 8.419890E-01 
#
# Average Gtotal   l=1           [eV]: 6.177100E+02 
# Average reduced (Gn^1) Gn l=1  [eV]: 3.770190E+04 
# Average Gg       l=1           [eV]: 1.616570E-02 
# Neutron strength function S1 (l=1) : 7.540390E+04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.610250E+04      7.220500E+00     0       +0.50      3.243915E+05    6.020223E+03    1.782010E-02    1.322900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.345052E+04      4.690104E+00     0       +0.50      6.228890E+03    1.155989E+02    1.782010E-02    1.322900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.177288E+04      4.354576E+00     0       +0.50      1.860267E+04    3.452378E+02    1.782010E-02    1.322900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.449668E+04      2.899336E+00     0       +0.50      1.852946E+05    3.438792E+03    1.782010E-02    1.322900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.333138E+04      2.666276E+00     0       +0.50      3.852943E+03    7.150488E+01    1.782010E-02    1.322900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.293726E+04      2.587452E+00     0       +0.50      2.132462E+05    3.957532E+03    1.782010E-02    1.322900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.109151E+04      2.218302E+00     1       +0.50      3.433927E+04    6.372857E+02    1.805103E-02    1.340000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.333021E+03      1.666604E+00     1       +0.50      1.415917E+03    2.627731E+01    1.805103E-02    1.340000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.959604E+03      1.391921E+00     1       +0.50      8.106434E-02    1.504000E-03    1.805103E-02    1.340000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.548396E+03      7.096790E-01     1       +0.50      2.989381E+03    5.547846E+01    1.805103E-02    1.340000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
