# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 00:23:45 2025
#                        
# Element                            : Ho
# Z                                  : 67
# A                                  : 154
# I                                  : 1
# Half-life                   [min. ]: 3.1 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 9.666832E+00 
# Emax2 (background)             [eV]: 1.000000E+01 
# Number of resonances (<Emax)       : 428
# Number of resonances (<Emax2)      : 442
# Thermal (n,g) xs (systematics) [b.]: 1.041390E+03 
# Ress Int. (n,g) (systematics)  [b.]: 3.192530E+03 
# MACS 30 keV (calculated)       [b.]: 1.514300E+01
# Westcott factor (calculated)       : 9.249300E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.446470E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.831560E+01 
#
# Scattering radius              [fm]: 7.12 +/- 7.12 
#
# Average Gtotal   l=0           [eV]: 1.604680E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.977410E-07 
# Average Gg       l=0           [eV]: 1.604680E-01 
# Average level spacing D0 (l=0) [eV]: 3.515210E-02 
# Neutron strength function S0 (l=0) : 4.218650E-06 
#
# Average Gtotal   l=1           [eV]: 1.602680E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 3.765020E-08 
# Average Gg       l=1           [eV]: 1.602680E-01 
# Average level spacing D1 (l=1) [eV]: 6.576070E-02 
# Neutron strength function S1 (l=1) : 9.426440E-08 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.929515E-02      1.600000E-05     0       +7.50      6.847187E-08    0.000000E+00    1.635578E-01    7.068800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.592490E-02      7.000000E-06     0       +7.50      9.302130E-08    0.000000E+00    1.635578E-01    7.068800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.962118E-02      4.000000E-06     0       +7.50      2.105155E-07    0.000000E+00    1.635578E-01    7.068800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.569652E-02      3.000000E-06     0       +7.50      1.710577E-07    0.000000E+00    1.635578E-01    7.068800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.169275E-02      2.000000E-06     0       +7.50      2.102265E-06    0.000000E+00    1.635578E-01    7.068800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.962118E-02      4.000000E-06     0       +7.50      4.164580E-08    0.000000E+00    1.635578E-01    7.068800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +7.740329E-02      1.500000E-05     0       +7.50      3.990305E-07    0.000000E+00    1.635578E-01    7.068800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.189402E-01      2.400000E-05     0       +7.50      7.391709E-07    0.000000E+00    1.635578E-01    7.068800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.728950E-01      3.500000E-05     0       +7.50      1.280113E-07    0.000000E+00    1.635578E-01    7.068800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.791173E-01      3.600000E-05     0       +7.50      6.755876E-08    0.000000E+00    1.635578E-01    7.068800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.321071E-01      4.600000E-05     0       +7.50      1.381006E-06    0.000000E+00    1.635578E-01    7.068800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
