# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 02:30:06 2025
#                        
# Element                            : I
# Z                                  : 53
# A                                  : 137
# I                                  : 0
# Half-life                   [sec. ]: 24.13 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 9.288009E+03 
# Emax2 (background)             [eV]: 5.202300E+05 
# Number of resonances (<Emax)       : 51
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.233150E+00 
# Ress Int. (n,g) (systematics)  [b.]: 6.402950E-01 
# MACS 30 keV (calculated)       [b.]: 4.521600E-03
# Westcott factor (calculated)       : 1.000270E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 7.569640E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.996420E+01 
#
# Scattering radius              [fm]: 6.85 +/- 6.85 
#
# Average Gtotal   l=0           [eV]: 6.270380E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.046220E-02 
# Average Gg       l=0           [eV]: 7.113580E-02 
# Average level spacing D0 (l=0) [eV]: 5.805010E+02 
# Neutron strength function S0 (l=0) : 1.077140E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.195787E+04      4.391574E+00     0       +3.00      9.619169E-01    1.666600E-02    6.919843E-02    4.795700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.078046E+04      4.156092E+00     0       +3.00      7.661430E-01    1.327400E-02    6.919843E-02    4.795700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.878527E+04      3.757054E+00     0       +3.00      2.887454E+00    5.002800E-02    6.919843E-02    4.795700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.872538E+04      3.745076E+00     0       +3.00      1.100399E+00    1.906600E-02    6.919843E-02    4.795700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.646668E+04      3.293336E+00     0       +3.00      4.775773E-02    8.270000E-04    6.919843E-02    4.795700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.479263E+04      2.958526E+00     0       +3.00      6.075952E-04    1.100000E-05    6.919843E-02    4.795700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.378077E+04      2.756154E+00     0       +3.00      4.599060E-01    7.968000E-03    6.919843E-02    4.795700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.311301E+04      2.622602E+00     0       +3.00      2.497425E-02    4.330000E-04    6.919843E-02    4.795700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.272752E+04      2.545504E+00     0       +3.00      4.878509E-01    8.453000E-03    6.919843E-02    4.795700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.254537E+04      2.509074E+00     0       +3.00      2.726814E-01    4.724000E-03    6.919843E-02    4.795700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
