# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:38:51 2025
#                        
# Element                            : In
# Z                                  : 49
# A                                  : 107
# I                                  : 0
# Half-life                   [min. ]: 32.4 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 9.762885E+01 
# Emax2 (background)             [eV]: 2.288960E+02 
# Number of resonances (<Emax)       : 33
# Number of resonances (<Emax2)      : 50
# Thermal (n,g) xs (systematics) [b.]: 1.754070E+01 
# Ress Int. (n,g) (systematics)  [b.]: 4.946980E+01 
# MACS 30 keV (calculated)       [b.]: 7.760700E-01
# Westcott factor (calculated)       : 1.000440E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.642010E+01 
# Res. Int (n,el) (calculated)   [b.]: 7.781090E+01 
#
# Scattering radius              [fm]: 6.31 +/- 6.31 
#
# Average Gtotal   l=0           [eV]: 2.683710E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.957910E+00 
# Average Gg       l=0           [eV]: 2.674580E-01 
# Average level spacing D0 (l=0) [eV]: 9.762880E+00 
# Neutron strength function S0 (l=0) : 3.579710E-02 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.753170E+02      3.506300E-02     0       +4.00      1.637518E-01    1.671000E-03    2.751481E-01    1.123380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.724831E+02      3.449700E-02     0       +4.00      1.622511E+00    1.656100E-02    2.751481E-01    1.123380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.696369E+02      3.392700E-02     0       +4.00      1.241072E-02    1.270000E-04    2.751481E-01    1.123380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.663682E+02      3.327400E-02     0       +4.00      1.576799E-01    1.609000E-03    2.751481E-01    1.123380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.596810E+02      3.193600E-02     0       +4.00      2.511893E+00    2.563900E-02    2.751481E-01    1.123380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.556945E+02      3.113900E-02     0       +4.00      2.863282E-02    2.920000E-04    2.751481E-01    1.123380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.437598E+02      2.875200E-02     0       +5.00      1.810543E+00    1.848000E-02    2.554412E-01    1.042920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.328290E+02      2.656600E-02     0       +5.00      2.387231E-05    0.000000E+00    2.554412E-01    1.042920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.260732E+02      2.521500E-02     0       +5.00      7.583797E-02    7.740000E-04    2.554412E-01    1.042920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.187651E+02      2.375300E-02     0       +5.00      3.718341E-02    3.800000E-04    2.554412E-01    1.042920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.173030E+02      2.346100E-02     0       +5.00      1.109879E+00    1.132900E-02    2.554412E-01    1.042920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.159764E+02      2.319500E-02     0       +5.00      1.836991E-05    0.000000E+00    2.554412E-01    1.042920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.762885E+01      1.952600E-02     0       +5.00      2.955554E-01    3.017000E-03    2.554412E-01    1.042920E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.572559E+01      1.514500E-02     1       +3.00      5.791332E-03    5.900000E-05    3.098767E-01    1.265170E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.959373E+01      1.391900E-02     1       +3.00      6.819892E-04    7.000000E-06    3.098767E-01    1.265170E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.738334E+01      1.347700E-02     1       +3.00      1.026604E-05    0.000000E+00    3.098767E-01    1.265170E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.588921E+01      1.317800E-02     1       +3.00      3.026362E-04    3.000000E-06    3.098767E-01    1.265170E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.712867E+01      1.142600E-02     1       +3.00      1.408056E-04    1.000000E-06    3.098767E-01    1.265170E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.295292E+01      8.591000E-03     1       +3.00      3.554338E-05    0.000000E+00    3.098767E-01    1.265170E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.620048E+01      7.240000E-03     1       +4.00      2.598364E-04    3.000000E-06    2.869392E-01    1.171520E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.428022E+01      2.856000E-03     1       +4.00      5.264048E-04    5.000000E-06    2.869392E-01    1.171520E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.413912E+01      2.828000E-03     1       +4.00      8.036099E-04    8.000000E-06    2.869392E-01    1.171520E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.428022E+01      2.856000E-03     1       +4.00      1.598041E-04    2.000000E-06    2.869392E-01    1.171520E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
