# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 22:40:26 2025
#                        
# Element                            : In
# Z                                  : 49
# A                                  : 111
# I                                  : 1
# Half-life                   [min. ]: 7.7 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.975037E+02 
# Emax2 (background)             [eV]: 3.400230E+03 
# Number of resonances (<Emax)       : 65
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 2.827790E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.055220E+02 
# MACS 30 keV (calculated)       [b.]: 7.380500E-01
# Westcott factor (calculated)       : 1.004850E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.111870E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.640130E+01 
#
# Scattering radius              [fm]: 6.39 +/- 6.39 
#
# Average Gtotal   l=0           [eV]: 3.361380E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.621860E-04 
# Average Gg       l=0           [eV]: 3.283180E-01 
# Average level spacing D0 (l=0) [eV]: 1.058520E+01 
# Neutron strength function S0 (l=0) : 3.344430E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.763245E+02      9.526500E-02     0       +0.00      1.752447E-03    1.800000E-05    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.936882E+02      7.873800E-02     0       +0.00      2.582651E-04    3.000000E-06    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.352388E+02      4.704800E-02     0       +0.00      5.007650E-03    5.300000E-05    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.275354E+02      4.550700E-02     0       +0.00      2.279857E-03    2.400000E-05    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.273792E+02      4.547600E-02     0       +0.00      2.406266E-03    2.500000E-05    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.064602E+02      4.129200E-02     0       +0.00      1.073127E-01    1.132000E-03    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.595882E+02      3.191800E-02     0       +0.00      1.593780E-03    1.700000E-05    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.132798E+02      2.265600E-02     0       +0.00      1.739002E-02    1.830000E-04    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.044856E+02      2.089700E-02     0       +0.00      6.980321E-04    7.000000E-06    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.524000E+01      1.904800E-02     0       +0.00      1.109391E-02    1.170000E-04    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.085303E+01      1.817100E-02     0       +0.00      6.839335E-03    7.200000E-05    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.883570E+01      1.776700E-02     0       +0.00      1.277924E-05    0.000000E+00    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.547779E+01      1.709600E-02     0       +0.00      2.646018E-02    2.790000E-04    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.365992E+01      1.273200E-02     0       +0.00      5.982515E-02    6.310000E-04    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.287745E+01      1.257500E-02     0       +0.00      7.353611E-02    7.760000E-04    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.743043E+01      1.148600E-02     0       +0.00      3.897907E-03    4.100000E-05    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.859254E+01      7.719000E-03     0       +0.00      7.137112E-04    8.000000E-06    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.185688E+01      4.371000E-03     0       +0.00      1.870608E-02    1.970000E-04    3.333888E-01    1.407090E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
