# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 02:29:41 2025
#                        
# Element                            : In
# Z                                  : 49
# A                                  : 112
# I                                  : 0
# Half-life                   [min. ]: 14.88 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.543053E+01 
# Emax2 (background)             [eV]: 1.822150E+02 
# Number of resonances (<Emax)       : 100
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 5.474680E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.604760E+02 
# MACS 30 keV (calculated)       [b.]: 2.221400E+00
# Westcott factor (calculated)       : 9.932700E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 5.193640E+00 
# Res. Int (n,el) (calculated)   [b.]: 2.385070E+01 
#
# Scattering radius              [fm]: 6.41 +/- 6.41 
#
# Average Gtotal   l=0           [eV]: 1.099430E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.252410E-06 
# Average Gg       l=0           [eV]: 1.099330E-01 
# Average level spacing D0 (l=0) [eV]: 6.445410E-01 
# Neutron strength function S0 (l=0) : 2.182520E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.238273E+01      2.477000E-03     0       +0.50      4.997880E-08    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.094034E+00      1.219000E-03     0       +0.50      1.145950E-06    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.560816E+00      9.120000E-04     0       +0.50      2.410315E-06    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.580225E+00      7.160000E-04     0       +0.50      5.852663E-07    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.134135E+00      6.270000E-04     0       +0.50      1.343725E-05    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.034037E+00      6.070000E-04     0       +0.50      1.044486E-05    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.882227E+00      5.760000E-04     0       +0.50      7.188512E-06    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.906428E+00      3.810000E-04     0       +0.50      5.214164E-06    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.610911E+00      3.220000E-04     0       +0.50      3.401987E-05    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.577051E+00      3.150000E-04     0       +0.50      5.566260E-06    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.247675E+00      2.500000E-04     0       +0.50      6.825205E-07    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.369185E-01      1.870000E-04     0       +0.50      1.687076E-07    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -3.877356E-01      7.800000E-05     0       +0.50      2.626124E-05    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.758398E-01      5.500000E-05     0       +0.50      1.339445E-06    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.369185E-01      1.870000E-04     0       +0.50      3.193938E-05    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.364539E+00      2.730000E-04     0       +0.50      7.938309E-07    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.065211E+00      4.130000E-04     0       +0.50      2.186500E-05    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.226466E+00      4.450000E-04     0       +0.50      7.013002E-06    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.310192E+00      4.620000E-04     0       +0.50      1.893199E-05    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.723016E+00      5.450000E-04     0       +0.50      9.423749E-05    1.000000E-06    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.579325E+00      7.160000E-04     0       +0.50      1.564760E-05    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.293849E+00      8.590000E-04     0       +0.50      5.590761E-06    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.127394E+00      1.025000E-03     0       +0.50      2.333416E-06    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.588838E+00      1.118000E-03     0       +0.50      1.050162E-05    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.199833E+00      1.240000E-03     0       +0.50      6.627009E-05    1.000000E-06    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.526267E+00      1.305000E-03     0       +0.50      5.549381E-07    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.948461E+00      1.390000E-03     0       +0.50      1.592600E-05    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.074855E+00      1.615000E-03     0       +0.50      7.377388E-06    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.272753E+00      1.655000E-03     0       +0.50      4.040554E-06    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.824519E+00      1.765000E-03     0       +0.50      3.854181E-09    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.568995E+00      1.914000E-03     0       +0.50      5.354803E-06    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.686743E+00      1.937000E-03     0       +0.50      2.393845E-06    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.192666E+01      2.385000E-03     0       +0.50      1.121390E-05    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.227846E+01      2.456000E-03     0       +0.50      8.125863E-07    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.423577E+01      2.847000E-03     0       +0.50      3.730066E-05    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.477734E+01      2.955000E-03     0       +0.50      7.811092E-08    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.602604E+01      3.205000E-03     0       +0.50      1.733280E-07    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.646006E+01      3.292000E-03     0       +0.50      7.138103E-06    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.684652E+01      3.369000E-03     0       +0.50      2.574661E-05    0.000000E+00    1.114308E-01    4.767800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.692603E+01      3.385000E-03     0       +1.50      1.414626E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.768213E+01      3.536000E-03     0       +1.50      1.355480E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.777363E+01      3.555000E-03     0       +1.50      3.654550E-10    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.823482E+01      3.647000E-03     0       +1.50      2.953911E-07    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.905247E+01      3.810000E-03     0       +1.50      3.366332E-07    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.987823E+01      3.976000E-03     0       +1.50      1.534080E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.999667E+01      3.999000E-03     0       +1.50      5.717999E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.027500E+01      4.055000E-03     0       +1.50      1.470388E-07    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.092998E+01      4.186000E-03     0       +1.50      5.679581E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.184441E+01      4.369000E-03     0       +1.50      2.662491E-05    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.212752E+01      4.426000E-03     0       +1.50      4.208979E-08    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.221168E+01      4.442000E-03     0       +1.50      1.154509E-05    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.232291E+01      4.465000E-03     0       +1.50      4.586662E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.238308E+01      4.477000E-03     0       +1.50      1.505303E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.517230E+01      5.034000E-03     0       +1.50      4.194912E-07    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.524985E+01      5.050000E-03     0       +1.50      6.573654E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.617579E+01      5.235000E-03     0       +1.50      1.611743E-05    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.779518E+01      5.559000E-03     0       +1.50      1.399895E-07    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.789825E+01      5.580000E-03     0       +1.50      3.983136E-09    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.829136E+01      5.658000E-03     0       +1.50      2.339969E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.849368E+01      5.699000E-03     0       +1.50      2.417567E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.984517E+01      5.969000E-03     0       +1.50      1.091886E-05    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.169770E+01      6.340000E-03     0       +1.50      1.865169E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.227064E+01      6.454000E-03     0       +1.50      6.253985E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.286859E+01      6.574000E-03     0       +1.50      1.433474E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.291402E+01      6.583000E-03     0       +1.50      4.045319E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.332877E+01      6.666000E-03     0       +1.50      9.385437E-07    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.355767E+01      6.712000E-03     0       +1.50      4.773128E-05    1.000000E-06    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.423515E+01      6.847000E-03     0       +1.50      3.803704E-08    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.519889E+01      7.040000E-03     0       +1.50      2.606866E-05    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.720909E+01      7.442000E-03     0       +1.50      2.850781E-05    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.817848E+01      7.636000E-03     0       +1.50      4.215797E-07    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.858128E+01      7.716000E-03     0       +1.50      1.086992E-05    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.885443E+01      7.771000E-03     0       +1.50      6.457085E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.920679E+01      7.841000E-03     0       +1.50      1.562898E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.116741E+01      8.233000E-03     0       +1.50      3.536566E-06    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.134101E+01      8.268000E-03     0       +1.50      1.673568E-05    0.000000E+00    1.092940E-01    4.676400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
