# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 02:11:06 2025
#                        
# Element                            : In
# Z                                  : 49
# A                                  : 115
# I                                  : 1
# Abundancy                       [%]: 95.71
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.267441E+02 
# Emax2 (background)             [eV]: 2.172380E+03 
# Number of resonances (<Emax)       : 71
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 6.305150E+02 
# Ress Int. (n,g) (systematics)  [b.]: 2.416330E+01 
# MACS 30 keV (calculated)       [b.]: 6.757000E-01
# Westcott factor (calculated)       : 9.330800E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.192580E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.194670E+01 
#
# Scattering radius              [fm]: 6.46 +/- 0.45 
#
# Average Gtotal   l=0           [eV]: 1.373790E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.153240E-06 
# Average Gg       l=0           [eV]: 1.373470E-01 
# Average level spacing D0 (l=0) [eV]: 3.977970E+00 
# Neutron strength function S0 (l=0) : 5.354050E-07 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.020805E+02      2.041600E-02     0       +0.00      1.669004E-04    2.000000E-06    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.263099E+01      1.652600E-02     0       +0.00      1.832083E-08    0.000000E+00    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.978785E+01      1.395800E-02     0       +0.00      1.385912E-04    2.000000E-06    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.141334E+01      1.228300E-02     0       +0.00      2.118870E-05    0.000000E+00    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.175538E+01      1.035100E-02     0       +0.00      8.224537E-05    1.000000E-06    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.806532E+01      9.613000E-03     0       +0.00      1.811885E-05    0.000000E+00    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.538722E+01      9.077000E-03     0       +0.00      1.152139E-04    1.000000E-06    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.765077E+01      7.530000E-03     0       +0.00      4.509393E-05    1.000000E-06    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.916053E+01      3.832000E-03     0       +0.00      1.271620E-06    0.000000E+00    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.767494E+01      3.535000E-03     0       +0.00      5.578271E-06    0.000000E+00    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.431312E+01      2.863000E-03     0       +0.00      6.907293E-05    1.000000E-06    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.382456E+00      1.476000E-03     0       +0.00      3.464865E-05    0.000000E+00    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.885985E+00      7.770000E-04     0       +0.00      4.460027E-04    5.000000E-06    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.639502E-01      3.300000E-05     0       +0.00      7.101828E-05    1.000000E-06    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.551383E+00      7.100000E-04     0       +0.00      1.527771E-05    0.000000E+00    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.901548E+00      1.380000E-03     0       +0.00      9.223642E-06    0.000000E+00    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.157590E+01      2.315000E-03     0       +0.00      2.813261E-06    0.000000E+00    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.564884E+01      3.130000E-03     0       +0.00      2.448856E-04    3.000000E-06    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.566397E+01      3.133000E-03     0       +0.00      2.624276E-08    0.000000E+00    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.992716E+01      3.985000E-03     0       +0.00      1.972028E-04    2.000000E-06    1.400681E-01    6.364900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.995488E+01      3.991000E-03     0       +1.00      8.917773E-07    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.179504E+01      4.359000E-03     0       +1.00      3.545160E-05    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.686728E+01      5.373000E-03     0       +1.00      1.546067E-06    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.860727E+01      5.721000E-03     0       +1.00      3.632220E-05    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.234888E+01      6.470000E-03     0       +1.00      1.507668E-05    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.275536E+01      8.551000E-03     0       +1.00      5.061489E-06    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.131704E+01      1.026300E-02     0       +1.00      3.236402E-06    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.495605E+01      1.299100E-02     0       +1.00      1.416045E-06    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.145380E+01      1.429100E-02     0       +1.00      4.628339E-08    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.287337E+01      1.457500E-02     0       +1.00      1.474480E-05    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.652695E+01      1.530500E-02     0       +1.00      2.359889E-07    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.023516E+01      1.604700E-02     0       +1.00      5.597653E-05    1.000000E-06    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.038996E+01      1.607800E-02     0       +1.00      9.842598E-06    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.010892E+01      1.802200E-02     0       +1.00      3.057451E-06    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.250443E+01      1.850100E-02     0       +1.00      2.389951E-05    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.512323E+01      1.902500E-02     0       +1.00      2.625932E-05    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.059273E+02      2.118500E-02     0       +1.00      1.169754E-05    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.157488E+02      2.315000E-02     0       +1.00      4.376025E-07    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.172799E+02      2.345600E-02     0       +1.00      4.432255E-06    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.227675E+02      2.455400E-02     0       +1.00      1.558191E-04    2.000000E-06    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.270558E+02      2.541100E-02     0       +1.00      9.216929E-05    1.000000E-06    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.278524E+02      2.557000E-02     0       +1.00      4.826464E-05    1.000000E-06    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.290391E+02      2.580800E-02     0       +1.00      2.282239E-05    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.325683E+02      2.651400E-02     0       +1.00      1.859779E-05    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.343485E+02      2.687000E-02     0       +1.00      2.558257E-05    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.367883E+02      2.735800E-02     0       +1.00      1.295687E-06    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.427139E+02      2.854300E-02     0       +1.00      8.126402E-08    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.446795E+02      2.893600E-02     0       +1.00      2.092417E-05    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.463976E+02      2.928000E-02     0       +1.00      3.645726E-05    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.481873E+02      2.963700E-02     0       +1.00      9.215098E-06    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.580245E+02      3.160500E-02     0       +1.00      1.471668E-04    2.000000E-06    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.599139E+02      3.198300E-02     0       +1.00      5.231623E-06    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.611954E+02      3.223900E-02     0       +1.00      8.304986E-05    1.000000E-06    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.647724E+02      3.295400E-02     0       +1.00      2.670156E-06    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.654381E+02      3.308800E-02     0       +1.00      4.470097E-07    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.664495E+02      3.329000E-02     0       +1.00      3.550308E-05    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.738238E+02      3.476500E-02     0       +1.00      7.509729E-06    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.839976E+02      3.680000E-02     0       +1.00      1.421391E-05    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.842711E+02      3.685400E-02     0       +1.00      8.980221E-06    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.883815E+02      3.767600E-02     0       +1.00      7.292406E-07    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.896337E+02      3.792700E-02     0       +1.00      7.264039E-05    1.000000E-06    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.934479E+02      3.869000E-02     0       +1.00      1.414560E-09    0.000000E+00    1.370334E-01    6.227000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
