# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 22:51:24 2025
#                        
# Element                            : Ir
# Z                                  : 77
# A                                  : 200
# I                                  : 0
# Half-life                   [sec. ]: 43 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.256928E+02 
# Emax2 (background)             [eV]: 1.298420E+04 
# Number of resonances (<Emax)       : 91
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.494290E+01 
# Ress Int. (n,g) (systematics)  [b.]: 5.982610E+01 
# MACS 30 keV (calculated)       [b.]: 2.613400E-01
# Westcott factor (calculated)       : 9.994600E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 1.082500E+01 
# Res. Int (n,el) (calculated)   [b.]: 7.493290E+01 
#
# Scattering radius              [fm]: 7.76 +/- 7.76 
#
# Average Gtotal   l=0           [eV]: 1.134150E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.669340E-04 
# Average Gg       l=0           [eV]: 1.025080E-01 
# Average level spacing D0 (l=0) [eV]: 9.063670E+00 
# Neutron strength function S0 (l=0) : 4.544810E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.326545E+02      6.653100E-02     0       +3.50      9.247248E-04    1.600000E-05    1.083423E-01    7.630600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.127766E+02      6.255500E-02     0       +3.50      1.426529E-03    2.500000E-05    1.083423E-01    7.630600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.653694E+02      5.307400E-02     0       +3.50      6.839309E-03    1.200000E-04    1.083423E-01    7.630600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.628381E+02      5.256800E-02     0       +3.50      5.285500E-03    9.300000E-05    1.083423E-01    7.630600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.516531E+02      5.033100E-02     0       +3.50      6.576470E-03    1.160000E-04    1.083423E-01    7.630600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.370139E+02      4.740300E-02     0       +3.50      2.130334E-02    3.750000E-04    1.083423E-01    7.630600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.276028E+02      4.552100E-02     0       +3.50      5.127992E-05    1.000000E-06    1.083423E-01    7.630600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.942527E+02      3.885100E-02     0       +3.50      1.884736E-03    3.300000E-05    1.083423E-01    7.630600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.930476E+02      3.861000E-02     0       +3.50      9.817994E-04    1.700000E-05    1.083423E-01    7.630600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.864573E+02      3.729100E-02     0       +3.50      2.301913E-03    4.100000E-05    1.083423E-01    7.630600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
