# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 22:29:33 2025
#                        
# Element                            : K
# Z                                  : 19
# A                                  : 38
# I                                  : 0
# Half-life                   [min. ]: 7.65167 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.847240E+03 
# Emax2 (background)             [eV]: 5.000000E+04 
# Number of resonances (<Emax)       : 43
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 2.556300E+00 
# Ress Int. (n,g) (systematics)  [b.]: 4.325520E+01 
# MACS 30 keV (calculated)       [b.]: 4.552600E-03
# Westcott factor (calculated)       : 1.000730E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.145200E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.809030E+01 
#
# Scattering radius              [fm]: 4.48 +/- 4.48 
#
# Average Gtotal   l=0           [eV]: 5.790770E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 5.793550E-03 
# Average Gg       l=0           [eV]: 4.870800E-01 
# Average level spacing D0 (l=0) [eV]: 2.309050E+02 
# Neutron strength function S0 (l=0) : 1.612970E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.128214E+04      2.256428E+00     0       +2.50      1.999836E-02    2.000000E-04    5.404947E-01    2.164650E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.122096E+04      2.244192E+00     0       +2.50      2.204081E-02    2.210000E-04    5.404947E-01    2.164650E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.633799E+03      1.926760E+00     0       +2.50      1.185768E-01    1.187000E-03    5.404947E-01    2.164650E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.621104E+03      1.924221E+00     0       +2.50      1.755208E-03    1.800000E-05    5.404947E-01    2.164650E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.407498E+03      1.881500E+00     0       +2.50      4.615073E-02    4.620000E-04    5.404947E-01    2.164650E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.520064E+03      1.704013E+00     0       +2.50      1.162206E-01    1.164000E-03    5.404947E-01    2.164650E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.845217E+03      1.569043E+00     0       +2.50      3.786806E-02    3.790000E-04    5.404947E-01    2.164650E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.495811E+03      1.499162E+00     0       +2.50      1.155281E-03    1.200000E-05    5.404947E-01    2.164650E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.393104E+03      1.478621E+00     0       +2.50      8.809026E-06    0.000000E+00    5.404947E-01    2.164650E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.351666E+03      1.270333E+00     0       +2.50      1.677834E-02    1.680000E-04    5.404947E-01    2.164650E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.275576E+03      1.255115E+00     0       +2.50      2.434411E-02    2.440000E-04    5.404947E-01    2.164650E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.051564E+03      1.210313E+00     0       +2.50      2.928891E-01    2.933000E-03    5.404947E-01    2.164650E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
