# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:28:44 2025
#                        
# Element                            : K
# Z                                  : 19
# A                                  : 47
# I                                  : 0
# Half-life                   [sec. ]: 17.38 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 7.173240E+04 
# Emax2 (background)             [eV]: 4.640480E+05 
# Number of resonances (<Emax)       : 28
# Number of resonances (<Emax2)      : 61
# Thermal (n,g) xs (systematics) [b.]: 2.478880E-01 
# Ress Int. (n,g) (systematics)  [b.]: 1.969320E-01 
# MACS 30 keV (calculated)       [b.]: 5.489400E-04
# Westcott factor (calculated)       : 1.000560E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.172640E+03 
# Res. Int (n,el) (calculated)   [b.]: 2.223890E+04 
#
# Scattering radius              [fm]: 4.81 +/- 4.81 
#
# Average Gtotal   l=0           [eV]: 3.857120E+04 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.513650E+03 
# Average Gg       l=0           [eV]: 5.173860E-02 
# Average level spacing D0 (l=0) [eV]: 1.195540E+04 
# Neutron strength function S0 (l=0) : 1.101160E-01 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.659583E+05      5.319166E+01     0       +0.00      1.814121E+06    2.575950E+04    1.062045E-01    6.032200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.017463E+05      4.034926E+01     0       +0.00      3.597559E+04    5.108332E+02    1.062045E-01    6.032200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.003006E+05      4.006012E+01     0       +0.00      6.211859E+05    8.820492E+03    1.062045E-01    6.032200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.700584E+05      3.401168E+01     0       +0.00      4.128201E+04    5.861814E+02    1.062045E-01    6.032200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.538225E+05      3.076450E+01     0       +1.00      7.339594E+03    1.042181E+02    1.172246E-01    6.658100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.364826E+05      2.729652E+01     0       +1.00      1.894496E+05    2.690078E+03    1.172246E-01    6.658100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.272628E+05      2.545256E+01     0       +1.00      6.732436E+04    9.559682E+02    1.172246E-01    6.658100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.229998E+05      2.459996E+01     0       +1.00      7.564571E+05    1.074127E+04    1.172246E-01    6.658100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.203407E+05      2.406814E+01     0       +1.00      6.072983E+03    8.623296E+01    1.172246E-01    6.658100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.179101E+05      2.358202E+01     0       +1.00      4.112198E+04    5.839091E+02    1.172246E-01    6.658100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.039537E+05      2.079074E+01     0       +1.00      4.193961E+05    5.955190E+03    1.172246E-01    6.658100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.035167E+05      2.070334E+01     0       +1.00      1.137057E+04    1.614557E+02    1.172246E-01    6.658100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.461277E+04      1.692255E+01     0       +1.00      3.535573E+05    5.020316E+03    1.172246E-01    6.658100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.173240E+04      1.434648E+01     0       +1.00      2.030705E+05    2.883487E+03    1.172246E-01    6.658100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.690071E+04      1.338014E+01     1       +0.00      1.982695E+05    2.815316E+03    4.811961E-02    2.733100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.979774E+04      9.959548E+00     1       +0.00      1.606513E+04    2.281158E+02    4.811961E-02    2.733100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.595414E+04      9.190828E+00     1       +0.00      3.764457E+04    5.345318E+02    4.811961E-02    2.733100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.370780E+04      8.741560E+00     1       +0.00      1.103475E+04    1.566873E+02    4.811961E-02    2.733100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.362904E+04      2.725808E+00     1       +1.00      3.776688E+03    5.362685E+01    5.173859E-02    2.938600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.443928E+03      1.088786E+00     1       +1.00      6.811980E+03    9.672630E+01    5.173859E-02    2.938600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.559275E+02      1.911850E-01     1       +1.00      7.526229E+00    1.068680E-01    5.173859E-02    2.938600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.151390E+04      4.302780E+00     1       +1.00      6.963122E+02    9.887243E+00    5.173859E-02    2.938600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.654636E+04      5.309272E+00     1       +1.00      1.365607E+04    1.939085E+02    5.173859E-02    2.938600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
