# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 02:58:49 2025
#                        
# Element                            : Kr
# Z                                  : 36
# A                                  : 89
# I                                  : 0
# Half-life                   [min. ]: 3.15 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.204104E+03 
# Emax2 (background)             [eV]: 5.000000E+03 
# Number of resonances (<Emax)       : 19
# Number of resonances (<Emax2)      : 23
# Thermal (n,g) xs (systematics) [b.]: 1.825060E+00 
# Ress Int. (n,g) (systematics)  [b.]: 6.299900E+01 
# MACS 30 keV (calculated)       [b.]: 1.137800E-02
# Westcott factor (calculated)       : 1.001320E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.827940E+02 
# Res. Int (n,el) (calculated)   [b.]: 5.871000E+03 
#
# Scattering radius              [fm]: 5.94 +/- 5.94 
#
# Average Gtotal   l=0           [eV]: 6.402910E+02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.660990E+04 
# Average Gg       l=0           [eV]: 1.008770E-01 
# Average level spacing D0 (l=0) [eV]: 1.602050E+03 
# Neutron strength function S0 (l=0) : 4.535950E+00 
#
# Average Gtotal   l=1           [eV]: 1.720200E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 3.603920E+03 
# Average Gg       l=1           [eV]: 8.254340E-02 
# Average level spacing D1 (l=1) [eV]: 6.408210E+02 
# Neutron strength function S1 (l=1) : 5.733010E-01 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.979279E+03      7.958560E-01     0       +1.00      1.031220E+04    1.459875E+02    1.073127E-01    6.076800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.718225E+03      7.436450E-01     0       +2.00      2.841867E+02    4.023169E+00    7.828738E-02    4.433200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.204104E+03      6.408210E-01     0       +2.00      4.023732E+01    5.696310E-01    7.828738E-02    4.433200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.026366E+03      6.052730E-01     1       +0.00      7.702385E+02    1.090410E+01    8.187045E-02    4.636100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.703754E+03      5.407510E-01     1       +0.00      7.551644E+01    1.069070E+00    8.187045E-02    4.636100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.300724E+03      4.601450E-01     1       +1.00      2.746690E+01    3.888430E-01    1.986195E-01    1.124720E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.078324E+03      4.156650E-01     1       +2.00      2.654929E+02    3.758525E+00    1.151346E-01    6.519700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.810901E+02      9.621800E-02     1       +2.00      1.049452E+01    1.485690E-01    1.151346E-01    6.519700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -4.188210E+02      8.376400E-02     1       +2.00      5.397834E+01    7.641590E-01    1.151346E-01    6.519700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.320872E+02      2.641700E-02     1       +3.00      8.957304E+00    1.268070E-01    1.008766E-01    5.712300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.654186E+02      1.530840E-01     1       +3.00      1.435732E+03    2.032534E+01    1.008766E-01    5.712300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.738102E+02      1.747620E-01     1       +3.00      1.490649E+01    2.110280E-01    1.008766E-01    5.712300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.020711E+03      2.041420E-01     1       +3.00      4.699332E+02    6.652741E+00    1.008766E-01    5.712300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.170251E+03      2.340500E-01     2       +1.00      1.227182E-01    1.737000E-03    1.073127E-01    6.076800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.281765E+03      2.563530E-01     2       +1.00      1.829174E-01    2.590000E-03    1.073127E-01    6.076800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.795886E+03      3.591770E-01     2       +2.00      6.781426E-02    9.600000E-04    7.828739E-02    4.433200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.973624E+03      3.947250E-01     2       +2.00      2.263940E-03    3.200000E-05    7.828739E-02    4.433200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.699266E+03      5.398530E-01     2       +3.00      1.199294E-01    1.698000E-03    6.203010E-02    3.512600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.921666E+03      5.843330E-01     2       +3.00      4.121610E-02    5.830000E-04    6.203010E-02    3.512600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.234591E+03      8.469180E-01     2       +3.00      2.008425E-02    2.840000E-04    6.203010E-02    3.512600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.581169E+03      9.162340E-01     2       +4.00      4.292216E-02    6.080000E-04    4.106063E-02    2.325100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.867903E+03      9.735810E-01     2       +4.00      1.832454E-03    2.600000E-05    4.106063E-02    2.325100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.956615E+03      9.913230E-01     2       +4.00      1.316375E-01    1.864000E-03    4.106063E-02    2.325100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
