# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:27:55 2025
#                        
# Element                            : Kr
# Z                                  : 36
# A                                  : 90
# I                                  : 0
# Half-life                   [sec. ]: 32.32 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.668764E+04 
# Emax2 (background)             [eV]: 4.947080E+05 
# Number of resonances (<Emax)       : 27
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 6.618440E-01 
# Ress Int. (n,g) (systematics)  [b.]: 5.018950E-01 
# MACS 30 keV (calculated)       [b.]: 4.217500E-03
# Westcott factor (calculated)       : 1.000570E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 3.576900E+00 
# Res. Int (n,el) (calculated)   [b.]: 5.094910E+02 
#
# Scattering radius              [fm]: 5.96 +/- 5.96 
#
# Average Gtotal   l=0           [eV]: 2.465080E+02 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.397370E+00 
# Average Gg       l=0           [eV]: 5.636890E-02 
# Average level spacing D0 (l=0) [eV]: 2.223970E+03 
# Neutron strength function S0 (l=0) : 1.167800E-03 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.232655E+04      1.046531E+01     0       +0.50      1.802513E+01    2.700430E-01    5.636891E-02    3.378000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.783693E+04      9.567386E+00     0       +0.50      3.216278E+02    4.818454E+00    5.636891E-02    3.378000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.458661E+04      6.917322E+00     0       +0.50      6.611146E-03    9.900000E-05    5.636891E-02    3.378000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.257443E+04      6.514886E+00     0       +0.50      3.753245E+00    5.622900E-02    5.636891E-02    3.378000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.254252E+04      4.508504E+00     0       +0.50      4.720189E+01    7.071530E-01    5.636891E-02    3.378000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.231052E+04      4.462104E+00     0       +0.50      4.906630E-01    7.351000E-03    5.636891E-02    3.378000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.029596E+04      4.059192E+00     0       +0.50      1.775124E+01    2.659390E-01    5.636891E-02    3.378000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.520421E+04      3.040842E+00     0       +0.50      6.891980E+01    1.032519E+00    5.636891E-02    3.378000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.445796E+04      2.891592E+00     0       +0.50      3.382719E+01    5.067810E-01    5.636891E-02    3.378000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.085178E+03      1.817036E+00     0       +0.50      2.202498E+02    3.299664E+00    5.636891E-02    3.378000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
