# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 23:29:50 2025
#                        
# Element                            : La
# Z                                  : 57
# A                                  : 120
# I                                  : 0
# Half-life                   [sec. ]: 2.8 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.743178E+00 
# Emax2 (background)             [eV]: 2.178430E+01 
# Number of resonances (<Emax)       : 93
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.484830E+02 
# Ress Int. (n,g) (systematics)  [b.]: 9.301940E+00 
# MACS 30 keV (calculated)       [b.]: 1.092100E-02
# Westcott factor (calculated)       : 9.826300E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 5.384920E+00 
# Res. Int (n,el) (calculated)   [b.]: 8.688070E+00 
#
# Scattering radius              [fm]: 6.55 +/- 6.55 
#
# Average Gtotal   l=0           [eV]: 3.519750E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.403270E-07 
# Average Gg       l=0           [eV]: 3.519750E-01 
# Average level spacing D0 (l=0) [eV]: 3.117240E-02 
# Neutron strength function S0 (l=0) : 2.189620E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.670892E-01      3.300000E-05     0       +6.50      6.276278E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.608596E-01      3.200000E-05     0       +6.50      3.294630E-09    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.089044E-01      2.200000E-05     0       +6.50      2.720758E-09    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.088135E-02      1.600000E-05     0       +6.50      1.125456E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.131259E-02      4.000000E-06     0       +6.50      6.736553E-09    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.206118E-02      2.000000E-06     0       +6.50      3.798361E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.131259E-02      4.000000E-06     0       +6.50      5.160658E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.470642E-02      5.000000E-06     0       +6.50      8.011367E-07    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.971407E-02      1.800000E-05     0       +6.50      1.030570E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.336573E-02      1.900000E-05     0       +6.50      4.196896E-09    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.391376E-01      2.800000E-05     0       +6.50      1.955981E-07    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.532859E-01      3.100000E-05     0       +6.50      4.505247E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.791750E-01      3.600000E-05     0       +6.50      1.607027E-07    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.511579E-01      5.000000E-05     0       +6.50      8.657269E-09    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.340479E-01      6.700000E-05     0       +6.50      1.112934E-07    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.002452E-01      8.000000E-05     0       +6.50      7.040691E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.168122E-01      8.300000E-05     0       +6.50      2.184799E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.491625E-01      9.000000E-05     0       +6.50      1.845498E-07    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.849443E-01      9.700000E-05     0       +6.50      1.992518E-09    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.462109E-01      1.090000E-04     0       +6.50      3.798630E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.697217E-01      1.140000E-04     0       +6.50      1.489326E-07    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.069968E-01      1.210000E-04     0       +6.50      7.718025E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.367218E-01      1.270000E-04     0       +6.50      4.239480E-10    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.643046E-01      1.330000E-04     0       +6.50      2.494700E-10    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.686602E-01      1.340000E-04     0       +6.50      7.487470E-10    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.739195E-01      1.550000E-04     0       +6.50      1.388380E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.630286E-01      1.730000E-04     0       +6.50      1.241308E-09    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.855193E-01      1.770000E-04     0       +6.50      2.546919E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.366922E-01      1.870000E-04     0       +6.50      1.386042E-07    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.550073E-01      1.910000E-04     0       +6.50      1.254074E-07    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.571907E-01      1.910000E-04     0       +6.50      3.038383E-07    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.892485E-01      1.980000E-04     0       +6.50      2.571755E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.072443E+00      2.140000E-04     0       +6.50      9.685454E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.097553E+00      2.200000E-04     0       +6.50      6.431464E-09    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.116530E+00      2.230000E-04     0       +6.50      1.801201E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.185555E+00      2.370000E-04     0       +6.50      9.030760E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.218210E+00      2.440000E-04     0       +6.50      1.059668E-07    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.258220E+00      2.520000E-04     0       +6.50      2.494130E-07    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.277102E+00      2.550000E-04     0       +6.50      3.654598E-07    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.294957E+00      2.590000E-04     0       +6.50      5.016540E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.303003E+00      2.610000E-04     0       +6.50      3.371936E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.340205E+00      2.680000E-04     0       +6.50      3.173722E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.371450E+00      2.740000E-04     0       +6.50      6.368918E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.446984E+00      2.890000E-04     0       +6.50      1.725838E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.473892E+00      2.950000E-04     0       +6.50      2.958515E-07    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.480594E+00      2.960000E-04     0       +6.50      6.899925E-08    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.502061E+00      3.000000E-04     0       +6.50      3.621100E-09    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.510373E+00      3.020000E-04     0       +6.50      2.990012E-09    0.000000E+00    3.607298E-01    1.453660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.528019E+00      3.060000E-04     0       +7.50      1.484847E-09    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.588487E+00      3.180000E-04     0       +7.50      3.342008E-08    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.630615E+00      3.260000E-04     0       +7.50      4.049110E-11    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.682693E+00      3.370000E-04     0       +7.50      4.329896E-08    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.685972E+00      3.370000E-04     0       +7.50      5.242794E-07    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.706798E+00      3.410000E-04     0       +7.50      5.469694E-09    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.764070E+00      3.530000E-04     0       +7.50      4.108880E-09    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.784143E+00      3.570000E-04     0       +7.50      7.010821E-09    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.800562E+00      3.600000E-04     0       +7.50      3.569919E-08    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.835925E+00      3.670000E-04     0       +7.50      1.362471E-07    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.852565E+00      3.710000E-04     0       +7.50      8.750506E-08    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.877769E+00      3.760000E-04     0       +7.50      3.346490E-07    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.890781E+00      3.780000E-04     0       +7.50      2.139465E-07    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.917345E+00      3.830000E-04     0       +7.50      2.716593E-08    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.949110E+00      3.900000E-04     0       +7.50      5.181016E-08    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.968743E+00      3.940000E-04     0       +7.50      1.165060E-08    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.001154E+00      4.000000E-04     0       +7.50      9.439849E-09    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.042372E+00      4.080000E-04     0       +7.50      1.487067E-07    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.049864E+00      4.100000E-04     0       +7.50      8.659670E-08    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.122512E+00      4.250000E-04     0       +7.50      1.967111E-08    0.000000E+00    3.437901E-01    1.385400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
