# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 03:53:33 2025
#                        
# Element                            : La
# Z                                  : 57
# A                                  : 124
# I                                  : 1
# Half-life                   [sec. ]: 21 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 9.984485E+00 
# Emax2 (background)             [eV]: 1.097570E+02 
# Number of resonances (<Emax)       : 64
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 6.159930E+01 
# Ress Int. (n,g) (systematics)  [b.]: 3.798270E+01 
# MACS 30 keV (calculated)       [b.]: 2.443200E-01
# Westcott factor (calculated)       : 9.771600E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 5.511040E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.599310E+01 
#
# Scattering radius              [fm]: 6.62 +/- 6.62 
#
# Average Gtotal   l=0           [eV]: 6.035690E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.689610E-07 
# Average Gg       l=0           [eV]: 6.035690E-01 
# Average level spacing D0 (l=0) [eV]: 1.610400E-01 
# Neutron strength function S0 (l=0) : 1.066110E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.989521E-01      4.000000E-05     0       +0.50      5.532338E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.048567E-01      2.100000E-05     0       +0.50      4.086616E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.989521E-01      4.000000E-05     0       +0.50      1.580257E-08    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +2.123855E-01      4.200000E-05     0       +0.50      9.235915E-09    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.170316E-01      1.430000E-04     0       +0.50      1.103018E-06    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.607939E-01      1.920000E-04     0       +0.50      1.327819E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.313967E+00      2.630000E-04     0       +0.50      1.571180E-10    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.467954E+00      2.940000E-04     0       +0.50      2.497598E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.471615E+00      2.940000E-04     0       +0.50      1.050571E-06    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.679564E+00      3.360000E-04     0       +0.50      3.039097E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.909700E+00      3.820000E-04     0       +0.50      1.496434E-06    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.998932E+00      4.000000E-04     0       +0.50      3.311312E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.301869E+00      4.600000E-04     0       +0.50      5.161644E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.355738E+00      4.710000E-04     0       +0.50      2.447373E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.434290E+00      4.870000E-04     0       +0.50      1.883505E-09    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.803498E+00      5.610000E-04     0       +0.50      1.749827E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.816073E+00      5.630000E-04     0       +0.50      1.749734E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.351042E+00      6.700000E-04     0       +0.50      1.599743E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.403329E+00      6.810000E-04     0       +0.50      2.780809E-09    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.528152E+00      7.060000E-04     0       +0.50      6.012543E-08    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.807906E+00      7.620000E-04     0       +0.50      4.133292E-09    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.839727E+00      7.680000E-04     0       +0.50      2.134661E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.866085E+00      7.730000E-04     0       +0.50      2.796597E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.249761E+00      8.500000E-04     0       +0.50      2.211164E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.249938E+00      8.500000E-04     0       +0.50      1.012441E-07    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.424355E+00      8.850000E-04     0       +0.50      5.201089E-09    0.000000E+00    6.035682E-01    2.459380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
