# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 19:04:16 2025
#                        
# Element                            : La
# Z                                  : 57
# A                                  : 127
# I                                  : 0
# Half-life                   [min. ]: 5.1 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.401965E+00 
# Emax2 (background)             [eV]: 2.176130E+02 
# Number of resonances (<Emax)       : 93
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 8.562370E+01 
# Ress Int. (n,g) (systematics)  [b.]: 4.126360E+02 
# MACS 30 keV (calculated)       [b.]: 3.236200E+00
# Westcott factor (calculated)       : 1.161160E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.582370E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.529100E+01 
#
# Scattering radius              [fm]: 6.68 +/- 6.68 
#
# Average Gtotal   l=0           [eV]: 1.272470E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.550620E-07 
# Average Gg       l=0           [eV]: 1.272470E-01 
# Average level spacing D0 (l=0) [eV]: 1.012280E-01 
# Neutron strength function S0 (l=0) : 1.248850E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -8.164599E-01      1.630000E-04     0       +5.00      1.082055E-08    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.129675E-01      1.630000E-04     0       +5.00      2.547876E-07    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.643340E-01      1.530000E-04     0       +5.00      1.276468E-06    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.043478E-01      1.410000E-04     0       +5.00      3.133912E-08    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.517394E-01      1.300000E-04     0       +5.00      5.774610E-08    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.696753E-01      9.400000E-05     0       +5.00      1.500924E-07    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.346690E-01      4.700000E-05     0       +5.00      6.248909E-07    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.163317E-01      2.300000E-05     0       +5.00      4.310757E-07    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.843827E-02      1.800000E-05     0       +5.00      1.679933E-07    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.160206E-01      2.300000E-05     0       +5.00      8.591364E-07    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.163317E-01      2.300000E-05     0       +5.00      1.073010E-07    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.759847E-01      9.500000E-05     0       +5.00      9.052227E-07    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.991879E-01      1.200000E-04     0       +5.00      6.507117E-07    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.431293E-01      1.290000E-04     0       +5.00      2.070078E-09    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.111582E-01      1.620000E-04     0       +5.00      2.268754E-07    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.953160E-01      1.990000E-04     0       +5.00      7.599326E-08    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.183402E+00      2.370000E-04     0       +5.00      2.728089E-07    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.250883E+00      2.500000E-04     0       +5.00      5.942040E-10    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.381810E+00      2.760000E-04     0       +5.00      1.280104E-07    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.420372E+00      2.840000E-04     0       +5.00      6.666741E-09    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.515566E+00      3.030000E-04     0       +5.00      4.388648E-08    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.690150E+00      3.380000E-04     0       +5.00      3.451015E-07    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.970156E+00      3.940000E-04     0       +5.00      1.032218E-06    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.980468E+00      3.960000E-04     0       +5.00      1.657340E-10    0.000000E+00    1.301784E-01    5.392400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
