# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 22:24:08 2025
#                        
# Element                            : La
# Z                                  : 57
# A                                  : 137
# I                                  : 0
# Half-life                   [years]: 60026.6 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.957325E+02 
# Emax2 (background)             [eV]: 3.609390E+03 
# Number of resonances (<Emax)       : 90
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 2.603920E+01 
# Ress Int. (n,g) (systematics)  [b.]: 9.985710E+01 
# MACS 30 keV (calculated)       [b.]: 7.416300E-01
# Westcott factor (calculated)       : 1.061490E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.777860E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.480120E+01 
#
# Scattering radius              [fm]: 6.85 +/- 0.41 
#
# Average Gtotal   l=0           [eV]: 1.227990E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.499380E-06 
# Average Gg       l=0           [eV]: 1.227920E-01 
# Average level spacing D0 (l=0) [eV]: 2.796180E+00 
# Neutron strength function S0 (l=0) : 2.581430E-07 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -7.622388E+01      1.524500E-02     0       +3.00      1.375272E-05    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.034809E+01      1.207000E-02     0       +3.00      3.610358E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.685939E+01      1.137200E-02     0       +3.00      5.670785E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.638197E+01      1.127600E-02     0       +3.00      3.568632E-05    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.513942E+01      1.102800E-02     0       +3.00      1.138042E-05    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.771925E+01      9.544000E-03     0       +3.00      5.726894E-05    1.000000E-06    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.374391E+01      8.749000E-03     0       +3.00      1.185914E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.912153E+01      7.824000E-03     0       +3.00      3.017548E-07    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.786689E+01      7.573000E-03     0       +3.00      4.115546E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.271168E+01      6.542000E-03     0       +3.00      8.364947E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.175758E+01      6.352000E-03     0       +3.00      7.484714E-07    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.830165E+01      5.660000E-03     0       +3.00      1.901451E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.659950E+01      5.320000E-03     0       +3.00      1.841069E-05    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.400990E+01      4.802000E-03     0       +3.00      2.382632E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.031184E+01      4.062000E-03     0       +3.00      1.000481E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.787153E+01      3.574000E-03     0       +3.00      1.533419E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.630964E+01      3.262000E-03     0       +3.00      2.834647E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.273438E+01      2.547000E-03     0       +3.00      4.990091E-08    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.057264E+01      2.115000E-03     0       +3.00      7.127434E-07    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.661880E+00      1.132000E-03     0       +3.00      5.123281E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +5.420114E-01      1.080000E-04     0       +3.00      2.110170E-05    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.251597E+00      2.500000E-04     0       +3.00      1.038522E-05    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.981720E+00      5.960000E-04     0       +3.00      5.651133E-07    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.824939E+00      9.650000E-04     0       +3.00      2.962876E-05    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.661880E+00      1.132000E-03     0       +3.00      2.972677E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +7.506229E+00      1.501000E-03     0       +3.00      9.592026E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.674424E+01      3.349000E-03     0       +3.00      1.328494E-05    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.822239E+01      3.644000E-03     0       +3.00      1.738913E-09    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.903931E+01      3.808000E-03     0       +3.00      1.230329E-07    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.129221E+01      4.258000E-03     0       +3.00      7.373095E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.188418E+01      4.377000E-03     0       +3.00      5.885451E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.247270E+01      4.495000E-03     0       +3.00      1.587670E-07    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.543000E+01      7.086000E-03     0       +3.00      7.926141E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.421306E+01      8.843000E-03     0       +3.00      2.322909E-08    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.570250E+01      9.140000E-03     0       +3.00      2.710627E-05    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.697642E+01      9.395000E-03     0       +3.00      3.705735E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.896615E+01      9.793000E-03     0       +3.00      1.746770E-05    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.137377E+01      1.027500E-02     0       +3.00      3.709616E-07    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.276707E+01      1.055300E-02     0       +3.00      1.780544E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.857088E+01      1.171400E-02     0       +3.00      1.615198E-05    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.213204E+01      1.242600E-02     0       +3.00      4.238432E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.345405E+01      1.269100E-02     0       +3.00      6.641581E-06    0.000000E+00    1.271049E-01    6.291800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.698692E+01      1.339700E-02     0       +4.00      4.928374E-06    0.000000E+00    1.208551E-01    5.982400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
