# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:49:25 2025
#                        
# Element                            : La
# Z                                  : 57
# A                                  : 141
# I                                  : 0
# Half-life                   [hours]: 3.91944 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.047970E+02 
# Emax2 (background)             [eV]: 1.840100E+04 
# Number of resonances (<Emax)       : 89
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.032630E+01 
# Ress Int. (n,g) (systematics)  [b.]: 4.010900E+02 
# MACS 30 keV (calculated)       [b.]: 1.033900E-01
# Westcott factor (calculated)       : 1.003150E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.759200E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.942620E+02 
#
# Scattering radius              [fm]: 6.91 +/- 0.48 
#
# Average Gtotal   l=0           [eV]: 6.813330E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.118950E-03 
# Average Gg       l=0           [eV]: 4.843670E-02 
# Average level spacing D0 (l=0) [eV]: 1.463270E+01 
# Neutron strength function S0 (l=0) : 4.113630E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.969978E+02      1.194000E-01     0       +3.00      9.549601E-03    1.360000E-04    5.706996E-02    3.241400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.928728E+02      1.185750E-01     0       +3.00      3.101086E-02    4.400000E-04    5.706996E-02    3.241400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.671238E+02      1.134250E-01     0       +3.00      1.290105E-02    1.830000E-04    5.706996E-02    3.241400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.505867E+02      1.101170E-01     0       +3.00      2.027371E-03    2.900000E-05    5.706996E-02    3.241400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.456965E+02      1.091390E-01     0       +3.00      7.773753E-04    1.100000E-05    5.706996E-02    3.241400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.039841E+02      1.007970E-01     0       +3.00      7.891812E-03    1.120000E-04    5.706996E-02    3.241400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.025090E+02      1.005020E-01     0       +3.00      2.445950E-06    0.000000E+00    5.706996E-02    3.241400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.013953E+02      1.002790E-01     0       +3.00      6.034253E-05    1.000000E-06    5.706996E-02    3.241400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.946287E+02      9.892600E-02     0       +3.00      8.342749E-02    1.185000E-03    5.706996E-02    3.241400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.715515E+02      9.431000E-02     0       +3.00      7.023326E-03    1.000000E-04    5.706996E-02    3.241400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
