# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 23:29:38 2025
#                        
# Element                            : Lr
# Z                                  : 103
# A                                  : 258
# I                                  : 0
# Half-life                   [sec. ]: 3.92 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.063723E+00 
# Emax2 (background)             [eV]: 1.274670E+02 
# Number of resonances (<Emax)       : 99
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 9.975770E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.411860E+02 
# MACS 30 keV (calculated)       [b.]: 4.257200E+00
# Westcott factor (calculated)       : 2.284780E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.146600E+07 
# Res. Int (n,el) (calculated)   [b.]: 1.628520E+06 
#
# Thermal  (n,f) xs              [b.]: 4.380730E+03 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 6.246030E+03
#
# Scattering radius              [fm]: 8.44 +/- 8.44 
#
# Average Gtotal   l=0           [eV]: 2.827540E-03 
# Average reduced (Gn^0) Gn l=0  [eV]: 8.307170E-05 
# Average Gg       l=0           [eV]: 5.647280E-06 
# Average level spacing D0 (l=0) [eV]: 4.565970E-02 
# Neutron strength function S0 (l=0) : 8.828670E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.650975E-01      1.330000E-04     0       +1.50      8.956636E-05    1.000000E-06    5.682616E-06    3.000000E-06    +1.420317E-03   8.590000E-04    +0.000000E+00   0.000000E+00      hfr  
  -5.172923E-01      1.030000E-04     0       +1.50      7.325373E-05    1.000000E-06    5.682616E-06    3.000000E-06    +2.317535E-03   1.402000E-03    +0.000000E+00   0.000000E+00      hfr  
  -4.526465E-01      9.100000E-05     0       +1.50      1.976592E-05    0.000000E+00    5.682616E-06    3.000000E-06    +8.782651E-04   5.310000E-04    +0.000000E+00   0.000000E+00      hfr  
  -4.413121E-01      8.800000E-05     0       +1.50      1.226703E-05    0.000000E+00    5.682616E-06    3.000000E-06    +1.047503E-03   6.340000E-04    +0.000000E+00   0.000000E+00      hfr  
  -3.917878E-01      7.800000E-05     0       +1.50      8.758098E-06    0.000000E+00    5.682616E-06    3.000000E-06    +5.310413E-04   3.210000E-04    +0.000000E+00   0.000000E+00      hfr  
  -3.212645E-01      6.400000E-05     0       +1.50      3.466255E-09    0.000000E+00    5.682616E-06    3.000000E-06    +2.201058E-03   1.332000E-03    +0.000000E+00   0.000000E+00      hfr  
  -2.964194E-01      5.900000E-05     0       +1.50      6.735698E-04    1.000000E-05    5.682616E-06    3.000000E-06    +5.481122E-03   3.316000E-03    +0.000000E+00   0.000000E+00      hfr  
  -8.286690E-02      1.700000E-05     0       +1.50      1.167939E-04    2.000000E-06    5.682616E-06    3.000000E-06    +1.549268E-03   9.370000E-04    +0.000000E+00   0.000000E+00      hfr  
  -2.638620E-10      0.000000E+00     0       +1.50      2.447793E-04    4.000000E-06    5.682616E-06    3.000000E-06    +2.180581E-04   1.320000E-04    +0.000000E+00   0.000000E+00      hfr  
  +4.857512E-02      1.000000E-05     0       +1.50      3.040319E-06    0.000000E+00    5.682616E-06    3.000000E-06    +3.812839E-03   2.307000E-03    +0.000000E+00   0.000000E+00     radiator 
  +1.153172E-01      2.300000E-05     0       +1.50      1.515042E-04    2.000000E-06    5.682616E-06    3.000000E-06    +6.685554E-04   4.050000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.871555E-01      3.700000E-05     0       +1.50      2.093435E-04    3.000000E-06    5.682616E-06    3.000000E-06    +3.653761E-03   2.211000E-03    +0.000000E+00   0.000000E+00      hfr  
  +1.965242E-01      3.900000E-05     0       +1.50      3.362770E-05    1.000000E-06    5.682616E-06    3.000000E-06    +2.892294E-03   1.750000E-03    +0.000000E+00   0.000000E+00      hfr  
  +2.934569E-01      5.900000E-05     0       +1.50      1.615454E-05    0.000000E+00    5.682616E-06    3.000000E-06    +7.243465E-03   4.383000E-03    +0.000000E+00   0.000000E+00      hfr  
  +3.646156E-01      7.300000E-05     0       +1.50      2.818225E-05    0.000000E+00    5.682616E-06    3.000000E-06    +1.748284E-03   1.058000E-03    +0.000000E+00   0.000000E+00      hfr  
  +4.946840E-01      9.900000E-05     0       +1.50      3.853158E-05    1.000000E-06    5.682616E-06    3.000000E-06    +3.448856E-03   2.087000E-03    +0.000000E+00   0.000000E+00      hfr  
  +5.836686E-01      1.170000E-04     0       +1.50      4.426349E-04    7.000000E-06    5.682616E-06    3.000000E-06    +1.430572E-02   8.656000E-03    +0.000000E+00   0.000000E+00      hfr  
  +6.533908E-01      1.310000E-04     0       +1.50      6.111453E-07    0.000000E+00    5.682616E-06    3.000000E-06    +4.112714E-04   2.490000E-04    +0.000000E+00   0.000000E+00      hfr  
  +6.752508E-01      1.350000E-04     0       +1.50      3.108804E-04    5.000000E-06    5.682616E-06    3.000000E-06    +4.069971E-03   2.463000E-03    +0.000000E+00   0.000000E+00      hfr  
