# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 03:04:40 2025
#                        
# Element                            : Lr
# Z                                  : 103
# A                                  : 265
# I                                  : 0
# Half-life                   [hours]: 10 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 6.658238E+00 
# Emax2 (background)             [eV]: 2.000000E+01 
# Number of resonances (<Emax)       : 76
# Number of resonances (<Emax2)      : 202
# Thermal (n,g) xs (systematics) [b.]: 1.132570E+02 
# Ress Int. (n,g) (systematics)  [b.]: 1.375830E+02 
# MACS 30 keV (calculated)       [b.]: 1.278800E-02
# Westcott factor (calculated)       : 2.439320E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.472190E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.327810E+01 
#
# Thermal  (n,f) xs              [b.]: 1.767680E+03 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 8.537830E+02
#
# Scattering radius              [fm]: 8.51 +/- 0.60 
#
# Average Gtotal   l=0           [eV]: 7.032750E-03 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.757630E-05 
# Average Gg       l=0           [eV]: 5.105980E-04 
# Average level spacing D0 (l=0) [eV]: 1.040350E-01 
# Neutron strength function S0 (l=0) : 2.267370E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.462101E+00      2.920000E-04     0       +6.00      1.852253E-07    0.000000E+00    5.217330E-04    3.550000E-04    +6.891746E-03   4.696000E-03    +0.000000E+00   0.000000E+00      hfr  
  -1.205965E+00      2.410000E-04     0       +6.00      7.470751E-06    0.000000E+00    5.217330E-04    3.550000E-04    +1.006744E-03   6.860000E-04    +0.000000E+00   0.000000E+00      hfr  
  -1.195322E+00      2.390000E-04     0       +6.00      6.865921E-06    0.000000E+00    5.217330E-04    3.550000E-04    +3.232077E-05   2.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -1.002608E+00      2.010000E-04     0       +6.00      2.352510E-05    0.000000E+00    5.217330E-04    3.550000E-04    +1.263358E-03   8.610000E-04    +0.000000E+00   0.000000E+00      hfr  
  -8.123629E-01      1.620000E-04     0       +6.00      5.532696E-06    0.000000E+00    5.217330E-04    3.550000E-04    +7.540517E-03   5.138000E-03    +0.000000E+00   0.000000E+00      hfr  
  -7.544615E-01      1.510000E-04     0       +6.00      8.662141E-06    0.000000E+00    5.217330E-04    3.550000E-04    +1.501246E-02   1.022900E-02    +0.000000E+00   0.000000E+00      hfr  
  -6.853907E-01      1.370000E-04     0       +6.00      4.133002E-05    1.000000E-06    5.217330E-04    3.550000E-04    +4.480692E-03   3.053000E-03    +0.000000E+00   0.000000E+00      hfr  
  -4.578421E-01      9.200000E-05     0       +6.00      2.055665E-05    0.000000E+00    5.217330E-04    3.550000E-04    +2.724138E-03   1.856000E-03    +0.000000E+00   0.000000E+00      hfr  
  -3.116629E-01      6.200000E-05     0       +6.00      9.137844E-05    2.000000E-06    5.217330E-04    3.550000E-04    +1.002345E-02   6.830000E-03    +0.000000E+00   0.000000E+00      hfr  
  -2.150290E-01      4.300000E-05     0       +6.00      1.481483E-05    0.000000E+00    5.217330E-04    3.550000E-04    +1.464039E-03   9.980000E-04    +0.000000E+00   0.000000E+00      hfr  
  -1.721308E-01      3.400000E-05     0       +6.00      9.579550E-06    0.000000E+00    5.217330E-04    3.550000E-04    +2.223518E-03   1.515000E-03    +0.000000E+00   0.000000E+00      hfr  
  -5.765880E-03      1.000000E-06     0       +6.00      5.358606E-06    0.000000E+00    5.217330E-04    3.550000E-04    +6.591777E-03   4.491000E-03    +0.000000E+00   0.000000E+00     radiator 
  +1.403284E-01      2.800000E-05     0       +6.00      1.526303E-04    3.000000E-06    5.217330E-04    3.550000E-04    +1.179668E-02   8.038000E-03    +0.000000E+00   0.000000E+00     radiator 
  +3.297479E-01      6.600000E-05     0       +6.00      2.542350E-04    4.000000E-06    5.217330E-04    3.550000E-04    +8.223665E-03   5.603000E-03    +0.000000E+00   0.000000E+00      hfr  
  +3.339226E-01      6.700000E-05     0       +6.00      5.779698E-05    1.000000E-06    5.217330E-04    3.550000E-04    +1.703758E-02   1.160900E-02    +0.000000E+00   0.000000E+00      hfr  
  +4.322290E-01      8.600000E-05     0       +6.00      3.701352E-05    1.000000E-06    5.217330E-04    3.550000E-04    +1.191810E-02   8.121000E-03    +0.000000E+00   0.000000E+00      hfr  
  +4.916768E-01      9.800000E-05     0       +6.00      1.620338E-04    3.000000E-06    5.217330E-04    3.550000E-04    +3.769551E-03   2.568000E-03    +0.000000E+00   0.000000E+00      hfr  
  +7.856191E-01      1.570000E-04     0       +6.00      1.006328E-05    0.000000E+00    5.217330E-04    3.550000E-04    +3.987052E-04   2.720000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.021107E+00      2.040000E-04     0       +6.00      5.710575E-05    1.000000E-06    5.217330E-04    3.550000E-04    +3.331840E-03   2.270000E-03    +0.000000E+00   0.000000E+00      hfr  
  +1.166469E+00      2.330000E-04     0       +6.00      8.503444E-05    1.000000E-06    5.217330E-04    3.550000E-04    +5.247760E-03   3.576000E-03    +0.000000E+00   0.000000E+00      hfr  
  +1.193983E+00      2.390000E-04     0       +6.00      2.482604E-06    0.000000E+00    5.217330E-04    3.550000E-04    +4.669517E-04   3.180000E-04    +0.000000E+00   0.000000E+00      hfr  
  +1.498519E+00      3.000000E-04     0       +6.00      1.175526E-05    0.000000E+00    5.217330E-04    3.550000E-04    +2.862131E-02   1.950200E-02    +0.000000E+00   0.000000E+00      hfr  
  +1.536817E+00      3.070000E-04     0       +6.00      1.269809E-04    2.000000E-06    5.217330E-04    3.550000E-04    +5.777672E-03   3.937000E-03    +0.000000E+00   0.000000E+00      hfr  
  +1.588962E+00      3.180000E-04     0       +6.00      7.423806E-06    0.000000E+00    5.217330E-04    3.550000E-04    +1.823232E-03   1.242000E-03    +0.000000E+00   0.000000E+00      hfr  
  +1.616106E+00      3.230000E-04     0       +6.00      3.683278E-05    1.000000E-06    5.217330E-04    3.550000E-04    +1.420481E-02   9.679000E-03    +0.000000E+00   0.000000E+00      hfr  
  +1.730032E+00      3.460000E-04     0       +6.00      3.638778E-04    6.000000E-06    5.217330E-04    3.550000E-04    +5.738332E-03   3.910000E-03    +0.000000E+00   0.000000E+00      hfr  
