# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 19:16:21 2025
#                        
# Element                            : Lu
# Z                                  : 71
# A                                  : 159
# I                                  : 0
# Half-life                   [sec. ]: 12.1 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.495496E+00 
# Emax2 (background)             [eV]: 1.141770E+02 
# Number of resonances (<Emax)       : 94
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.418300E+02 
# Ress Int. (n,g) (systematics)  [b.]: 2.136890E+03 
# MACS 30 keV (calculated)       [b.]: 8.694700E+00
# Westcott factor (calculated)       : 1.216020E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.346270E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.784990E+01 
#
# Scattering radius              [fm]: 7.19 +/- 7.19 
#
# Average Gtotal   l=0           [eV]: 1.159200E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 9.565540E-07 
# Average Gg       l=0           [eV]: 1.159180E-01 
# Average level spacing D0 (l=0) [eV]: 9.653960E-02 
# Neutron strength function S0 (l=0) : 3.846710E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.444579E+00      2.890000E-04     0       +0.00      3.795616E-06    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.384363E+00      2.770000E-04     0       +0.00      1.401708E-07    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.763724E-01      1.150000E-04     0       +0.00      1.289171E-06    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.132231E-01      6.300000E-05     0       +0.00      2.205282E-07    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.779575E-02      2.000000E-05     0       +0.00      3.500969E-07    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -9.659695E-02      1.900000E-05     0       +0.00      1.034148E-07    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.779575E-02      2.000000E-05     0       +0.00      2.182213E-06    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +2.425939E-01      4.900000E-05     0       +0.00      4.997033E-06    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.774748E-01      7.500000E-05     0       +0.00      3.755019E-07    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.150299E-01      8.300000E-05     0       +0.00      1.124270E-06    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.248146E-01      1.250000E-04     0       +0.00      1.481749E-05    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.922979E-01      1.980000E-04     0       +0.00      2.951878E-06    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.085905E+00      2.170000E-04     0       +0.00      6.287828E-07    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.334499E+00      2.670000E-04     0       +0.00      1.748170E-08    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.535714E+00      3.070000E-04     0       +0.00      6.902711E-06    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.667924E+00      3.340000E-04     0       +0.00      1.431958E-09    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.741417E+00      3.480000E-04     0       +0.00      7.427613E-06    0.000000E+00    1.163697E-01    4.844400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
