# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 23:00:16 2025
#                        
# Element                            : Lu
# Z                                  : 71
# A                                  : 168
# I                                  : 0
# Half-life                   [min. ]: 5.5 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.839831E+00 
# Emax2 (background)             [eV]: 2.515040E+01 
# Number of resonances (<Emax)       : 94
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.495260E+02 
# Ress Int. (n,g) (systematics)  [b.]: 3.179400E+03 
# MACS 30 keV (calculated)       [b.]: 1.017300E+01
# Westcott factor (calculated)       : 8.814800E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.724850E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.107470E+01 
#
# Scattering radius              [fm]: 7.32 +/- 7.32 
#
# Average Gtotal   l=0           [eV]: 9.362470E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.723650E-07 
# Average Gg       l=0           [eV]: 9.362460E-02 
# Average level spacing D0 (l=0) [eV]: 3.227070E-02 
# Neutron strength function S0 (l=0) : 2.651040E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.038887E-01      2.100000E-05     0       +5.50      2.880446E-08    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.936524E-02      1.800000E-05     0       +5.50      4.310899E-08    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.761887E-02      8.000000E-06     0       +5.50      6.631395E-08    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.158783E-02      6.000000E-06     0       +5.50      6.588860E-13    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.860748E-02      4.000000E-06     0       +5.50      4.878348E-09    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.184073E-02      2.000000E-06     0       +5.50      1.360579E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.860748E-02      4.000000E-06     0       +5.50      1.536317E-08    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.837165E-02      1.000000E-05     0       +5.50      7.447984E-08    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.319913E-02      1.900000E-05     0       +5.50      8.490883E-08    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.004304E-01      2.000000E-05     0       +5.50      4.311925E-09    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.159031E-01      4.300000E-05     0       +5.50      3.234872E-08    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.380242E-01      4.800000E-05     0       +5.50      5.410690E-10    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.740467E-01      5.500000E-05     0       +5.50      8.041216E-09    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.242521E-01      6.500000E-05     0       +5.50      5.718064E-08    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.453295E-01      6.900000E-05     0       +5.50      2.315112E-09    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.539602E-01      7.100000E-05     0       +5.50      4.681808E-08    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.740529E-01      7.500000E-05     0       +5.50      1.784989E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.604997E-01      9.200000E-05     0       +5.50      3.468632E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.210291E-01      1.040000E-04     0       +5.50      1.208796E-08    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.357289E-01      1.070000E-04     0       +5.50      1.118144E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.569099E-01      1.110000E-04     0       +5.50      1.521233E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.734068E-01      1.150000E-04     0       +5.50      8.522904E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.043229E-01      1.210000E-04     0       +5.50      1.727262E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.558774E-01      1.310000E-04     0       +5.50      3.605597E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.762336E-01      1.350000E-04     0       +5.50      4.878420E-10    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.001181E-01      1.400000E-04     0       +5.50      1.007695E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.604538E-01      1.520000E-04     0       +5.50      2.062410E-09    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.776377E-01      1.560000E-04     0       +5.50      4.743290E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.845533E-01      1.570000E-04     0       +5.50      2.260542E-08    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.770813E-01      1.750000E-04     0       +5.50      6.321407E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.241449E-01      1.850000E-04     0       +5.50      3.829358E-08    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.814545E-01      1.960000E-04     0       +5.50      4.641056E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.019209E+00      2.040000E-04     0       +5.50      2.604532E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.039536E+00      2.080000E-04     0       +5.50      8.348401E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.091658E+00      2.180000E-04     0       +5.50      2.440701E-08    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.110796E+00      2.220000E-04     0       +5.50      1.008088E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.132323E+00      2.260000E-04     0       +5.50      2.225678E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.223279E+00      2.450000E-04     0       +5.50      9.790426E-09    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.255063E+00      2.510000E-04     0       +5.50      2.136962E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.265954E+00      2.530000E-04     0       +5.50      1.334008E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.281107E+00      2.560000E-04     0       +5.50      3.013398E-07    0.000000E+00    9.536420E-02    4.446800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
