# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 22:59:05 2025
#                        
# Element                            : Lu
# Z                                  : 71
# A                                  : 168
# I                                  : 1
# Half-life                   [min. ]: 6.7 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.321962E+00 
# Emax2 (background)             [eV]: 2.012030E+02 
# Number of resonances (<Emax)       : 26
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 8.844240E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.602710E+03 
# MACS 30 keV (calculated)       [b.]: 9.939700E+00
# Westcott factor (calculated)       : 1.045300E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.596600E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.402950E+01 
#
# Scattering radius              [fm]: 7.32 +/- 7.32 
#
# Average Gtotal   l=0           [eV]: 1.442220E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.929220E-06 
# Average Gg       l=0           [eV]: 1.442210E-01 
# Average level spacing D0 (l=0) [eV]: 1.728780E-01 
# Neutron strength function S0 (l=0) : 5.201340E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.539894E-02      9.000000E-06     0       +2.50      1.800898E-07    0.000000E+00    1.457651E-01    6.797000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.521754E-02      9.000000E-06     0       +2.50      5.801747E-08    0.000000E+00    1.457651E-01    6.797000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.778828E-01      5.600000E-05     0       +2.50      4.476554E-06    0.000000E+00    1.457651E-01    6.797000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.922377E-01      9.800000E-05     0       +2.50      9.265352E-06    0.000000E+00    1.457651E-01    6.797000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.585489E-01      1.320000E-04     0       +2.50      6.231481E-06    0.000000E+00    1.457651E-01    6.797000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.737759E-01      1.550000E-04     0       +2.50      2.025117E-06    0.000000E+00    1.457651E-01    6.797000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.015665E+00      2.030000E-04     0       +2.50      2.361379E-06    0.000000E+00    1.457651E-01    6.797000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.180636E+00      2.360000E-04     0       +2.50      5.097571E-07    0.000000E+00    1.457651E-01    6.797000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.368178E+00      2.740000E-04     0       +2.50      1.280573E-06    0.000000E+00    1.457651E-01    6.797000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.534709E+00      3.070000E-04     0       +2.50      4.937346E-06    0.000000E+00    1.457651E-01    6.797000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.689996E+00      3.380000E-04     0       +2.50      2.637767E-06    0.000000E+00    1.457651E-01    6.797000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.902521E+00      3.810000E-04     0       +2.50      1.939111E-06    0.000000E+00    1.457651E-01    6.797000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.162875E+00      4.330000E-04     0       +3.50      1.019398E-07    0.000000E+00    1.430878E-01    6.672200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
