# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 19:12:07 2025
#                        
# Element                            : Lu
# Z                                  : 71
# A                                  : 171
# I                                  : 1
# Half-life                   [min. ]: 1.31667 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.639299E+01 
# Emax2 (background)             [eV]: 2.053160E+03 
# Number of resonances (<Emax)       : 92
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 4.249610E+01 
# Ress Int. (n,g) (systematics)  [b.]: 3.140610E+02 
# MACS 30 keV (calculated)       [b.]: 2.178200E+00
# Westcott factor (calculated)       : 9.815400E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.933580E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.474690E+01 
#
# Scattering radius              [fm]: 7.37 +/- 7.37 
#
# Average Gtotal   l=0           [eV]: 1.360160E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.573490E-05 
# Average Gg       l=0           [eV]: 1.359540E-01 
# Average level spacing D0 (l=0) [eV]: 1.107600E+00 
# Neutron strength function S0 (l=0) : 6.551230E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.452348E+01      4.905000E-03     0       +0.00      6.973564E-06    0.000000E+00    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.897346E+01      3.795000E-03     0       +0.00      6.183172E-05    1.000000E-06    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.069343E+01      2.139000E-03     0       +0.00      1.744665E-06    0.000000E+00    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.986917E+00      1.797000E-03     0       +0.00      5.949051E-05    1.000000E-06    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.181223E+00      1.636000E-03     0       +0.00      2.845749E-04    4.000000E-06    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.658640E+00      1.332000E-03     0       +0.00      1.736523E-04    2.000000E-06    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.068064E+00      1.214000E-03     0       +0.00      3.180911E-04    4.000000E-06    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.036844E+00      1.007000E-03     0       +0.00      2.280061E-04    3.000000E-06    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.181742E+00      8.360000E-04     0       +0.00      2.445584E-05    0.000000E+00    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.925870E+00      3.850000E-04     0       +0.00      8.701326E-05    1.000000E-06    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.281412E+00      2.560000E-04     0       +0.00      1.450938E-05    0.000000E+00    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.064677E+00      2.130000E-04     0       +0.00      2.192048E-05    0.000000E+00    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.452857E-01      1.690000E-04     0       +0.00      1.444015E-04    2.000000E-06    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.406452E+00      2.810000E-04     0       +0.00      5.816927E-07    0.000000E+00    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.925870E+00      3.850000E-04     0       +0.00      3.428850E-07    0.000000E+00    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +2.602701E+00      5.210000E-04     0       +0.00      3.667005E-05    0.000000E+00    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.970413E+00      7.940000E-04     0       +0.00      4.497001E-05    1.000000E-06    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.455711E+00      8.910000E-04     0       +0.00      7.246078E-04    9.000000E-06    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.757776E+00      9.520000E-04     0       +0.00      1.364325E-04    2.000000E-06    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.762669E+00      9.530000E-04     0       +0.00      4.766306E-04    6.000000E-06    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.973861E+00      1.795000E-03     0       +0.00      1.048207E-04    1.000000E-06    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.304514E+00      1.861000E-03     0       +0.00      9.340439E-06    0.000000E+00    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.575498E+00      1.915000E-03     0       +0.00      7.625757E-06    0.000000E+00    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.006310E+01      2.013000E-03     0       +0.00      6.757631E-05    1.000000E-06    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.215706E+01      2.431000E-03     0       +0.00      1.905187E-06    0.000000E+00    1.383126E-01    6.907100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.431681E+01      2.863000E-03     0       +1.00      1.706579E-04    2.000000E-06    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.504269E+01      3.009000E-03     0       +1.00      1.687386E-05    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.746082E+01      3.492000E-03     0       +1.00      7.089758E-08    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.801589E+01      3.603000E-03     0       +1.00      9.879957E-05    1.000000E-06    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.821009E+01      3.642000E-03     0       +1.00      3.449580E-07    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.066408E+01      4.133000E-03     0       +1.00      1.519195E-05    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.205951E+01      4.412000E-03     0       +1.00      1.454520E-04    2.000000E-06    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.280784E+01      4.562000E-03     0       +1.00      8.637277E-06    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.294501E+01      4.589000E-03     0       +1.00      5.787174E-07    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.560079E+01      5.120000E-03     0       +1.00      6.785402E-05    1.000000E-06    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.643476E+01      5.287000E-03     0       +1.00      7.413508E-05    1.000000E-06    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.772605E+01      5.545000E-03     0       +1.00      1.741372E-07    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.037391E+01      6.075000E-03     0       +1.00      1.417903E-04    2.000000E-06    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.104627E+01      6.209000E-03     0       +1.00      1.759096E-05    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.352804E+01      6.706000E-03     0       +1.00      1.187063E-06    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.495933E+01      6.992000E-03     0       +1.00      2.334323E-04    3.000000E-06    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.593565E+01      7.187000E-03     0       +1.00      2.959143E-05    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.664303E+01      7.329000E-03     0       +1.00      4.465360E-05    1.000000E-06    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.692245E+01      7.384000E-03     0       +1.00      1.344935E-05    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.718724E+01      7.437000E-03     0       +1.00      3.517348E-04    4.000000E-06    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.806661E+01      7.613000E-03     0       +1.00      3.864335E-05    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.857037E+01      7.714000E-03     0       +1.00      3.629162E-05    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.971494E+01      7.943000E-03     0       +1.00      1.005095E-04    1.000000E-06    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.297633E+01      8.595000E-03     0       +1.00      1.445826E-05    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.345940E+01      8.692000E-03     0       +1.00      2.195229E-06    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.525343E+01      9.051000E-03     0       +1.00      1.186987E-05    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.600698E+01      9.201000E-03     0       +1.00      1.581558E-07    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.651538E+01      9.303000E-03     0       +1.00      1.090281E-06    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.806239E+01      9.612000E-03     0       +1.00      2.382239E-05    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.878637E+01      9.757000E-03     0       +1.00      2.394091E-06    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.148138E+01      1.029600E-02     0       +1.00      1.893153E-06    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.149875E+01      1.030000E-02     0       +1.00      1.205688E-04    2.000000E-06    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.159308E+01      1.031900E-02     0       +1.00      4.673880E-12    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.225392E+01      1.045100E-02     0       +1.00      4.357055E-06    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.503815E+01      1.100800E-02     0       +1.00      5.311625E-05    1.000000E-06    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.620440E+01      1.124100E-02     0       +1.00      1.047646E-05    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.829827E+01      1.166000E-02     0       +1.00      2.779826E-05    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.857197E+01      1.171400E-02     0       +1.00      3.161047E-06    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.902449E+01      1.180500E-02     0       +1.00      2.812559E-05    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.990273E+01      1.198100E-02     0       +1.00      4.413856E-06    0.000000E+00    1.355321E-01    6.768200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
