# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 02:32:19 2025
#                        
# Element                            : Lu
# Z                                  : 71
# A                                  : 172
# I                                  : 0
# Half-life                   [days ]: 6.70023 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 7.954049E+00 
# Emax2 (background)             [eV]: 1.291980E+02 
# Number of resonances (<Emax)       : 93
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 9.591490E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.558190E+03 
# MACS 30 keV (calculated)       [b.]: 6.532200E+00
# Westcott factor (calculated)       : 1.191530E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.721690E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.830590E+01 
#
# Scattering radius              [fm]: 7.38 +/- 7.38 
#
# Average Gtotal   l=0           [eV]: 7.895670E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.086570E-06 
# Average Gg       l=0           [eV]: 7.895480E-02 
# Average level spacing D0 (l=0) [eV]: 9.142570E-02 
# Neutron strength function S0 (l=0) : 5.828600E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.732110E-01      1.150000E-04     0       +3.50      2.471410E-06    0.000000E+00    8.038308E-02    4.120200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.539778E-01      9.100000E-05     0       +3.50      4.760275E-06    0.000000E+00    8.038308E-02    4.120200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.839205E-01      5.700000E-05     0       +3.50      1.309865E-07    0.000000E+00    8.038308E-02    4.120200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.414486E-01      4.800000E-05     0       +3.50      2.909781E-07    0.000000E+00    8.038308E-02    4.120200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.379815E-02      1.900000E-05     0       +3.50      1.016683E-07    0.000000E+00    8.038308E-02    4.120200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +4.885581E-02      1.000000E-05     0       +3.50      7.148654E-08    0.000000E+00    8.038308E-02    4.120200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.309612E-02      1.100000E-05     0       +3.50      2.403641E-08    0.000000E+00    8.038308E-02    4.120200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.379815E-02      1.900000E-05     0       +3.50      4.226992E-07    0.000000E+00    8.038308E-02    4.120200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +2.200451E-01      4.400000E-05     0       +3.50      1.800109E-06    0.000000E+00    8.038308E-02    4.120200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.097514E-01      8.200000E-05     0       +3.50      4.051666E-06    0.000000E+00    8.038308E-02    4.120200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
