# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 04:13:32 2025
#                        
# Element                            : Md
# Z                                  : 101
# A                                  : 258
# I                                  : 0
# Half-life                   [days ]: 51.5856 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.893186E+00 
# Emax2 (background)             [eV]: 1.000000E+02 
# Number of resonances (<Emax)       : 100
# Number of resonances (<Emax2)      : 100
# Thermal  (n,g) xs (calculated) [b.]: 1.541250E+01 
# Thermal  (n,g) xs (experiment) [b.]: 52 +/- 2.6 
# Ress Int. (n,g) (systematics)  [b.]: 1.380120E+02 
# MACS 30 keV (calculated)       [b.]: 2.747300E+00
# Westcott factor (calculated)       : 9.396480E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.864600E+07 
# Res. Int (n,el) (calculated)   [b.]: 1.673030E+06 
#
# Thermal  (n,f) xs (calculated) [b.]: 4.866370E+02 
# Thermal  (n,f) xs (experiment) [b.]: 2950 +/- 160 
# Resonance Integral (n,f) xs    [b.]: 2.812000E+02
#
# Scattering radius              [fm]: 8.44 +/- 8.44 
#
# Average Gtotal   l=0           [eV]: 8.482070E-05 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.644930E-05 
# Average Gg       l=0           [eV]: 2.052010E-07 
# Average level spacing D0 (l=0) [eV]: 4.098080E-02 
# Neutron strength function S0 (l=0) : 8.046310E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.849505E-01      5.700000E-05     0       +7.50      2.613983E-04    4.000000E-06    2.087312E-07    0.000000E+00    +1.102458E-05   7.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -2.791188E-01      5.600000E-05     0       +7.50      1.235515E-05    0.000000E+00    2.087312E-07    0.000000E+00    +1.235736E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.206171E-01      2.400000E-05     0       +7.50      5.023282E-05    1.000000E-06    2.087312E-07    0.000000E+00    +1.178469E-05   8.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.469730E-10      0.000000E+00     0       +7.50      6.591542E-05    1.000000E-06    2.087312E-07    0.000000E+00    +5.489782E-06   4.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +2.420408E-02      5.000000E-06     0       +7.50      1.626144E-06    0.000000E+00    2.087312E-07    0.000000E+00    +9.997397E-06   7.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +4.763711E-02      1.000000E-05     0       +7.50      3.040882E-05    1.000000E-06    2.087312E-07    0.000000E+00    +1.567544E-05   1.000000E-05    +0.000000E+00   0.000000E+00     radiator 
  +1.022537E-01      2.000000E-05     0       +7.50      9.418972E-05    2.000000E-06    2.087312E-07    0.000000E+00    +4.061226E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.974004E-01      3.900000E-05     0       +7.50      5.308062E-06    0.000000E+00    2.087312E-07    0.000000E+00    +6.975542E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.452418E-01      4.900000E-05     0       +7.50      2.146223E-04    4.000000E-06    2.087312E-07    0.000000E+00    +3.151222E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.866188E-01      7.700000E-05     0       +7.50      6.137121E-05    1.000000E-06    2.087312E-07    0.000000E+00    +6.471419E-06   4.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +4.076325E-01      8.200000E-05     0       +7.50      5.842317E-04    1.000000E-05    2.087312E-07    0.000000E+00    +1.022263E-05   7.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +5.166789E-01      1.030000E-04     0       +7.50      2.252603E-05    0.000000E+00    2.087312E-07    0.000000E+00    +1.303582E-05   9.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +6.081497E-01      1.220000E-04     0       +7.50      3.501996E-06    0.000000E+00    2.087312E-07    0.000000E+00    +1.766422E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +6.394356E-01      1.280000E-04     0       +7.50      1.270991E-05    0.000000E+00    2.087312E-07    0.000000E+00    +1.397228E-05   9.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +6.834956E-01      1.370000E-04     0       +7.50      1.055070E-06    0.000000E+00    2.087312E-07    0.000000E+00    +3.508876E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +8.337421E-01      1.670000E-04     0       +7.50      4.143189E-05    1.000000E-06    2.087312E-07    0.000000E+00    +3.388524E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +8.463202E-01      1.690000E-04     0       +7.50      6.464613E-06    0.000000E+00    2.087312E-07    0.000000E+00    +4.608019E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.891860E-01      1.780000E-04     0       +7.50      6.762391E-06    0.000000E+00    2.087312E-07    0.000000E+00    +3.993133E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +8.916095E-01      1.780000E-04     0       +7.50      1.757151E-05    0.000000E+00    2.087312E-07    0.000000E+00    +1.280156E-05   8.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +9.167466E-01      1.830000E-04     0       +7.50      2.374561E-05    0.000000E+00    2.087312E-07    0.000000E+00    +1.625088E-05   1.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  +9.324881E-01      1.860000E-04     0       +7.50      9.840418E-05    2.000000E-06    2.087312E-07    0.000000E+00    +7.274550E-06   5.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +9.422127E-01      1.880000E-04     0       +7.50      1.952729E-04    3.000000E-06    2.087312E-07    0.000000E+00    +2.692990E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +9.930983E-01      1.990000E-04     0       +7.50      9.687504E-06    0.000000E+00    2.087312E-07    0.000000E+00    +9.396432E-07   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
