# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 04:28:19 2025
#                        
# Element                            : Md
# Z                                  : 101
# A                                  : 258
# I                                  : 1
# Half-life                   [min. ]: 57 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 7.656508E+01 
# Emax2 (background)             [eV]: 1.000000E+02 
# Number of resonances (<Emax)       : 701
# Number of resonances (<Emax2)      : 814
# Thermal (n,g) xs (systematics) [b.]: 8.301050E+01 
# Ress Int. (n,g) (systematics)  [b.]: 6.566420E+01 
# MACS 30 keV (calculated)       [b.]: 1.378400E+00
# Westcott factor (calculated)       : 2.074100E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 3.447430E+07 
# Res. Int (n,el) (calculated)   [b.]: 1.339120E+06 
#
# Thermal  (n,f) xs              [b.]: 4.944180E+02 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 1.383190E+02
#
# Scattering radius              [fm]: 8.44 +/- 8.44 
#
# Average Gtotal   l=0           [eV]: 1.751820E-04 
# Average reduced (Gn^0) Gn l=0  [eV]: 5.565810E-05 
# Average Gg       l=0           [eV]: 2.242140E-06 
# Average level spacing D0 (l=0) [eV]: 2.299250E-01 
# Neutron strength function S0 (l=0) : 1.127330E-04 
#
# Average Gtotal   l=1           [eV]: 9.676010E-06 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.264070E-03 
# Average Gg       l=1           [eV]: 2.231360E-06 
# Average level spacing D1 (l=1) [eV]: 2.156760E-01 
# Neutron strength function S1 (l=1) : 1.086480E-03 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.845480E+00      3.690000E-04     0       +0.50      4.169503E-05    1.000000E-06    2.250925E-06    1.000000E-06    +2.711680E-05   1.800000E-05    +0.000000E+00   0.000000E+00      hfr  
  -1.398196E+00      2.800000E-04     0       +0.50      6.754926E-06    0.000000E+00    2.250925E-06    1.000000E-06    +7.558266E-06   5.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.395212E+00      2.790000E-04     0       +0.50      3.088302E-06    0.000000E+00    2.250925E-06    1.000000E-06    +1.038678E-05   7.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.172716E+00      2.350000E-04     0       +0.50      3.824079E-04    6.000000E-06    2.250925E-06    1.000000E-06    +1.775336E-05   1.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -1.080080E+00      2.160000E-04     0       +0.50      6.814935E-05    1.000000E-06    2.250925E-06    1.000000E-06    +4.805655E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -7.161276E-01      1.430000E-04     0       +0.50      7.338177E-07    0.000000E+00    2.250925E-06    1.000000E-06    +2.533277E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -7.123892E-01      1.420000E-04     0       +0.50      1.297596E-03    2.100000E-05    2.250925E-06    1.000000E-06    +1.270605E-05   8.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -6.514151E-01      1.300000E-04     0       +0.50      1.074993E-04    2.000000E-06    2.250925E-06    1.000000E-06    +4.343684E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.734778E-01      5.500000E-05     0       +0.50      8.199160E-04    1.400000E-05    2.250925E-06    1.000000E-06    +6.704240E-06   4.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -2.629378E-01      5.300000E-05     0       +0.50      7.357734E-04    1.200000E-05    2.250925E-06    1.000000E-06    +5.749593E-06   4.000000E-06    +0.000000E+00   0.000000E+00      hfr  
