# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 18:17:19 2025
#                        
# Element                            : Mg
# Z                                  : 12
# A                                  : 26
# I                                  : 0
# Abundancy                       [%]: 11.01
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.428691E+04 
# Emax2 (background)             [eV]: 7.600010E+05 
# Number of resonances (<Emax)       : 31
# Number of resonances (<Emax2)      : 31
# Thermal  (n,g) xs (calculated) [b.]: 3.739430E-02 
# Thermal  (n,g) xs (experiment) [b.]: 0.0374 +/- 0.0004 
# Res. Int (n,g) (calculated)    [b.]: 3.930330E-02  
# Res. Int (n,g) (experiment)    [b.]: 0.024 +/- 0.002 
# MACS 30 keV (calculated)       [b.]: 2.658500E-03
# Westcott factor (calculated)       : 1.000560E+00
#
# Thermal (n,el) xs (calculated) [b.]: 4.160550E+00 
# Thermal (n,el) xs (experiment) [b.]: 2.83 +/- 0.17 
# Res. Int (n,el) (calculated)   [b.]: 4.634460E+01 
#
# Scattering radius              [fm]: 5.15 +/- 0.20 
#
# Average Gtotal   l=0           [eV]: 1.709490E+02 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.432270E-01 
# Average Gg       l=0           [eV]: 4.643100E-01 
# Average level spacing D0 (l=0) [eV]: 5.428690E+04 
# Neutron strength function S0 (l=0) : 2.738140E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.265336E+05      6.390640E-01     0       +0.50      4.382085E+00    2.230500E-02    2.020000E+00    4.112660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.878243E+05      5.995810E-01     0       +0.50      3.371262E+00    1.715900E-02    1.180000E-01    2.402400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.650211E+05      5.763220E-01     1       +0.50      2.630325E-03    1.300000E-05    1.500000E+00    3.053960E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.749121E+05      4.844100E-01     1       +1.50      3.760254E+00    1.913900E-02    1.810000E+00    3.685110E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.185264E+05      4.268970E-01     1       +1.50      2.479174E+03    1.261882E+01    6.300000E+00    1.282663E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.796088E+05      3.872010E-01     1       +0.50      1.174385E+02    5.977540E-01    4.300000E+00    8.754680E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.694327E+05      3.768210E-01     1       +0.50      9.632177E+02    4.902711E+00    4.200000E+00    8.551080E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.107317E+05      2.149460E-01     1       +1.50      9.632177E+00    4.902700E-02    6.300000E-01    1.282660E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.283352E+05      1.309020E-01     0       +0.50      9.138053E+02    4.651205E+00    4.643098E-01    9.453200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.348948E+04      8.515900E-02     0       +0.50      1.376423E+00    7.006000E-03    4.643098E-01    9.453200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.626230E+04      3.698800E-02     0       +0.50      7.612109E+01    3.874510E-01    4.643098E-01    9.453200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
