# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 19:11:05 2025
#                        
# Element                            : Mo
# Z                                  : 42
# A                                  : 84
# I                                  : 0
# Half-life                   [sec. ]: 2.3 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.509552E+01 
# Emax2 (background)             [eV]: 1.136720E+02 
# Number of resonances (<Emax)       : 10
# Number of resonances (<Emax2)      : 14
# Thermal (n,g) xs (systematics) [b.]: 2.568660E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.070810E+01 
# MACS 30 keV (calculated)       [b.]: 1.521800E-03
# Westcott factor (calculated)       : 1.000050E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 9.934820E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.980150E+01 
#
# Scattering radius              [fm]: 5.83 +/- 5.83 
#
# Average Gtotal   l=0           [eV]: 2.528350E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.013830E-01 
# Average Gg       l=0           [eV]: 2.527540E-01 
# Average level spacing D0 (l=0) [eV]: 2.254780E+01 
# Neutron strength function S0 (l=0) : 1.245030E-02 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -8.423849E+01      1.684800E-02     0       +0.50      2.485641E-01    2.489000E-03    2.388999E-01    9.567800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.771574E+01      9.543000E-03     0       +0.50      1.460649E-01    1.462000E-03    2.388999E-01    9.567800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.509552E+01      9.019000E-03     0       +0.50      1.717158E-01    1.719000E-03    2.388999E-01    9.567800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.453232E+01      6.906000E-03     1       +0.50      7.910917E-06    0.000000E+00    2.552556E-01    1.022280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.555318E+01      5.111000E-03     1       +0.50      2.640997E-04    3.000000E-06    2.552556E-01    1.022280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.432570E+01      4.865000E-03     1       +0.50      3.483295E-05    0.000000E+00    2.552556E-01    1.022280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.040024E+01      2.080000E-03     1       +0.50      7.748493E-07    0.000000E+00    2.552556E-01    1.022280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.991748E+01      3.983000E-03     1       +0.50      5.452383E-05    1.000000E-06    2.552556E-01    1.022280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.432570E+01      4.865000E-03     1       +0.50      6.530398E-05    1.000000E-06    2.552556E-01    1.022280E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +2.942350E+01      5.885000E-03     1       +1.50      1.225638E-04    1.000000E-06    2.477518E-01    9.922300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.594626E+01      1.318900E-02     1       +1.50      4.072600E-06    0.000000E+00    2.477518E-01    9.922300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.856647E+01      1.371300E-02     1       +1.50      2.128183E-05    0.000000E+00    2.477518E-01    9.922300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.912968E+01      1.582600E-02     1       +1.50      4.251063E-04    4.000000E-06    2.477518E-01    9.922300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.032618E+02      2.065200E-02     1       +1.50      1.273924E-04    1.000000E-06    2.477518E-01    9.922300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
