# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 23:01:33 2025
#                        
# Element                            : Mo
# Z                                  : 42
# A                                  : 86
# I                                  : 0
# Half-life                   [sec. ]: 19.1 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.827707E+01 
# Emax2 (background)             [eV]: 1.290850E+02 
# Number of resonances (<Emax)       : 7
# Number of resonances (<Emax2)      : 13
# Thermal (n,g) xs (systematics) [b.]: 2.256820E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.081920E+01 
# MACS 30 keV (calculated)       [b.]: 1.183700E-01
# Westcott factor (calculated)       : 1.000080E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 8.332070E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.305260E+01 
#
# Scattering radius              [fm]: 5.87 +/- 5.87 
#
# Average Gtotal   l=0           [eV]: 3.015240E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.324250E-01 
# Average Gg       l=0           [eV]: 3.014810E-01 
# Neutron strength function S0 (l=0) : 1.324250E-01 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -8.620377E+01      1.724100E-02     0       +0.50      1.056400E-01    1.060000E-03    3.014815E-01    1.209700E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.858430E+01      1.571700E-02     0       +0.50      1.519690E-01    1.524000E-03    3.014815E-01    1.209700E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.598083E+01      1.319600E-02     0       +0.50      1.730875E-03    1.700000E-05    3.014815E-01    1.209700E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.701810E+01      9.404000E-03     0       +0.50      2.006494E-01    2.013000E-03    3.014815E-01    1.209700E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.827707E+01      7.655000E-03     0       +0.50      2.664497E-03    2.700000E-05    3.014815E-01    1.209700E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.003587E+01      6.007000E-03     1       +0.50      8.271971E-05    1.000000E-06    3.014815E-01    1.209700E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.390656E+01      6.781000E-03     1       +0.50      4.248768E-05    0.000000E+00    3.014815E-01    1.209700E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +4.277973E+01      8.556000E-03     1       +1.50      1.147110E-04    1.000000E-06    2.909134E-01    1.167290E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.039920E+01      1.008000E-02     1       +1.50      2.269683E-05    0.000000E+00    2.909134E-01    1.167290E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.300267E+01      1.260100E-02     1       +1.50      2.733593E-05    0.000000E+00    2.909134E-01    1.167290E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.109371E+01      1.621900E-02     1       +1.50      7.935372E-06    0.000000E+00    2.909134E-01    1.167290E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.196540E+01      1.639300E-02     1       +1.50      2.550634E-05    0.000000E+00    2.909134E-01    1.167290E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.070643E+01      1.814100E-02     2       +2.50      6.698020E-10    0.000000E+00    2.749071E-01    1.103070E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
