# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 19:39:55 2025
#                        
# Element                            : Na
# Z                                  : 11
# A                                  : 23
# I                                  : 0
# Abundancy                       [%]: 100
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.401010E+05 
# Emax2 (background)             [eV]: 4.401010E+05 
# Number of resonances (<Emax)       : 21
# Number of resonances (<Emax2)      : 38
# Thermal  (n,g) xs (calculated) [b.]: 5.210620E-01 
# Thermal  (n,g) xs (experiment) [b.]: 0.525 +/- 0.005 
# Res. Int (n,g) (calculated)    [b.]: 3.008420E-01  
# Res. Int (n,g) (experiment)    [b.]: 0.311 +/- 0.01 
# MACS 30 keV (calculated)       [b.]: 2.047900E-03
# Westcott factor (calculated)       : 1.000570E+00
#
# Thermal (n,el) xs (calculated) [b.]: 3.085710E+00 
# Thermal (n,el) xs (experiment) [b.]: 3.038 +/- 0.007 
# Res. Int (n,el) (calculated)   [b.]: 1.236360E+02 
#
# Scattering radius              [fm]: 4.90 +/- 0.20 
#
# Average Gtotal   l=0           [eV]: 9.350270E+02 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.825370E+00 
# Average Gg       l=0           [eV]: 1.026670E+00 
# Average level spacing D0 (l=0) [eV]: 2.200500E+05 
# Neutron strength function S0 (l=0) : 1.195100E-05 
#
# Average Gtotal   l=1           [eV]: 5.912790E+03 
# Average reduced (Gn^1) Gn l=1  [eV]: 5.625720E+01 
# Average Gg       l=1           [eV]: 4.157670E+00 
# Average level spacing D1 (l=1) [eV]: 4.890010E+04 
# Neutron strength function S1 (l=1) : 1.468270E-04 
#
# Average Gtotal   l=2           [eV]: 1.720760E+01 
# Average reduced (Gn^2) Gn l=2  [eV]: 8.884230E+00 
# Average Gg       l=2           [eV]: 1.940000E+00 
# Average level spacing D2 (l=2) [eV]: 7.335020E+04 
# Neutron strength function S2 (l=2) : 1.578170E-05 
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.001000E+05      2.016715E+01     0       +2.00      1.795806E+04    1.000000E+01    7.600000E-01    5.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.787000E+03      4.000000E+00     0       +1.00      3.670000E+02    3.000000E+00    3.400000E-01    5.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.617000E+03      1.140000E+01     2       +3.00      7.400000E-03    3.700000E-05    1.026667E+00    5.133300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.529500E+04      2.000000E+00     1       +2.00      1.480000E+00    1.600000E-01    8.200000E-01    9.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.297300E+04      5.000000E+01     1       +2.00      1.080000E+03    3.500000E+01    9.900000E-01    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.134700E+05      1.100000E+02     2       +1.00      4.260000E-01    1.820000E+00    1.026667E+00    5.133300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.173500E+05      1.100000E+02     1       +1.00      2.580000E+01    8.000000E-01    4.240000E+00    6.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.318500E+05      1.300000E+02     2       +3.00      6.400000E-01    2.000000E-01    1.026667E+00    5.133300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.430700E+05      1.400000E+02     2       +0.00      1.760000E+01    2.400000E+00    5.800000E+00    4.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.901000E+05      1.900000E+02     2       +3.00      1.820000E+01    9.166700E-02    1.100000E+00    1.500000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.010000E+05      2.000000E+02     1       +1.00      4.580000E+03    3.500000E+02    4.000000E+00    1.300000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.136000E+05      2.100000E+02     1       +0.00      1.646000E+04    1.000000E+03    4.900000E+00    8.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
