# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:17:54 2025
#                        
# Element                            : Nb
# Z                                  : 41
# A                                  : 98
# I                                  : 1
# Half-life                   [min. ]: 51.1 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.505006E+02 
# Emax2 (background)             [eV]: 4.222740E+03 
# Number of resonances (<Emax)       : 80
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 2.811530E+01 
# Ress Int. (n,g) (systematics)  [b.]: 5.915270E+02 
# MACS 30 keV (calculated)       [b.]: 3.360200E-01
# Westcott factor (calculated)       : 9.992500E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 4.920040E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.951800E+02 
#
# Scattering radius              [fm]: 6.13 +/- 6.13 
#
# Average Gtotal   l=0           [eV]: 5.565960E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.096300E-03 
# Average Gg       l=0           [eV]: 3.495770E-02 
# Average level spacing D0 (l=0) [eV]: 3.976200E+00 
# Neutron strength function S0 (l=0) : 2.670440E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -8.836658E+01      1.767300E-02     0       +4.50      8.119440E-02    9.820000E-04    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.608985E+01      1.721800E-02     0       +4.50      4.434865E-03    5.400000E-05    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.627589E+01      1.125500E-02     0       +4.50      1.691544E-03    2.000000E-05    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.059523E+01      1.011900E-02     0       +4.50      7.662863E-03    9.300000E-05    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.928675E+01      9.857000E-03     0       +4.50      8.977962E-02    1.086000E-03    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.813502E+01      9.627000E-03     0       +4.50      4.059875E-02    4.910000E-04    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.729078E+01      9.458000E-03     0       +4.50      1.033089E-02    1.250000E-04    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.698317E+01      7.397000E-03     0       +4.50      9.851341E-04    1.200000E-05    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.548500E+01      7.097000E-03     0       +4.50      2.879307E-03    3.500000E-05    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.544142E+01      7.088000E-03     0       +4.50      1.010333E-02    1.220000E-04    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.280799E+01      4.562000E-03     0       +4.50      4.951092E-03    6.000000E-05    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.999989E+01      4.000000E-03     0       +4.50      5.486759E-04    7.000000E-06    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.087464E+01      2.175000E-03     0       +4.50      1.508795E-03    1.800000E-05    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.246714E+00      1.849000E-03     0       +4.50      2.089910E-03    2.500000E-05    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.135386E+00      1.827000E-03     0       +4.50      3.606047E-03    4.400000E-05    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.830088E+00      1.766000E-03     0       +4.50      2.553216E-02    3.090000E-04    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.877820E+00      1.576000E-03     0       +4.50      2.105733E-02    2.550000E-04    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +7.877820E+00      1.576000E-03     0       +4.50      5.878990E-03    7.100000E-05    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.502557E+01      3.005000E-03     0       +4.50      5.050372E-02    6.110000E-04    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.041721E+01      4.083000E-03     0       +4.50      3.625071E-03    4.400000E-05    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.231435E+01      4.463000E-03     0       +4.50      3.545814E-02    4.290000E-04    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.688274E+01      5.377000E-03     0       +4.50      1.351522E-02    1.640000E-04    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.859660E+01      5.719000E-03     0       +4.50      2.079570E-02    2.520000E-04    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.992255E+01      5.985000E-03     0       +4.50      1.828593E-04    2.000000E-06    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.858825E+01      7.718000E-03     0       +4.50      3.206233E-05    0.000000E+00    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.897254E+01      7.795000E-03     0       +4.50      4.257882E-02    5.150000E-04    3.704060E-02    1.792500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
