# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 03:06:47 2025
#                        
# Element                            : Nd
# Z                                  : 60
# A                                  : 151
# I                                  : 0
# Half-life                   [min. ]: 12.44 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.815641E+02 
# Emax2 (background)             [eV]: 1.887990E+03 
# Number of resonances (<Emax)       : 89
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 2.755940E+01 
# Ress Int. (n,g) (systematics)  [b.]: 9.468760E+01 
# MACS 30 keV (calculated)       [b.]: 3.349700E-01
# Westcott factor (calculated)       : 9.879400E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 7.344710E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.928120E+01 
#
# Scattering radius              [fm]: 7.07 +/- 7.07 
#
# Average Gtotal   l=0           [eV]: 4.059520E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.223320E-05 
# Average Gg       l=0           [eV]: 4.011170E-02 
# Average level spacing D0 (l=0) [eV]: 2.670060E+00 
# Neutron strength function S0 (l=0) : 1.170110E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.311828E+02      4.623700E-02     0       +1.00      1.336213E-05    0.000000E+00    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.877051E+02      3.754100E-02     0       +1.00      3.547109E-05    1.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.440808E+02      2.881600E-02     0       +1.00      9.427527E-04    1.500000E-05    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.080061E+02      2.160100E-02     0       +1.00      3.540605E-04    5.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.794080E+01      1.558800E-02     0       +1.00      3.397911E-03    5.300000E-05    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.610786E+01      1.322200E-02     0       +1.00      2.900081E-06    0.000000E+00    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.806813E+01      1.161400E-02     0       +1.00      1.349592E-03    2.100000E-05    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.446418E+01      1.089300E-02     0       +1.00      5.545965E-05    1.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.026143E+01      1.005200E-02     0       +1.00      2.922879E-04    5.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.776033E+01      9.552000E-03     0       +1.00      6.936232E-04    1.100000E-05    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.628480E+01      9.257000E-03     0       +1.00      8.461343E-04    1.300000E-05    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.209394E+01      8.419000E-03     0       +1.00      3.413289E-05    1.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.701265E+01      7.403000E-03     0       +1.00      1.319626E-04    2.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.404860E+01      6.810000E-03     0       +1.00      5.636255E-04    9.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.641804E+01      5.284000E-03     0       +1.00      7.689591E-05    1.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.014759E+01      4.030000E-03     0       +1.00      2.457080E-04    4.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.814155E+01      3.628000E-03     0       +1.00      4.155776E-06    0.000000E+00    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.850229E+00      1.970000E-03     0       +1.00      8.195285E-04    1.300000E-05    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.666770E+00      1.133000E-03     0       +1.00      1.308765E-04    2.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.742869E+00      3.490000E-04     0       +1.00      1.714850E-03    2.700000E-05    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.035080E+00      1.007000E-03     0       +1.00      2.855250E-04    4.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.666770E+00      1.133000E-03     0       +1.00      2.312620E-04    4.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +6.403642E+00      1.281000E-03     0       +1.00      1.021856E-04    2.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.110244E+01      2.220000E-03     0       +1.00      4.450463E-08    0.000000E+00    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.567577E+01      3.135000E-03     0       +1.00      1.915783E-05    0.000000E+00    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.659859E+01      3.320000E-03     0       +1.00      2.873571E-03    4.400000E-05    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.365094E+01      4.730000E-03     0       +1.00      4.220789E-04    7.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.394251E+01      4.789000E-03     0       +1.00      2.404076E-03    3.700000E-05    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.673397E+01      5.347000E-03     0       +1.00      1.323979E-03    2.000000E-05    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.994682E+01      5.989000E-03     0       +1.00      1.880732E-04    3.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.652964E+01      7.306000E-03     0       +1.00      5.884710E-04    9.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.007705E+01      8.015000E-03     0       +1.00      7.167534E-04    1.100000E-05    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.694547E+01      1.138900E-02     0       +1.00      1.922965E-05    0.000000E+00    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.865263E+01      1.173100E-02     0       +1.00      5.056778E-05    1.000000E-06    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.866942E+01      1.173400E-02     0       +1.00      1.333000E-03    2.100000E-05    4.083904E-02    2.528600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.468778E+01      1.293800E-02     0       +2.00      2.779036E-04    4.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.555935E+01      1.311200E-02     0       +2.00      5.833725E-04    9.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.872964E+01      1.374600E-02     0       +2.00      3.269550E-04    5.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.420081E+01      1.484000E-02     0       +2.00      3.809555E-05    1.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.676931E+01      1.535400E-02     0       +2.00      2.173310E-05    0.000000E+00    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.774969E+01      1.555000E-02     0       +2.00      1.275438E-07    0.000000E+00    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.777658E+01      1.555500E-02     0       +2.00      2.329927E-04    4.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.153903E+01      1.630800E-02     0       +2.00      1.232554E-04    2.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.010727E+01      1.802100E-02     0       +2.00      6.181885E-06    0.000000E+00    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.328490E+01      1.865700E-02     0       +2.00      1.909058E-03    3.000000E-05    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.340838E+01      1.868200E-02     0       +2.00      1.428228E-03    2.200000E-05    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.385951E+01      1.877200E-02     0       +2.00      1.507451E-04    2.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.390020E+01      1.878000E-02     0       +2.00      3.974290E-04    6.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.525492E+01      1.905100E-02     0       +2.00      1.001901E-04    2.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.004475E+02      2.009000E-02     0       +2.00      1.920113E-04    3.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.013364E+02      2.026700E-02     0       +2.00      7.431799E-04    1.200000E-05    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.063891E+02      2.127800E-02     0       +2.00      8.592023E-04    1.300000E-05    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.071669E+02      2.143300E-02     0       +2.00      1.650757E-05    0.000000E+00    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.083747E+02      2.167500E-02     0       +2.00      2.751781E-04    4.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.083752E+02      2.167500E-02     0       +2.00      6.150550E-04    1.000000E-05    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.089939E+02      2.179900E-02     0       +2.00      2.208155E-06    0.000000E+00    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.091387E+02      2.182800E-02     0       +2.00      2.306759E-04    4.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.097247E+02      2.194500E-02     0       +2.00      1.086857E-03    1.700000E-05    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.162222E+02      2.324400E-02     0       +2.00      1.242591E-05    0.000000E+00    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.268305E+02      2.536600E-02     0       +2.00      4.335689E-04    7.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.301122E+02      2.602200E-02     0       +2.00      3.481660E-04    5.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.311890E+02      2.623800E-02     0       +2.00      4.024638E-07    0.000000E+00    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.322923E+02      2.645800E-02     0       +2.00      1.005911E-03    1.600000E-05    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.368577E+02      2.737200E-02     0       +2.00      6.085833E-06    0.000000E+00    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.384317E+02      2.768600E-02     0       +2.00      3.022010E-05    0.000000E+00    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.385904E+02      2.771800E-02     0       +2.00      1.398469E-04    2.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.389502E+02      2.779000E-02     0       +2.00      2.703029E-04    4.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.405564E+02      2.811100E-02     0       +2.00      4.756975E-05    1.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.412351E+02      2.824700E-02     0       +2.00      1.569892E-03    2.400000E-05    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.422918E+02      2.845800E-02     0       +2.00      7.773711E-05    1.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.431897E+02      2.863800E-02     0       +2.00      7.712075E-04    1.200000E-05    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.484198E+02      2.968400E-02     0       +2.00      5.647264E-04    9.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.522001E+02      3.044000E-02     0       +2.00      5.357512E-04    8.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.543067E+02      3.086100E-02     0       +2.00      2.084724E-04    3.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.546387E+02      3.092800E-02     0       +2.00      2.601773E-06    0.000000E+00    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.563336E+02      3.126700E-02     0       +2.00      1.967201E-04    3.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.564638E+02      3.129300E-02     0       +2.00      1.281243E-04    2.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.572470E+02      3.144900E-02     0       +2.00      7.551924E-05    1.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.581040E+02      3.162100E-02     0       +2.00      1.030542E-04    2.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.581885E+02      3.163800E-02     0       +2.00      2.751932E-03    4.300000E-05    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.656604E+02      3.313200E-02     0       +2.00      1.471612E-05    0.000000E+00    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.728128E+02      3.456300E-02     0       +2.00      6.450147E-04    1.000000E-05    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.757472E+02      3.514900E-02     0       +2.00      3.977172E-05    1.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.758665E+02      3.517300E-02     0       +2.00      1.358957E-03    2.100000E-05    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.791506E+02      3.583000E-02     0       +2.00      6.259759E-05    1.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.806246E+02      3.612500E-02     0       +2.00      9.875646E-05    2.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.808729E+02      3.617500E-02     0       +2.00      3.959774E-04    6.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.814638E+02      3.629300E-02     0       +2.00      8.295306E-04    1.300000E-05    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.815641E+02      3.631300E-02     0       +2.00      4.622082E-04    7.000000E-06    3.990959E-02    2.471100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.855296E+02      3.710600E-02     1       +0.00      3.609537E-07    0.000000E+00    4.012367E-02    2.484300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.857347E+02      3.714700E-02     1       +0.00      2.800391E-07    0.000000E+00    4.012367E-02    2.484300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.890545E+02      3.781100E-02     1       +0.00      1.112066E-06    0.000000E+00    4.012367E-02    2.484300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.913960E+02      3.827900E-02     1       +0.00      1.400358E-07    0.000000E+00    4.012367E-02    2.484300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.953105E+02      3.906200E-02     1       +0.00      1.075559E-06    0.000000E+00    4.012367E-02    2.484300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.962945E+02      3.925900E-02     1       +0.00      3.787089E-08    0.000000E+00    4.012367E-02    2.484300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.030062E+02      4.060100E-02     1       +0.00      1.013064E-08    0.000000E+00    4.012367E-02    2.484300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
