# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 19:51:28 2025
#                        
# Element                            : Nd
# Z                                  : 60
# A                                  : 152
# I                                  : 0
# Half-life                   [min. ]: 11.4 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.831891E+03 
# Emax2 (background)             [eV]: 1.788810E+04 
# Number of resonances (<Emax)       : 63
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.227410E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.401480E+02 
# MACS 30 keV (calculated)       [b.]: 6.627300E-02
# Westcott factor (calculated)       : 1.001260E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.671020E-01 
# Res. Int (n,el) (calculated)   [b.]: 2.310790E+03 
#
# Scattering radius              [fm]: 7.09 +/- 7.09 
#
# Average Gtotal   l=0           [eV]: 4.748700E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.693550E-02 
# Average Gg       l=0           [eV]: 3.004780E-02 
# Average level spacing D0 (l=0) [eV]: 3.591940E+01 
# Neutron strength function S0 (l=0) : 4.807300E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.566111E+02      9.132200E-02     0       +0.50      8.473265E-03    1.350000E-04    3.004782E-02    1.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.946365E+02      7.892700E-02     0       +0.50      5.512328E-06    0.000000E+00    3.004782E-02    1.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.829353E+02      7.658700E-02     0       +0.50      2.955655E-02    4.720000E-04    3.004782E-02    1.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.309509E+02      6.619000E-02     0       +0.50      9.634897E-03    1.540000E-04    3.004782E-02    1.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.191736E+02      6.383500E-02     0       +0.50      3.632641E-03    5.800000E-05    3.004782E-02    1.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.813025E+02      5.626000E-02     0       +0.50      6.088102E-01    9.721000E-03    3.004782E-02    1.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.176541E+02      4.353100E-02     0       +0.50      1.769417E-01    2.825000E-03    3.004782E-02    1.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.980056E+02      3.960100E-02     0       +0.50      6.682756E-02    1.067000E-03    3.004782E-02    1.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.905506E+02      3.811000E-02     0       +0.50      3.417854E-01    5.457000E-03    3.004782E-02    1.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.491870E+02      2.983700E-02     0       +0.50      1.217236E-01    1.944000E-03    3.004782E-02    1.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.000545E+02      2.001100E-02     0       +0.50      7.835694E-03    1.250000E-04    3.004782E-02    1.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.493140E+01      1.898600E-02     0       +0.50      1.583547E-01    2.528000E-03    3.004782E-02    1.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.337855E+01      6.676000E-03     0       +0.50      5.850563E-01    9.342000E-03    3.004782E-02    1.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
