# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 03:14:54 2025
#                        
# Element                            : Nd
# Z                                  : 60
# A                                  : 153
# I                                  : 0
# Half-life                   [sec. ]: 31.6 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 7.312538E+02 
# Emax2 (background)             [eV]: 1.305690E+04 
# Number of resonances (<Emax)       : 92
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.574840E+01 
# Ress Int. (n,g) (systematics)  [b.]: 6.229620E+00 
# MACS 30 keV (calculated)       [b.]: 9.595700E-02
# Westcott factor (calculated)       : 9.723700E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.661880E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.593510E+01 
#
# Scattering radius              [fm]: 7.10 +/- 7.10 
#
# Average Gtotal   l=0           [eV]: 3.246060E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.031730E-05 
# Average Gg       l=0           [eV]: 3.217020E-02 
# Average level spacing D0 (l=0) [eV]: 1.107960E+01 
# Neutron strength function S0 (l=0) : 9.150940E-07 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.923010E+02      1.384600E-01     0       +1.00      6.536097E-04    1.100000E-05    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.135732E+02      8.271500E-02     0       +1.00      1.316877E-05    0.000000E+00    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.987925E+02      5.975900E-02     0       +1.00      5.710285E-04    9.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.953162E+02      5.906300E-02     0       +1.00      2.973760E-04    5.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.795952E+02      5.591900E-02     0       +1.00      7.878188E-05    1.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.401978E+02      4.804000E-02     0       +1.00      1.813513E-04    3.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.767588E+02      3.535200E-02     0       +1.00      2.057272E-05    0.000000E+00    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.570933E+02      3.141900E-02     0       +1.00      4.465421E-04    7.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.562354E+02      3.124700E-02     0       +1.00      4.103219E-03    6.700000E-05    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.473091E+02      2.946200E-02     0       +1.00      6.713390E-05    1.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.469500E+02      2.939000E-02     0       +1.00      4.054360E-04    7.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.432691E+02      2.865400E-02     0       +1.00      6.190375E-05    1.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.220056E+02      2.440100E-02     0       +1.00      2.081192E-04    3.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.044568E+02      2.089100E-02     0       +1.00      3.602120E-05    1.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.919508E+01      1.983900E-02     0       +1.00      2.603404E-04    4.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.407398E+01      1.881500E-02     0       +1.00      1.535952E-04    3.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.835474E+01      1.767100E-02     0       +1.00      1.065530E-04    2.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.101637E+01      1.620300E-02     0       +1.00      5.209141E-05    1.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.019654E+01      1.603900E-02     0       +1.00      4.906448E-04    8.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.250611E+01      1.250100E-02     0       +1.00      2.594300E-06    0.000000E+00    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.104762E+01      1.221000E-02     0       +1.00      7.872119E-06    0.000000E+00    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.067457E+01      8.135000E-03     0       +1.00      1.434845E-04    2.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.061744E+01      8.123000E-03     0       +1.00      6.214331E-04    1.000000E-05    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.757619E+01      5.515000E-03     0       +1.00      1.089507E-03    1.800000E-05    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.652597E+00      9.310000E-04     0       +1.00      6.219718E-09    0.000000E+00    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.282813E-01      1.460000E-04     0       +1.00      1.336910E-04    2.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.757619E+01      5.515000E-03     0       +1.00      1.304725E-03    2.100000E-05    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.048902E+01      6.098000E-03     0       +1.00      1.275634E-05    0.000000E+00    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.547353E+01      1.309500E-02     0       +1.00      3.333121E-05    1.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.133786E+01      1.626800E-02     0       +1.00      3.635527E-04    6.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.153159E+01      1.630600E-02     0       +1.00      2.057970E-06    0.000000E+00    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.390393E+01      1.678100E-02     0       +1.00      2.678407E-04    4.000000E-06    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.532709E+01      1.706500E-02     0       +1.00      1.520679E-03    2.500000E-05    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.037859E+02      2.075700E-02     0       +1.00      9.920210E-04    1.600000E-05    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.154330E+02      2.308700E-02     0       +1.00      8.204896E-04    1.300000E-05    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.286449E+02      2.572900E-02     0       +1.00      1.650574E-05    0.000000E+00    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.330069E+02      2.660100E-02     0       +1.00      7.150076E-04    1.200000E-05    3.663074E-02    2.408300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.401981E+02      2.804000E-02     0       +2.00      1.600559E-05    0.000000E+00    3.129396E-02    2.057400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.527516E+02      3.055000E-02     0       +2.00      3.971143E-05    1.000000E-06    3.129396E-02    2.057400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.593271E+02      3.186500E-02     0       +2.00      2.556201E-04    4.000000E-06    3.129396E-02    2.057400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
