# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 10:01:54 2025
#                        
# Element                            : Nh
# Z                                  : 113
# A                                  : 285
# I                                  : 0
# Half-life                   [sec. ]: 4.6 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.203727E+00 
# Emax2 (background)             [eV]: 2.305200E+02 
# Number of resonances (<Emax)       : 25
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 3.891710E+02 
# Ress Int. (n,g) (systematics)  [b.]: 4.878270E+00 
# MACS 30 keV (calculated)       [b.]: 4.197800E-04
# Westcott factor (calculated)       : 1.665330E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.436710E+04 
# Res. Int (n,el) (calculated)   [b.]: 1.065190E+02 
#
# Thermal  (n,f) xs              [b.]: 2.626330E+05 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 1.143240E+03
#
# Scattering radius              [fm]: 8.72 +/- 8.72 
#
# Average Gtotal   l=0           [eV]: 2.971110E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.167920E-05 
# Average Gg       l=0           [eV]: 2.702940E-05 
# Average level spacing D0 (l=0) [eV]: 1.456240E-01 
# Neutron strength function S0 (l=0) : 2.365010E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.856681E-01      5.700000E-05     0       +0.00      1.885958E-04    3.000000E-06    2.710092E-05    1.700000E-05    +3.211482E-02   2.009200E-02    +0.000000E+00   0.000000E+00      hfr  
  -3.146060E-04      0.000000E+00     0       +0.00      1.867428E-04    3.000000E-06    2.710092E-05    1.700000E-05    +1.828586E-02   1.144000E-02    +0.000000E+00   0.000000E+00      hfr  
  +2.469565E-01      4.900000E-05     0       +0.00      3.520248E-07    0.000000E+00    2.710092E-05    1.700000E-05    +1.713435E-02   1.072000E-02    +0.000000E+00   0.000000E+00      hfr  
  +3.993107E-01      8.000000E-05     0       +0.00      4.175117E-04    7.000000E-06    2.710092E-05    1.700000E-05    +1.136329E-02   7.109000E-03    +0.000000E+00   0.000000E+00      hfr  
  +5.313366E-01      1.060000E-04     0       +0.00      8.808860E-06    0.000000E+00    2.710092E-05    1.700000E-05    +9.383732E-02   5.870600E-02    +0.000000E+00   0.000000E+00      hfr  
  +7.536709E-01      1.510000E-04     0       +0.00      2.466067E-04    4.000000E-06    2.710092E-05    1.700000E-05    +6.333797E-02   3.962500E-02    +0.000000E+00   0.000000E+00      hfr  
  +8.826084E-01      1.770000E-04     0       +1.00      1.974745E-06    0.000000E+00    2.701436E-05    1.700000E-05    +3.015785E-02   1.886700E-02    +0.000000E+00   0.000000E+00      hfr  
  +1.076172E+00      2.150000E-04     0       +1.00      6.214879E-06    0.000000E+00    2.701436E-05    1.700000E-05    +1.100130E-02   6.883000E-03    +0.000000E+00   0.000000E+00      hfr  
  +1.215454E+00      2.430000E-04     0       +1.00      1.671838E-07    0.000000E+00    2.701436E-05    1.700000E-05    +2.109315E-02   1.319600E-02    +0.000000E+00   0.000000E+00      hfr  
  +1.390907E+00      2.780000E-04     0       +1.00      5.560138E-06    0.000000E+00    2.701436E-05    1.700000E-05    +1.196007E-02   7.482000E-03    +0.000000E+00   0.000000E+00      hfr  
