# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:48:00 2025
#                        
# Element                            : Ni
# Z                                  : 28
# A                                  : 72
# I                                  : 0
# Half-life                   [sec. ]: 1.57 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.393124E+04 
# Emax2 (background)             [eV]: 5.029380E+05 
# Number of resonances (<Emax)       : 18
# Number of resonances (<Emax2)      : 55
# Thermal (n,g) xs (systematics) [b.]: 2.072860E-01 
# Ress Int. (n,g) (systematics)  [b.]: 9.076710E-02 
# MACS 30 keV (calculated)       [b.]: 4.906200E-04
# Westcott factor (calculated)       : 1.000550E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 4.813450E+03 
# Res. Int (n,el) (calculated)   [b.]: 4.274040E+04 
#
# Scattering radius              [fm]: 5.54 +/- 5.54 
#
# Average Gtotal   l=0           [eV]: 9.476430E+03 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.432150E+03 
# Average Gg       l=0           [eV]: 3.008750E-02 
# Average level spacing D0 (l=0) [eV]: 1.464370E+04 
# Neutron strength function S0 (l=0) : 4.346630E-02 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.455735E+05      2.911470E+01     0       +0.50      1.870411E+05    3.179624E+03    3.036085E-02    2.064500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.233849E+05      2.467698E+01     0       +0.50      7.848731E+04    1.334253E+03    3.036085E-02    2.064500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.227467E+05      2.454934E+01     0       +0.50      2.091434E+05    3.555354E+03    3.036085E-02    2.064500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.162853E+05      2.325706E+01     0       +0.50      1.053710E+03    1.791265E+01    3.036085E-02    2.064500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.866877E+04      1.973375E+01     0       +0.50      1.154562E+03    1.962709E+01    3.036085E-02    2.064500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.357284E+04      1.871457E+01     0       +0.50      1.045558E+04    1.777407E+02    3.036085E-02    2.064500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.705659E+04      1.541132E+01     0       +0.50      5.334319E+04    9.068129E+02    3.036085E-02    2.064500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.069793E+04      1.213959E+01     0       +0.50      3.074063E+04    5.225784E+02    3.036085E-02    2.064500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.040721E+04      1.008144E+01     0       +0.50      1.969650E+05    3.348326E+03    3.036085E-02    2.064500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.565589E+04      9.131178E+00     0       +0.50      9.805665E+04    1.666924E+03    3.036085E-02    2.064500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.393124E+04      8.786248E+00     0       +0.50      3.676420E+05    6.249767E+03    3.036085E-02    2.064500E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.689111E+04      7.378222E+00     1       +0.50      1.144030E+04    1.944805E+02    3.008751E-02    2.045900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.974836E+04      3.949672E+00     1       +0.50      1.300926E+01    2.211520E-01    3.008751E-02    2.045900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.780477E+04      3.560954E+00     1       +0.50      4.536442E+02    7.711770E+00    3.008751E-02    2.045900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.013122E+03      1.402624E+00     1       +0.50      7.578110E+02    1.288248E+01    3.008751E-02    2.045900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.461338E+04      2.922676E+00     1       +0.50      3.794222E+03    6.450026E+01    3.008751E-02    2.045900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.072415E+04      6.144830E+00     1       +0.50      1.288655E+03    2.190662E+01    3.008751E-02    2.045900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.840239E+04      7.680478E+00     1       +0.50      3.206492E+04    5.450908E+02    3.008751E-02    2.045900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.803786E+04      9.607572E+00     1       +0.50      4.564935E+04    7.760207E+02    3.008751E-02    2.045900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.861815E+04      1.372363E+01     1       +0.50      9.361132E+03    1.591355E+02    3.008751E-02    2.045900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.266150E+04      1.453230E+01     1       +1.50      5.176061E+03    8.799097E+01    4.744341E-02    3.226100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.736708E+04      1.747342E+01     1       +1.50      3.275043E+03    5.567442E+01    4.744341E-02    3.226100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.075605E+05      2.151210E+01     1       +1.50      2.467366E+02    4.194424E+00    4.744341E-02    3.226100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.182622E+05      2.365244E+01     1       +1.50      6.452657E+02    1.096926E+01    4.744341E-02    3.226100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.183432E+05      2.366864E+01     1       +1.50      2.513953E+03    4.273620E+01    4.744341E-02    3.226100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.242594E+05      2.485188E+01     1       +1.50      6.015089E+03    1.022541E+02    4.744341E-02    3.226100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.316704E+05      2.633408E+01     1       +1.50      1.701990E+04    2.893315E+02    4.744341E-02    3.226100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.364889E+05      2.729778E+01     1       +1.50      9.920482E+03    1.686442E+02    4.744341E-02    3.226100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.406776E+05      2.813552E+01     1       +1.50      9.715372E+02    1.651574E+01    4.744341E-02    3.226100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.465236E+05      2.930472E+01     1       +1.50      2.037220E+04    3.463193E+02    4.744341E-02    3.226100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.507414E+05      3.014828E+01     1       +1.50      1.006728E+05    1.711397E+03    4.744341E-02    3.226100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.918268E+05      3.836536E+01     1       +1.50      9.111741E+03    1.548960E+02    4.744341E-02    3.226100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.920484E+05      3.840968E+01     2       +1.50      2.309043E+03    3.925281E+01    4.154653E-02    2.825100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.530048E+05      5.060096E+01     2       +1.50      9.418389E+01    1.601088E+00    4.154653E-02    2.825100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.601836E+05      5.203672E+01     2       +1.50      5.780493E+01    9.826610E-01    4.154653E-02    2.825100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.639841E+05      5.279682E+01     2       +1.50      1.299247E+03    2.208668E+01    4.154653E-02    2.825100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.652659E+05      5.305318E+01     2       +1.50      2.410266E+03    4.097356E+01    4.154653E-02    2.825100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.719910E+05      5.439820E+01     2       +1.50      2.121358E+04    3.606224E+02    4.154653E-02    2.825100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.781129E+05      5.562258E+01     2       +1.50      6.700900E+01    1.139126E+00    4.154653E-02    2.825100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.822642E+05      5.645284E+01     2       +1.50      9.589144E+02    1.630116E+01    4.154653E-02    2.825100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.905519E+05      5.811038E+01     2       +1.50      1.909093E+04    3.245382E+02    4.154653E-02    2.825100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
