# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:48:18 2025
#                        
# Element                            : No
# Z                                  : 102
# A                                  : 251
# I                                  : 1
# Half-life                   [sec. ]: 1.02 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.964247E+00 
# Emax2 (background)             [eV]: 2.720340E+02 
# Number of resonances (<Emax)       : 98
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.564550E-01 
# Ress Int. (n,g) (systematics)  [b.]: 1.876470E+02 
# MACS 30 keV (calculated)       [b.]: 3.825500E+00
# Westcott factor (calculated)       : 6.935080E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.486860E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.632990E+04 
#
# Thermal  (n,f) xs              [b.]: 6.511600E-01 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 2.187080E+01
#
# Scattering radius              [fm]: 8.36 +/- 8.36 
#
# Average Gtotal   l=0           [eV]: 6.101350E-04 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.057120E-04 
# Average Gg       l=0           [eV]: 4.753240E-07 
# Average level spacing D0 (l=0) [eV]: 1.007220E-01 
# Neutron strength function S0 (l=0) : 1.640120E-03 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.275210E+00      4.550000E-04     0       +0.00      3.254035E-03    4.500000E-05    4.762366E-07    0.000000E+00    +2.678016E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.463461E+00      2.930000E-04     0       +0.00      4.364607E-07    0.000000E+00    4.762366E-07    0.000000E+00    +1.484938E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.366148E+00      2.730000E-04     0       +0.00      5.098396E-04    7.000000E-06    4.762366E-07    0.000000E+00    +3.937803E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.123945E+00      2.250000E-04     0       +0.00      2.570305E-03    3.600000E-05    4.762366E-07    0.000000E+00    +3.087477E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -6.715758E-01      1.340000E-04     0       +0.00      5.539508E-06    0.000000E+00    4.762366E-07    0.000000E+00    +1.088189E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -5.054648E-01      1.010000E-04     0       +0.00      1.163245E-05    0.000000E+00    4.762366E-07    0.000000E+00    +9.527867E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.762801E-01      7.500000E-05     0       +0.00      8.777862E-05    1.000000E-06    4.762366E-07    0.000000E+00    +2.602857E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -2.342856E-01      4.700000E-05     0       +0.00      2.160885E-04    3.000000E-06    4.762366E-07    0.000000E+00    +3.662931E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.385967E-01      2.800000E-05     0       +0.00      9.876724E-04    1.400000E-05    4.762366E-07    0.000000E+00    +2.326504E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.385967E-01      2.800000E-05     0       +0.00      5.657525E-04    8.000000E-06    4.762366E-07    0.000000E+00    +1.672464E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.927423E-01      3.900000E-05     0       +0.00      7.377113E-04    1.000000E-05    4.762366E-07    0.000000E+00    +1.962494E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +4.009638E-01      8.000000E-05     0       +0.00      3.804112E-04    5.000000E-06    4.762366E-07    0.000000E+00    +6.295658E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +4.436696E-01      8.900000E-05     0       +0.00      1.453859E-03    2.000000E-05    4.762366E-07    0.000000E+00    +7.487601E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.238587E-01      1.450000E-04     0       +0.00      1.183625E-03    1.600000E-05    4.762366E-07    0.000000E+00    +4.595881E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.789987E-01      1.760000E-04     0       +0.00      3.529605E-03    4.900000E-05    4.762366E-07    0.000000E+00    +1.219907E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +9.659283E-01      1.930000E-04     0       +0.00      1.952502E-03    2.700000E-05    4.762366E-07    0.000000E+00    +2.443647E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.039352E+00      2.080000E-04     0       +0.00      3.300936E-05    0.000000E+00    4.762366E-07    0.000000E+00    +9.073223E-07   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.075814E+00      2.150000E-04     0       +0.00      1.819005E-04    3.000000E-06    4.762366E-07    0.000000E+00    +5.966028E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.314459E+00      2.630000E-04     0       +0.00      1.520980E-04    2.000000E-06    4.762366E-07    0.000000E+00    +1.699024E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.772986E+00      3.550000E-04     0       +0.00      1.785115E-03    2.500000E-05    4.762366E-07    0.000000E+00    +1.817337E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.849932E+00      3.700000E-04     0       +0.00      3.404510E-04    5.000000E-06    4.762366E-07    0.000000E+00    +5.561986E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.914314E+00      3.830000E-04     0       +0.00      2.860923E-04    4.000000E-06    4.762366E-07    0.000000E+00    +6.753924E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.934174E+00      3.870000E-04     0       +0.00      7.490513E-05    1.000000E-06    4.762366E-07    0.000000E+00    +9.296121E-07   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.980557E+00      3.960000E-04     0       +0.00      4.714766E-05    1.000000E-06    4.762366E-07    0.000000E+00    +3.768123E-08   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.030738E+00      4.060000E-04     0       +0.00      7.057803E-04    1.000000E-05    4.762366E-07    0.000000E+00    +3.949949E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.043758E+00      4.090000E-04     0       +0.00      8.602154E-03    1.190000E-04    4.762366E-07    0.000000E+00    +1.363919E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +2.133836E+00      4.270000E-04     0       +0.00      1.192920E-03    1.600000E-05    4.762366E-07    0.000000E+00    +3.246410E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.148456E+00      4.300000E-04     0       +0.00      3.443923E-03    4.800000E-05    4.762366E-07    0.000000E+00    +2.678016E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +2.524408E+00      5.050000E-04     0       +0.00      4.618793E-07    0.000000E+00    4.762366E-07    0.000000E+00    +1.484938E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +2.580611E+00      5.160000E-04     0       +0.00      5.394493E-04    7.000000E-06    4.762366E-07    0.000000E+00    +3.937803E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +2.631943E+00      5.260000E-04     0       +1.00      2.079488E-04    3.000000E-06    4.750461E-07    0.000000E+00    +4.900512E-06   3.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +2.686265E+00      5.370000E-04     0       +1.00      2.167901E-04    3.000000E-06    4.750461E-07    0.000000E+00    +5.299966E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.761369E+00      5.520000E-04     0       +1.00      1.637051E-04    2.000000E-06    4.750461E-07    0.000000E+00    +3.428822E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +2.933802E+00      5.870000E-04     0       +1.00      8.002012E-06    0.000000E+00    4.750461E-07    0.000000E+00    +3.760040E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +3.216409E+00      6.430000E-04     0       +1.00      5.822321E-07    0.000000E+00    4.750461E-07    0.000000E+00    +1.286233E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +3.349344E+00      6.700000E-04     0       +1.00      9.589980E-04    1.300000E-05    4.750461E-07    0.000000E+00    +1.057930E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +3.550167E+00      7.100000E-04     0       +1.00      7.517214E-05    1.000000E-06    4.750461E-07    0.000000E+00    +1.955602E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.592718E+00      7.190000E-04     0       +1.00      3.834814E-04    5.000000E-06    4.750461E-07    0.000000E+00    +1.259161E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +3.791111E+00      7.580000E-04     0       +1.00      1.515982E-04    2.000000E-06    4.750461E-07    0.000000E+00    +1.467819E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.843910E+00      7.690000E-04     0       +1.00      4.212965E-05    1.000000E-06    4.750461E-07    0.000000E+00    +8.548717E-07   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
