# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 09:12:58 2025
#                        
# Element                            : No
# Z                                  : 102
# A                                  : 259
# I                                  : 0
# Half-life                   [min. ]: 58 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.251000E+03 
# Emax2 (background)             [eV]: 1.251000E+03 
# Number of resonances (<Emax)       : 26
# Number of resonances (<Emax2)      : 26
# Thermal (n,g) xs (systematics) [b.]: 1.008890E+02 
# Ress Int. (n,g) (systematics)  [b.]: 3.877380E+01 
# MACS 30 keV (calculated)       [b.]: 1.657300E+00
# Westcott factor (calculated)       : 1.000820E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 8.946740E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.972230E+01 
#
# Thermal  (n,f) xs              [b.]: 4.248400E+02 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 1.202640E+02
#
# Scattering radius              [fm]: 8.45 +/- 8.45 
#
# Average Gtotal   l=0           [eV]: 9.183300E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 6.163200E-06 
# Average Gg       l=0           [eV]: 1.762290E+00 
# Average level spacing D0 (l=0) [eV]: 5.212500E+01 
# Neutron strength function S0 (l=0) : 6.543170E-08 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.042064E-05      0.000000E+00     0       +8.00      2.000000E-06    0.000000E+00    1.762294E+00    5.694050E-01    +7.420994E+00   2.397757E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.414714E-01      4.600000E-05     0       +8.00      2.000000E-06    0.000000E+00    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +2.829428E-01      9.100000E-05     0       +8.00      3.000000E-06    0.000000E+00    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +4.244142E-01      1.370000E-04     0       +8.00      4.000000E-06    0.000000E+00    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +5.658856E-01      1.830000E-04     0       +8.00      5.000000E-06    0.000000E+00    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +7.073570E-01      2.290000E-04     0       +8.00      5.000000E-06    0.000000E+00    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +8.488284E-01      2.740000E-04     0       +8.00      6.000000E-06    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +9.902998E-01      3.200000E-04     0       +8.00      6.000000E-06    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +1.131771E+00      3.660000E-04     0       +8.00      7.000000E-06    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +1.273243E+00      4.110000E-04     0       +8.00      7.000000E-06    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +1.414714E+00      4.570000E-04     0       +8.00      7.000000E-06    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +1.556185E+00      5.030000E-04     0       +8.00      8.000000E-06    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +1.697657E+00      5.490000E-04     0       +8.00      8.000000E-06    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +1.839128E+00      5.940000E-04     0       +8.00      8.000000E-06    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +1.980600E+00      6.400000E-04     0       +8.00      9.000000E-06    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +2.122071E+00      6.860000E-04     0       +8.00      9.000000E-06    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +2.263542E+00      7.310000E-04     0       +8.00      9.000000E-06    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +2.405014E+00      7.770000E-04     0       +8.00      1.000000E-05    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +2.546485E+00      8.230000E-04     0       +8.00      1.000000E-05    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +2.687957E+00      8.680000E-04     0       +8.00      1.000000E-05    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +2.829428E+00      9.140000E-04     0       +8.00      1.000000E-05    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +2.970899E+00      9.600000E-04     0       +8.00      1.100000E-05    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +3.112371E+00      1.006000E-03     0       +8.00      1.100000E-05    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +3.253842E+00      1.051000E-03     0       +8.00      1.100000E-05    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +3.395314E+00      1.097000E-03     0       +8.00      1.100000E-05    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
  +3.536785E+00      1.143000E-03     0       +8.00      1.200000E-05    1.000000E-06    1.762294E+00    5.694050E-01    +7.420994E+00   7.400000E-05    +0.000000E+00   0.000000E+00     radiator 
