# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 19:54:45 2025
#                        
# Element                            : O
# Z                                  : 8
# A                                  : 22
# I                                  : 0
# Half-life                   [sec. ]: 2.25 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.216432E+06 
# Emax2 (background)             [eV]: 7.000000E+06 
# Number of resonances (<Emax)       : 20
# Number of resonances (<Emax2)      : 40
# Thermal (n,g) xs (systematics) [b.]: 5.557680E-05 
# Ress Int. (n,g) (systematics)  [b.]: 3.808530E-04 
# MACS 30 keV (calculated)       [b.]: 1.713100E-04
# Westcott factor (calculated)       : 1.000770E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.898350E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.527270E+01 
#
# Scattering radius              [fm]: 3.74 +/- 3.74 
#
# Average Gtotal   l=0           [eV]: 4.684000E+03 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.735900E+02 
# Average Gg       l=0           [eV]: 4.639970E-01 
# Average level spacing D0 (l=0) [eV]: 2.432860E+05 
# Neutron strength function S0 (l=0) : 2.960440E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.603558E+06      5.207116E+02     0       +0.50      2.488411E+01    4.852800E-01    2.773898E-01    2.163820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.345764E+06      4.691528E+02     0       +0.50      5.107908E+03    9.961238E+01    2.773898E-01    2.163820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.089631E+06      4.179262E+02     0       +0.50      1.019344E+04    1.987884E+02    2.773898E-01    2.163820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.002540E+06      4.005080E+02     0       +0.50      2.721919E+03    5.308178E+01    2.773898E-01    2.163820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.960080E+06      3.920160E+02     0       +0.50      1.397268E+04    2.724896E+02    2.773898E-01    2.163820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.683241E+06      3.366482E+02     0       +0.50      2.505388E+01    4.885910E-01    2.773898E-01    2.163820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.641366E+06      3.282732E+02     0       +0.50      9.219281E+03    1.797907E+02    2.773898E-01    2.163820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.216432E+06      2.432864E+02     0       +0.50      5.999089E+04    1.169918E+03    2.773898E-01    2.163820E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.090096E+06      2.180192E+02     1       +0.50      6.592850E+02    1.285711E+01    5.337547E-01    4.163630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.822080E+05      1.164416E+02     1       +0.50      2.972493E+03    5.796837E+01    5.337547E-01    4.163630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.410860E+05      6.821720E+01     1       +0.50      3.707101E+01    7.229440E-01    5.337547E-01    4.163630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.060790E+05      4.121580E+01     1       +0.50      3.376813E+02    6.585326E+00    5.337547E-01    4.163630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.961045E+05      3.922090E+01     1       +0.50      7.192556E+03    1.402663E+02    5.337547E-01    4.163630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.403799E+04      6.807598E+00     1       +0.50      1.654647E+03    3.226826E+01    5.337547E-01    4.163630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.575189E+04      1.515038E+01     1       +0.50      1.229222E+04    2.397180E+02    5.337547E-01    4.163630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.348655E+05      1.469731E+02     1       +0.50      1.277886E+03    2.492082E+01    5.337547E-01    4.163630E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.107966E+05      1.821593E+02     1       +1.50      8.416231E+03    1.641300E+02    4.291187E-01    3.347400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.018546E+06      2.037092E+02     1       +1.50      9.429939E+02    1.838989E+01    4.291187E-01    3.347400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.106476E+06      2.212952E+02     1       +1.50      3.961036E+03    7.724654E+01    4.291187E-01    3.347400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.175589E+06      2.351178E+02     1       +1.50      1.210828E+03    2.361308E+01    4.291187E-01    3.347400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.954843E+06      3.909686E+02     1       +1.50      2.193584E+04    4.277840E+02    4.291187E-01    3.347400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.036751E+06      4.073502E+02     1       +1.50      1.727803E+04    3.369492E+02    4.291187E-01    3.347400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.153257E+06      4.306514E+02     1       +1.50      3.434981E+03    6.698762E+01    4.291187E-01    3.347400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.345764E+06      4.691528E+02     1       +1.50      6.909738E+04    1.347509E+03    4.291187E-01    3.347400E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.688916E+06      5.377832E+02     2       +1.50      1.670612E+04    3.257961E+02    2.378799E-01    1.855620E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.903982E+06      5.807964E+02     2       +1.50      2.704916E+02    5.275019E+00    2.378799E-01    1.855620E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.138412E+06      6.276824E+02     2       +1.50      1.704039E+02    3.323149E+00    2.378799E-01    1.855620E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.429402E+06      6.858804E+02     2       +1.50      1.383727E+03    2.698489E+01    2.378799E-01    1.855620E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.517958E+06      7.035916E+02     2       +1.50      3.718242E+03    7.251167E+01    2.378799E-01    1.855620E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.384844E+06      8.769688E+02     2       +1.50      6.523573E+04    1.272201E+03    2.378799E-01    1.855620E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.898770E+06      9.797540E+02     2       +1.50      3.797443E+04    7.405621E+02    2.378799E-01    1.855620E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.985861E+06      9.971722E+02     2       +1.50      1.244675E+03    2.427315E+01    2.378799E-01    1.855620E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.028320E+06      1.005664E+03     2       +1.50      1.451504E+04    2.830665E+02    2.378799E-01    1.855620E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.305160E+06      1.061032E+03     2       +2.50      3.233511E+02    6.305864E+00    7.949802E-02    6.201400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.347035E+06      1.069407E+03     2       +2.50      4.072352E+03    7.941738E+01    7.949802E-02    6.201400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.406193E+06      1.281239E+03     2       +2.50      3.527843E+02    6.879858E+00    7.949802E-02    6.201400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.647315E+06      1.329463E+03     2       +2.50      8.314228E+02    1.621408E+01    7.949802E-02    6.201400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.782322E+06      1.356464E+03     2       +2.50      2.352209E+02    4.587184E+00    7.949802E-02    6.201400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.792296E+06      1.358459E+03     2       +2.50      1.603811E+04    3.127688E+02    7.949802E-02    6.201400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.954363E+06      1.390873E+03     2       +2.50      2.797853E+04    5.456261E+02    7.949802E-02    6.201400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
