# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:21:51 2025
#                        
# Element                            : Os
# Z                                  : 76
# A                                  : 171
# I                                  : 0
# Half-life                   [sec. ]: 8.3 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.921731E+00 
# Emax2 (background)             [eV]: 1.551140E+01 
# Number of resonances (<Emax)       : 92
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.981790E+02 
# Ress Int. (n,g) (systematics)  [b.]: 1.834650E+03 
# MACS 30 keV (calculated)       [b.]: 6.250600E+00
# Westcott factor (calculated)       : 9.378800E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.797420E+00 
# Res. Int (n,el) (calculated)   [b.]: 8.548940E+00 
#
# Scattering radius              [fm]: 7.37 +/- 7.37 
#
# Average Gtotal   l=0           [eV]: 1.339120E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.181340E-07 
# Average Gg       l=0           [eV]: 1.339120E-01 
# Average level spacing D0 (l=0) [eV]: 2.183770E-02 
# Neutron strength function S0 (l=0) : 2.575930E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.033803E-02      8.000000E-06     0       +2.00      1.251012E-08    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.707372E-02      7.000000E-06     0       +2.00      4.379295E-09    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.592647E-02      3.000000E-06     0       +2.00      1.669692E-07    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.182991E-04      0.000000E+00     0       +2.00      1.544586E-08    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.120880E-02      2.000000E-06     0       +2.00      6.816855E-08    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +3.876445E-02      8.000000E-06     0       +2.00      3.277485E-08    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.594523E-02      9.000000E-06     0       +2.00      2.568126E-07    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.012923E-02      1.400000E-05     0       +2.00      2.020110E-11    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.159622E-02      1.800000E-05     0       +2.00      1.987655E-09    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.260608E-02      1.900000E-05     0       +2.00      1.164382E-07    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.430040E-01      2.900000E-05     0       +2.00      8.244862E-08    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.615652E-01      3.200000E-05     0       +2.00      1.650619E-07    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.068985E-01      4.100000E-05     0       +2.00      4.234307E-08    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.199871E-01      4.400000E-05     0       +2.00      8.799586E-08    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.308649E-01      4.600000E-05     0       +2.00      2.700840E-08    0.000000E+00    1.349724E-01    5.648000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
