# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 04:14:30 2025
#                        
# Element                            : Os
# Z                                  : 76
# A                                  : 180
# I                                  : 0
# Half-life                   [min. ]: 21.5 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.249358E+01 
# Emax2 (background)             [eV]: 1.894600E+03 
# Number of resonances (<Emax)       : 62
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 6.966380E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.314400E+03 
# MACS 30 keV (calculated)       [b.]: 1.628700E+00
# Westcott factor (calculated)       : 1.002860E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.799070E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.790050E+01 
#
# Scattering radius              [fm]: 7.49 +/- 7.49 
#
# Average Gtotal   l=0           [eV]: 5.970110E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.256180E-05 
# Average Gg       l=0           [eV]: 5.938880E-02 
# Average level spacing D0 (l=0) [eV]: 9.209400E-01 
# Neutron strength function S0 (l=0) : 8.017330E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.264811E+00      8.530000E-04     0       +0.50      1.410638E-04    2.000000E-06    5.938878E-02    2.778200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.659464E+00      5.320000E-04     0       +0.50      3.575854E-06    0.000000E+00    5.938878E-02    2.778200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.151560E+00      4.300000E-04     0       +0.50      2.585331E-04    3.000000E-06    5.938878E-02    2.778200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.855255E+00      3.710000E-04     0       +0.50      1.034761E-04    1.000000E-06    5.938878E-02    2.778200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.779124E+00      3.560000E-04     0       +0.50      2.245635E-04    3.000000E-06    5.938878E-02    2.778200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.855255E+00      3.710000E-04     0       +0.50      5.013564E-04    6.000000E-06    5.938878E-02    2.778200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +2.356168E+00      4.710000E-04     0       +0.50      1.167745E-04    1.000000E-06    5.938878E-02    2.778200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.767798E+00      7.540000E-04     0       +0.50      2.865604E-04    3.000000E-06    5.938878E-02    2.778200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.245938E+00      8.490000E-04     0       +0.50      4.230340E-04    5.000000E-06    5.938878E-02    2.778200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.519685E+00      9.040000E-04     0       +0.50      2.612880E-04    3.000000E-06    5.938878E-02    2.778200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
