# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:08:14 2025
#                        
# Element                            : Os
# Z                                  : 76
# A                                  : 189
# I                                  : 0
# Abundancy                       [%]: 16.15
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.059561E+02 
# Emax2 (background)             [eV]: 1.059561E+02 
# Number of resonances (<Emax)       : 22
# Number of resonances (<Emax2)      : 182
# Thermal  (n,g) xs (calculated) [b.]: 2.498620E+01 
# Thermal  (n,g) xs (experiment) [b.]: 25 +/- 4 
# Res. Int (n,g) (calculated)    [b.]: 8.216600E+02  
# Res. Int (n,g) (experiment)    [b.]: 660 +/- 40 
# MACS 30 keV (calculated)       [b.]: 1.204200E+00
# Westcott factor (calculated)       : 1.002320E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.367010E+01 
# Thermal (n,el) xs (experiment) [b.]: 15.5 +/- 1 
# Res. Int (n,el) (calculated)   [b.]: 1.619670E+02 
#
# Scattering radius              [fm]: 7.61 +/- 0.38 
#
# Average Gtotal   l=0           [eV]: 1.023710E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.392960E-03 
# Average Gg       l=0           [eV]: 9.083670E-02 
# Average level spacing D0 (l=0) [eV]: 1.826830E+00 
# Neutron strength function S0 (l=0) : 4.015210E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -9.430000E+01      2.754700E-02     0       +2.00      2.830118E+00    1.600000E-01    8.350001E-02    2.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.710000E+00      1.000000E-02     0       +1.00      4.357499E-03    2.666667E-04    8.000001E-02    2.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.960000E+00      2.000000E-02     0       +2.00      8.689366E-03    3.200000E-04    7.300001E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.031000E+01      3.000000E-02     0       +1.00      5.254631E-03    2.666667E-04    8.300000E-02    2.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.870000E+01      1.000000E-01     0       +2.00      4.229337E-03    2.400000E-04    9.000000E-02    3.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.214000E+01      3.000000E-02     0       +1.00      1.212410E-02    6.666667E-04    9.300000E-02    4.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.296000E+01      3.000000E-02     0       +2.00      1.845529E-04    2.400000E-05    9.600000E-02    1.600000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.750000E+01      4.000000E-02     0       +2.00      3.691058E-03    2.400000E-04    8.900000E-02    8.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.850000E+01      5.000000E-02     0       +2.00      7.305218E-03    4.000000E-04    8.300000E-02    7.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.048000E+01      6.000000E-02     0       +1.00      9.740288E-04    5.333334E-05    9.000000E-02    1.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.917000E+01      6.000000E-02     0       +2.00      2.460705E-03    3.200000E-04    9.107143E-02    4.553571E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.175000E+01      7.000000E-02     0       +1.00      1.050926E-03    5.333334E-05    1.040000E-01    1.200000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.340000E+01      7.000000E-02     0       +2.00      1.714804E-03    5.600000E-05    9.107143E-02    4.553571E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.050000E+01      7.000000E-02     0       +2.00      1.999323E-02    1.600000E-03    1.000000E-01    6.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.145000E+01      7.000000E-02     0       +1.00      1.666102E-03    2.666667E-04    1.020000E-01    1.900000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.490000E+01      8.000000E-02     0       +2.00      1.907046E-02    6.400000E-04    9.100001E-02    8.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.070000E+01      1.000000E-02     0       +2.00      1.245732E-02    6.400000E-04    1.010000E-01    1.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.380000E+01      1.000000E-01     0       +1.00      1.473859E-02    1.333333E-03    9.107143E-02    4.553571E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.500000E+01      1.000000E-01     0       +1.00      1.666102E-02    8.000000E-03    9.107143E-02    4.553571E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.580000E+01      1.000000E-01     0       +2.00      4.613822E-03    2.400000E-03    9.107143E-02    4.553571E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.220000E+01      1.000000E-01     0       +2.00      2.460705E-03    2.400000E-04    9.107143E-02    4.553571E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.520000E+01      1.000000E-01     0       +2.00      5.536586E-02    1.920000E-02    9.107143E-02    4.553571E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
