# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 07:27:30 2025
#                        
# Element                            : Pa
# Z                                  : 91
# A                                  : 233
# I                                  : 0
# Half-life                   [days ]: 26.9792 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.800000E+01 
# Emax2 (background)             [eV]: 1.800000E+01 
# Number of resonances (<Emax)       : 22
# Number of resonances (<Emax2)      : 22
# Thermal  (n,g) xs (calculated) [b.]: 3.954620E+01 
# Thermal  (n,g) xs (experiment) [b.]: 39.5 +/- 1.1 
# Res. Int (n,g) (calculated)    [b.]: 9.102230E+02  
# Res. Int (n,g) (experiment)    [b.]: 438 +/- 70 
# MACS 30 keV (calculated)       [b.]: 1.401900E+00
# Westcott factor (calculated)       : 1.008280E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.526510E+01 
# Thermal (n,el) xs (experiment) [b.]: 15.9 +/- 3.2 
# Res. Int (n,el) (calculated)   [b.]: 4.924940E+01 
#
# Thermal  (n,f) xs (calculated) [b.]: 9.157490E-02 
# Thermal  (n,f) xs (experiment) [b.]: 0.1 +/- 0.08 
# Resonance Integral (n,f) xs    [b.]: 1.692450E+00
#
# Scattering radius              [fm]: 8.16 +/- 8.16 
#
# Average Gtotal   l=0           [eV]: 5.684500E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 9.978250E-05 
# Average Gg       l=0           [eV]: 5.647620E-02 
# Average level spacing D0 (l=0) [eV]: 8.999990E-01 
# Neutron strength function S0 (l=0) : 7.275820E-05 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -6.460000E+00      2.162000E-03     0       +2.00      3.881600E-02    4.800000E-03    1.670000E-02    4.000000E-04    +4.000000E-05   2.000000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +7.950000E-01      5.000000E-03     0       +2.00      1.000000E-06    0.000000E+00    5.000000E-02    1.000000E-02    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +1.341000E+00      3.000000E-03     0       +2.00      1.120000E-04    1.100000E-05    4.000000E-02    5.000000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +1.644000E+00      4.000000E-03     0       +2.00      3.440000E-04    3.200000E-05    4.200000E-02    5.000000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +2.356000E+00      4.000000E-03     0       +2.00      9.000000E-06    2.000000E-06    5.000000E-02    2.500000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +2.830000E+00      4.000000E-03     0       +2.00      1.660000E-04    1.600000E-05    4.600000E-02    5.000000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +3.386000E+00      6.000000E-03     0       +2.00      3.280000E-04    7.200000E-05    5.000000E-02    5.000000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +4.288000E+00      9.000000E-03     0       +2.00      9.300000E-05    8.000000E-06    4.800000E-02    5.000000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +5.152000E+00      1.000000E-02     0       +2.00      4.190000E-04    3.000000E-05    5.500000E-02    5.000000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +7.181000E+00      2.404000E-03     0       +2.00      1.680000E-04    1.000000E-06    6.000000E-02    3.000000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +8.260000E+00      2.765000E-03     0       +2.00      5.400000E-05    0.000000E+00    6.500000E-02    3.250000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +8.970000E+00      3.003000E-03     0       +2.00      1.760000E-04    1.000000E-06    7.000000E-02    3.500000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +9.370000E+00      3.137000E-03     0       +2.00      1.200000E-03    1.000000E-05    7.000000E-02    3.500000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +1.035000E+01      3.465000E-03     0       +2.00      1.120000E-04    1.000000E-06    5.000000E-02    2.500000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +1.089000E+01      3.645000E-03     0       +2.00      1.680000E-04    1.000000E-06    6.500000E-02    3.250000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +1.152000E+01      3.856000E-03     0       +2.00      8.500000E-05    1.000000E-06    5.000000E-02    2.500000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +1.215000E+01      4.067000E-03     0       +2.00      3.680000E-04    3.000000E-06    7.500000E-02    3.750000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +1.290000E+01      4.318000E-03     0       +2.00      1.120000E-04    1.000000E-06    6.000000E-02    3.000000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +1.442000E+01      4.827000E-03     0       +2.00      4.240000E-04    4.000000E-06    7.000000E-02    3.500000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +1.480000E+01      4.954000E-03     0       +2.00      6.200000E-05    1.000000E-06    5.000000E-02    2.500000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +1.596000E+01      5.343000E-03     0       +2.00      9.520000E-04    8.000000E-06    7.000000E-02    3.500000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
  +1.700000E+01      5.691000E-03     0       +2.00      2.940000E-04    2.000000E-06    5.000000E-02    2.500000E-03    +1.000000E-04   3.300000E-05    +0.000000E+00   0.000000E+00     evaluated 
