# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 08:29:59 2025
#                        
# Element                            : Pa
# Z                                  : 91
# A                                  : 238
# I                                  : 0
# Half-life                   [min. ]: 2.28 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.953679E+01 
# Emax2 (background)             [eV]: 4.969610E+02 
# Number of resonances (<Emax)       : 94
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 8.514190E+01 
# Ress Int. (n,g) (systematics)  [b.]: 5.908630E+01 
# MACS 30 keV (calculated)       [b.]: 1.076200E+00
# Westcott factor (calculated)       : 4.727890E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.122510E+07 
# Res. Int (n,el) (calculated)   [b.]: 2.878320E+04 
#
# Thermal  (n,f) xs              [b.]: 4.171260E+03 (Syst.) 
# Resonance Integral (n,f) xs    [b.]: 1.604810E+02
#
# Scattering radius              [fm]: 8.21 +/- 8.21 
#
# Average Gtotal   l=0           [eV]: 9.509570E-04 
# Average reduced (Gn^0) Gn l=0  [eV]: 4.415250E-04 
# Average Gg       l=0           [eV]: 2.601620E-07 
# Average level spacing D0 (l=0) [eV]: 2.382530E-01 
# Neutron strength function S0 (l=0) : 8.366930E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.539492E+00      9.080000E-04     0       +0.50      9.046289E-04    1.600000E-05    2.617262E-07    0.000000E+00    +6.606642E-05   4.800000E-05    +0.000000E+00   0.000000E+00      hfr  
  -3.569849E+00      7.140000E-04     0       +0.50      5.029186E-04    9.000000E-06    2.617262E-07    0.000000E+00    +6.041090E-06   4.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -3.496950E+00      6.990000E-04     0       +0.50      1.558593E-03    2.800000E-05    2.617262E-07    0.000000E+00    +2.626748E-05   1.900000E-05    +0.000000E+00   0.000000E+00      hfr  
  -3.129107E+00      6.260000E-04     0       +0.50      6.462584E-04    1.200000E-05    2.617262E-07    0.000000E+00    +1.536177E-05   1.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  -2.925509E+00      5.850000E-04     0       +0.50      4.503068E-05    1.000000E-06    2.617262E-07    0.000000E+00    +2.076617E-05   1.500000E-05    +0.000000E+00   0.000000E+00      hfr  
  -2.592997E+00      5.190000E-04     0       +0.50      1.907563E-03    3.400000E-05    2.617262E-07    0.000000E+00    +5.348922E-05   3.800000E-05    +0.000000E+00   0.000000E+00      hfr  
  -2.291620E+00      4.580000E-04     0       +0.50      1.032860E-04    2.000000E-06    2.617262E-07    0.000000E+00    +3.412634E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -1.890940E+00      3.780000E-04     0       +0.50      3.604543E-03    6.500000E-05    2.617262E-07    0.000000E+00    +8.029168E-05   5.800000E-05    +0.000000E+00   0.000000E+00      hfr  
  -1.263140E+00      2.530000E-04     0       +0.50      9.893924E-04    1.800000E-05    2.617262E-07    0.000000E+00    +9.510653E-06   7.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  -3.259299E-01      6.500000E-05     0       +0.50      1.512362E-06    0.000000E+00    2.617262E-07    0.000000E+00    +3.000554E-05   2.200000E-05    +0.000000E+00   0.000000E+00      hfr  
  -1.239283E-07      0.000000E+00     0       +0.50      7.864421E-05    1.000000E-06    2.617262E-07    0.000000E+00    +1.275998E-05   9.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +5.064528E-02      1.000000E-05     0       +0.50      3.969100E-04    7.000000E-06    2.617262E-07    0.000000E+00    +1.810717E-05   1.300000E-05    +0.000000E+00   0.000000E+00      hfr  
  +3.345467E-01      6.700000E-05     0       +0.50      6.002418E-04    1.100000E-05    2.617262E-07    0.000000E+00    +4.697132E-06   3.000000E-06    +0.000000E+00   0.000000E+00     radiator 
  +5.231939E-01      1.050000E-04     0       +0.50      3.687676E-04    7.000000E-06    2.617262E-07    0.000000E+00    +2.787253E-06   2.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +1.284396E+00      2.570000E-04     0       +0.50      1.388319E-03    2.500000E-05    2.617262E-07    0.000000E+00    +3.333407E-05   2.400000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.407000E+00      2.810000E-04     0       +0.50      3.858462E-03    6.900000E-05    2.617262E-07    0.000000E+00    +2.901006E-05   2.100000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.608138E+00      3.220000E-04     0       +0.50      6.060165E-03    1.090000E-04    2.617262E-07    0.000000E+00    +2.000490E-05   1.400000E-05    +0.000000E+00   0.000000E+00      hfr  
  +1.858001E+00      3.720000E-04     0       +0.50      3.544383E-06    0.000000E+00    2.617262E-07    0.000000E+00    +6.945294E-05   5.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  +2.111450E+00      4.220000E-04     0       +0.50      3.049589E-03    5.500000E-05    2.617262E-07    0.000000E+00    +1.696739E-06   1.000000E-06    +0.000000E+00   0.000000E+00      hfr  
  +2.141098E+00      4.280000E-04     0       +0.50      1.284926E-03    2.300000E-05    2.617262E-07    0.000000E+00    +1.411907E-05   1.000000E-05    +0.000000E+00   0.000000E+00      hfr  
  +2.373682E+00      4.750000E-04     0       +0.50      2.588298E-04    5.000000E-06    2.617262E-07    0.000000E+00    +3.763198E-05   2.700000E-05    +0.000000E+00   0.000000E+00      hfr  
