# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 08:26:40 2025
#                        
# Element                            : Pb
# Z                                  : 82
# A                                  : 192
# I                                  : 0
# Half-life                   [min. ]: 3.5 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.813626E+01 
# Emax2 (background)             [eV]: 1.665480E+03 
# Number of resonances (<Emax)       : 16
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 8.351130E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.374600E+03 
# MACS 30 keV (calculated)       [b.]: 1.560600E+00
# Westcott factor (calculated)       : 9.972200E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 5.664080E+00 
# Res. Int (n,el) (calculated)   [b.]: 5.846940E+01 
#
# Scattering radius              [fm]: 7.65 +/- 7.65 
#
# Average Gtotal   l=0           [eV]: 6.441810E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.860270E-04 
# Average Gg       l=0           [eV]: 6.353060E-02 
# Average level spacing D0 (l=0) [eV]: 2.724020E+00 
# Neutron strength function S0 (l=0) : 1.125020E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.553004E+00      3.110000E-04     0       +0.50      4.967971E-04    6.000000E-06    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.510771E+00      5.020000E-04     0       +0.50      9.157206E-04    1.000000E-05    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.800450E+00      9.600000E-04     0       +0.50      2.207788E-03    2.500000E-05    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.567315E+00      1.713000E-03     0       +0.50      1.988320E-03    2.200000E-05    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.120803E+01      2.242000E-03     0       +0.50      3.706858E-03    4.200000E-05    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.337961E+01      2.676000E-03     0       +0.50      6.545146E-06    0.000000E+00    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.606871E+01      3.214000E-03     0       +0.50      1.089725E-03    1.200000E-05    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.845038E+01      3.690000E-03     0       +0.50      2.094312E-05    0.000000E+00    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.284225E+01      4.568000E-03     0       +0.50      1.338925E-03    1.500000E-05    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.514576E+01      5.029000E-03     0       +0.50      1.145529E-04    1.000000E-06    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.807717E+01      5.615000E-03     0       +0.50      1.455921E-04    2.000000E-06    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.951209E+01      5.902000E-03     0       +0.50      6.140559E-04    7.000000E-06    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.184993E+01      6.370000E-03     0       +0.50      2.690887E-04    3.000000E-06    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.382300E+01      6.765000E-03     0       +0.50      3.604912E-04    4.000000E-06    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.596648E+01      7.193000E-03     0       +0.50      1.432952E-05    0.000000E+00    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.813626E+01      7.627000E-03     0       +0.50      5.200737E-04    6.000000E-06    6.353056E-02    2.867600E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.833642E+01      7.667000E-03     1       +0.50      2.575575E-06    0.000000E+00    6.313649E-02    2.849800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.120699E+01      8.241000E-03     1       +0.50      2.890644E-06    0.000000E+00    6.313649E-02    2.849800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.162611E+01      8.325000E-03     1       +0.50      4.128556E-08    0.000000E+00    6.313649E-02    2.849800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.255589E+01      8.511000E-03     1       +0.50      6.970942E-07    0.000000E+00    6.313649E-02    2.849800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.265818E+01      8.532000E-03     1       +0.50      4.441348E-07    0.000000E+00    6.313649E-02    2.849800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.432960E+01      8.866000E-03     1       +0.50      7.520147E-06    0.000000E+00    6.313649E-02    2.849800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
