# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 20:12:38 2025
#                        
# Element                            : Pb
# Z                                  : 82
# A                                  : 203
# I                                  : 1
# Half-life                   [sec. ]: 6.21 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.672159E+02 
# Emax2 (background)             [eV]: 2.448860E+02 
# Number of resonances (<Emax)       : 35
# Number of resonances (<Emax2)      : 43
# Thermal (n,g) xs (systematics) [b.]: 4.408470E+01 
# Ress Int. (n,g) (systematics)  [b.]: 4.752780E+01 
# MACS 30 keV (calculated)       [b.]: 8.165900E-01
# Westcott factor (calculated)       : 1.000410E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.791580E+01 
# Res. Int (n,el) (calculated)   [b.]: 9.444130E+01 
#
# Scattering radius              [fm]: 7.79 +/- 7.79 
#
# Average Gtotal   l=0           [eV]: 9.181050E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.663050E-01 
# Average Gg       l=0           [eV]: 9.180040E-01 
# Neutron strength function S0 (l=0) : 1.616850E-01 
#
# Average Gtotal   l=1           [eV]: 1.109070E+00 
# Average reduced (Gn^1) Gn l=1  [eV]: 3.665280E-01 
# Average Gg       l=1           [eV]: 1.109070E+00 
# Average level spacing D1 (l=1) [eV]: 1.393470E+01 
# Neutron strength function S1 (l=1) : 2.176630E-03 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.177598E+02      4.355200E-02     0       +6.00      4.062575E-03    5.800000E-05    1.054630E+00    6.013850E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.882827E+02      3.765700E-02     0       +6.00      1.585692E+00    2.260500E-02    1.054630E+00    6.013850E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.789003E+02      3.578000E-02     0       +6.00      2.467107E-03    3.500000E-05    1.054630E+00    6.013850E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.738180E+02      3.476400E-02     0       +6.00      2.548980E+00    3.633800E-02    1.054630E+00    6.013850E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.685445E+02      3.370900E-02     0       +7.00      2.294660E+00    3.271200E-02    9.870765E-01    5.628640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.672159E+02      3.344300E-02     0       +7.00      1.807316E+00    2.576500E-02    9.870765E-01    5.628640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.614042E+02      3.228100E-02     1       +5.00      2.326203E-04    3.000000E-06    1.147174E+00    6.541560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.547908E+02      3.095800E-02     1       +5.00      3.064922E-04    4.000000E-06    1.147174E+00    6.541560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.537473E+02      3.074900E-02     1       +5.00      1.377207E-03    2.000000E-05    1.147174E+00    6.541560E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.511261E+02      3.022500E-02     1       +6.00      7.260437E-06    0.000000E+00    1.054565E+00    6.013480E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.478337E+02      2.956700E-02     1       +6.00      1.133307E-04    2.000000E-06    1.054565E+00    6.013480E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.152525E+02      2.305100E-02     1       +6.00      6.002914E-04    9.000000E-06    1.054565E+00    6.013480E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.122700E+02      2.245400E-02     1       +6.00      1.196933E-06    0.000000E+00    1.054565E+00    6.013480E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.227323E+01      1.845500E-02     1       +6.00      2.963204E-05    0.000000E+00    1.054565E+00    6.013480E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.053806E+01      1.610800E-02     1       +6.00      2.076222E-03    3.000000E-05    1.054565E+00    6.013480E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.448719E+01      1.489700E-02     1       +7.00      7.549045E-04    1.100000E-05    9.870765E-01    5.628640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.832447E+01      1.366500E-02     1       +7.00      2.172568E-07    0.000000E+00    9.870765E-01    5.628640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.668319E+01      1.333700E-02     1       +7.00      3.445456E-04    5.000000E-06    9.870765E-01    5.628640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.576208E+01      1.315200E-02     1       +7.00      6.330923E-07    0.000000E+00    9.870765E-01    5.628640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.389526E+01      8.779000E-03     1       +8.00      2.284687E-03    3.300000E-05    9.180042E-01    5.234760E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.712637E+01      3.425000E-03     1       +8.00      3.865487E-08    0.000000E+00    9.180042E-01    5.234760E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +2.565334E+01      5.131000E-03     1       +8.00      1.004515E-04    1.000000E-06    9.180042E-01    5.234760E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +5.659333E+01      1.131900E-02     2       +4.00      2.327035E-08    0.000000E+00    1.182187E+00    6.741220E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.597572E+01      1.319500E-02     2       +4.00      9.966230E-10    0.000000E+00    1.182187E+00    6.741220E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.700024E+01      1.340000E-02     2       +4.00      2.868598E-09    0.000000E+00    1.182187E+00    6.741220E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.105801E+01      1.421200E-02     2       +4.00      3.294913E-08    0.000000E+00    1.182187E+00    6.741220E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.766015E+01      1.553200E-02     2       +5.00      1.046948E-09    0.000000E+00    1.121143E+00    6.393130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.347186E+01      1.669400E-02     2       +5.00      1.982862E-08    0.000000E+00    1.121143E+00    6.393130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.112870E+01      1.822600E-02     2       +5.00      1.404436E-09    0.000000E+00    1.121143E+00    6.393130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.374991E+01      1.875000E-02     2       +5.00      6.974007E-08    0.000000E+00    1.121143E+00    6.393130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.704232E+01      1.940800E-02     2       +5.00      3.558265E-08    0.000000E+00    1.121143E+00    6.393130E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.296235E+02      2.592500E-02     2       +6.00      9.519707E-08    0.000000E+00    1.054630E+00    6.013850E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.326060E+02      2.652100E-02     2       +6.00      9.459250E-08    0.000000E+00    1.054630E+00    6.013850E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.526028E+02      3.052100E-02     2       +7.00      1.618870E-08    0.000000E+00    9.870766E-01    5.628640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.643379E+02      3.286800E-02     2       +7.00      1.490340E-08    0.000000E+00    9.870766E-01    5.628640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.703888E+02      3.407800E-02     2       +7.00      3.113932E-09    0.000000E+00    9.870766E-01    5.628640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.765515E+02      3.531000E-02     2       +7.00      5.203278E-09    0.000000E+00    9.870766E-01    5.628640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.778958E+02      3.557900E-02     2       +8.00      2.334251E-09    0.000000E+00    9.180042E-01    5.234760E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.781928E+02      3.563900E-02     2       +8.00      2.602230E-07    0.000000E+00    9.180042E-01    5.234760E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.791139E+02      3.582300E-02     2       +9.00      7.199992E-09    0.000000E+00    8.491644E-01    4.842220E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.308815E+02      4.617600E-02     2       +9.00      2.640811E-09    0.000000E+00    8.491644E-01    4.842220E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.381539E+02      4.763100E-02     2       +9.00      1.058452E-09    0.000000E+00    8.491644E-01    4.842220E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.416064E+02      4.832100E-02     2       +9.00      3.082287E-08    0.000000E+00    8.491644E-01    4.842220E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
