# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:30:25 2025
#                        
# Element                            : Pd
# Z                                  : 46
# A                                  : 97
# I                                  : 0
# Half-life                   [min. ]: 3.1 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.539333E+02 
# Emax2 (background)             [eV]: 1.000000E+03 
# Number of resonances (<Emax)       : 41
# Number of resonances (<Emax2)      : 62
# Thermal (n,g) xs (systematics) [b.]: 9.567640E+00 
# Ress Int. (n,g) (systematics)  [b.]: 6.188560E+01 
# MACS 30 keV (calculated)       [b.]: 1.107000E-01
# Westcott factor (calculated)       : 1.001090E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 1.385350E+01 
# Res. Int (n,el) (calculated)   [b.]: 9.085290E+01 
#
# Scattering radius              [fm]: 6.11 +/- 6.11 
#
# Average Gtotal   l=0           [eV]: 6.755450E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.462220E+01 
# Average Gg       l=0           [eV]: 6.458020E-01 
# Average level spacing D0 (l=0) [eV]: 1.513110E+02 
# Neutron strength function S0 (l=0) : 5.424180E-02 
#
# Average Gtotal   l=1           [eV]: 7.013570E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 1.321080E+01 
# Average Gg       l=1           [eV]: 7.013510E-01 
# Average level spacing D1 (l=1) [eV]: 7.565550E+01 
# Neutron strength function S1 (l=1) : 5.009700E-03 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -8.429038E+02      1.685810E-01     0       +2.00      6.890827E+00    6.944600E-02    6.753896E-01    2.722640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.839901E+02      1.367980E-01     0       +2.00      1.249157E+01    1.258910E-01    6.753896E-01    2.722640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.687417E+02      1.337480E-01     0       +2.00      1.305352E-01    1.316000E-03    6.753896E-01    2.722640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.561420E+02      1.312280E-01     0       +2.00      1.068140E+01    1.076480E-01    6.753896E-01    2.722640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.290079E+02      1.258020E-01     0       +2.00      1.645127E-01    1.658000E-03    6.753896E-01    2.722640E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.824414E+02      1.164880E-01     0       +3.00      4.031967E+00    4.063400E-02    6.402453E-01    2.580970E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.776360E+02      1.155270E-01     0       +3.00      5.857053E-03    5.900000E-05    6.402453E-01    2.580970E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.984226E+02      9.968500E-02     0       +3.00      4.352071E+00    4.386000E-02    6.402453E-01    2.580970E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.959260E+02      9.918500E-02     0       +3.00      2.918780E+00    2.941600E-02    6.402453E-01    2.580970E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.888506E+02      9.777000E-02     0       +3.00      6.423948E-03    6.500000E-05    6.402453E-01    2.580970E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
