# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:41:01 2025
#                        
# Element                            : Pd
# Z                                  : 46
# A                                  : 118
# I                                  : 0
# Half-life                   [sec. ]: 1.9 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 5.275585E+03 
# Emax2 (background)             [eV]: 4.944540E+05 
# Number of resonances (<Emax)       : 27
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 1.996400E+00 
# Ress Int. (n,g) (systematics)  [b.]: 1.473500E+00 
# MACS 30 keV (calculated)       [b.]: 4.967000E-03
# Westcott factor (calculated)       : 9.997700E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 8.294240E+00 
# Res. Int (n,el) (calculated)   [b.]: 6.274190E+01 
#
# Scattering radius              [fm]: 6.52 +/- 6.52 
#
# Average Gtotal   l=0           [eV]: 7.008840E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.912560E-04 
# Average Gg       l=0           [eV]: 2.725320E-02 
# Average level spacing D0 (l=0) [eV]: 4.058140E+02 
# Neutron strength function S0 (l=0) : 2.099780E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.929990E+03      9.859980E-01     0       +0.50      1.460617E-02    2.460000E-04    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.608131E+03      9.216260E-01     0       +0.50      1.892274E-01    3.187000E-03    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.052217E+03      8.104430E-01     0       +0.50      5.311851E-03    8.900000E-05    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.926013E+03      7.852030E-01     0       +0.50      5.478768E-03    9.200000E-05    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.150334E+03      6.300670E-01     0       +0.50      7.149090E-02    1.204000E-03    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.966896E+03      5.933790E-01     0       +0.50      3.554694E-02    5.990000E-04    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.650638E+03      5.301280E-01     0       +0.50      5.291963E-02    8.910000E-04    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.025318E+03      4.050640E-01     0       +0.50      2.318754E-01    3.905000E-03    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.356138E+03      2.712280E-01     0       +0.50      2.982325E-01    5.023000E-03    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.042455E+03      2.084910E-01     0       +0.50      2.293738E-02    3.860000E-04    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.959275E+02      1.591850E-01     0       +0.50      1.483266E-01    2.498000E-03    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.773337E+02      5.546700E-02     0       +0.50      4.674184E-01    7.872000E-03    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.632594E+01      1.526500E-02     0       +0.50      9.881171E-02    1.664000E-03    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.893531E+01      5.787000E-03     0       +0.50      6.883027E-02    1.159000E-03    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.805540E+02      5.611100E-02     0       +0.50      2.396362E-02    4.040000E-04    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.358395E+02      8.716800E-02     0       +0.50      1.406325E-03    2.400000E-05    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.491788E+02      1.498360E-01     0       +0.50      1.145189E-02    1.930000E-04    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.417521E+03      2.835040E-01     0       +0.50      3.543774E-02    5.970000E-04    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.905457E+03      5.810910E-01     0       +0.50      1.079653E-02    1.820000E-04    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.153851E+03      6.307700E-01     0       +0.50      5.101635E-02    8.590000E-04    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.474053E+03      6.948110E-01     0       +0.50      1.073048E-01    1.807000E-03    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.574922E+03      7.149840E-01     0       +0.50      6.345029E-04    1.100000E-05    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +3.762633E+03      7.525270E-01     0       +0.50      1.350399E-01    2.274000E-03    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.876830E+03      7.753660E-01     0       +0.50      1.971450E-05    0.000000E+00    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.224715E+03      8.449430E-01     0       +0.50      2.661351E-03    4.500000E-05    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.870156E+03      9.740310E-01     0       +0.50      1.536315E-02    2.590000E-04    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.274558E+03      1.054912E+00     0       +0.50      1.990126E-01    3.352000E-03    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.275585E+03      1.055117E+00     0       +0.50      5.584975E-03    9.400000E-05    2.725316E-02    1.835900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.997532E+03      1.199506E+00     1       +0.50      1.470881E-01    2.477000E-03    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.526069E+03      1.305214E+00     1       +0.50      5.719452E-01    9.632000E-03    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.159494E+03      1.431899E+00     1       +0.50      1.155260E-01    1.946000E-03    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.897297E+03      1.579459E+00     1       +0.50      3.586081E-02    6.040000E-04    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.928883E+03      1.585777E+00     1       +0.50      2.663302E-01    4.485000E-03    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.439683E+03      1.687937E+00     1       +0.50      2.330857E-01    3.926000E-03    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.917599E+03      1.783520E+00     1       +0.50      5.373162E-02    9.050000E-04    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.582110E+03      1.916422E+00     1       +0.50      6.146180E-02    1.035000E-03    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.808054E+03      1.961611E+00     1       +0.50      1.178805E-01    1.985000E-03    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.971012E+03      1.994202E+00     1       +0.50      1.075904E-02    1.810000E-04    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.025630E+04      2.051260E+00     1       +0.50      1.850947E-02    3.120000E-04    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.093658E+04      2.187316E+00     1       +0.50      4.368815E-01    7.358000E-03    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.145569E+04      2.291138E+00     1       +0.50      1.165138E-02    1.960000E-04    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.154552E+04      2.309104E+00     1       +0.50      2.102476E-01    3.541000E-03    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.167677E+04      2.335354E+00     1       +0.50      7.510353E-02    1.265000E-03    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.207223E+04      2.414446E+00     1       +0.50      1.779003E-01    2.996000E-03    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.211210E+04      2.422420E+00     1       +0.50      3.963920E-02    6.680000E-04    3.068781E-02    2.067300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
