# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 19:56:11 2025
#                        
# Element                            : Pm
# Z                                  : 61
# A                                  : 134
# I                                  : 1
# Half-life                   [sec. ]: 5 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 3.596969E+00 
# Emax2 (background)             [eV]: 1.147080E+02 
# Number of resonances (<Emax)       : 22
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 6.076050E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.436610E+01 
# MACS 30 keV (calculated)       [b.]: 3.824800E-02
# Westcott factor (calculated)       : 1.041040E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.770710E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.090990E+01 
#
# Scattering radius              [fm]: 6.80 +/- 6.80 
#
# Average Gtotal   l=0           [eV]: 2.403840E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 7.338830E-07 
# Average Gg       l=0           [eV]: 2.403830E-01 
# Average level spacing D0 (l=0) [eV]: 1.712840E-01 
# Neutron strength function S0 (l=0) : 1.984170E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.244814E-01      2.500000E-05     0       +1.50      1.069446E-07    0.000000E+00    2.420882E-01    9.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.604821E-02      1.300000E-05     0       +1.50      3.710658E-07    0.000000E+00    2.420882E-01    9.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.952440E-01      3.900000E-05     0       +1.50      7.962813E-07    0.000000E+00    2.420882E-01    9.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.035726E-01      8.100000E-05     0       +1.50      7.237595E-08    0.000000E+00    2.420882E-01    9.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.108577E-01      1.420000E-04     0       +1.50      2.933182E-06    0.000000E+00    2.420882E-01    9.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.825731E-01      1.770000E-04     0       +1.50      6.960360E-07    0.000000E+00    2.420882E-01    9.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.081721E+00      2.160000E-04     0       +1.50      1.710487E-07    0.000000E+00    2.420882E-01    9.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.319932E+00      2.640000E-04     0       +1.50      4.364102E-06    0.000000E+00    2.420882E-01    9.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.513409E+00      3.030000E-04     0       +1.50      1.381481E-06    0.000000E+00    2.420882E-01    9.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.625213E+00      3.250000E-04     0       +1.50      1.091579E-07    0.000000E+00    2.420882E-01    9.919100E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
