# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 03:32:18 2025
#                        
# Element                            : Pm
# Z                                  : 61
# A                                  : 145
# I                                  : 0
# Half-life                   [years]: 17.7131 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.156683E+02 
# Emax2 (background)             [eV]: 1.000000E+03 
# Number of resonances (<Emax)       : 83
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 3.319820E+01 
# Ress Int. (n,g) (systematics)  [b.]: 1.011490E+02 
# MACS 30 keV (calculated)       [b.]: 9.204700E-01
# Westcott factor (calculated)       : 9.419600E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 6.205540E+00 
# Res. Int (n,el) (calculated)   [b.]: 3.272810E+01 
#
# Scattering radius              [fm]: 6.98 +/- 0.42 
#
# Average Gtotal   l=0           [eV]: 7.459750E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.131870E-06 
# Average Gg       l=0           [eV]: 7.459220E-02 
# Average level spacing D0 (l=0) [eV]: 1.752550E+00 
# Neutron strength function S0 (l=0) : 3.130060E-07 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -5.932029E+01      1.186400E-02     0       +2.00      3.172937E-07    0.000000E+00    7.696024E-02    3.646900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.698484E+01      1.139700E-02     0       +2.00      8.124822E-07    0.000000E+00    7.696024E-02    3.646900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.306944E+01      8.614000E-03     0       +2.00      8.588250E-11    0.000000E+00    7.696024E-02    3.646900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -4.046904E+01      8.094000E-03     0       +2.00      7.999263E-06    0.000000E+00    7.696024E-02    3.646900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.910014E+01      7.820000E-03     0       +2.00      1.355970E-06    0.000000E+00    7.696024E-02    3.646900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.510826E+01      7.022000E-03     0       +2.00      1.323125E-05    0.000000E+00    7.696024E-02    3.646900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.305702E+01      4.611000E-03     0       +2.00      1.870148E-06    0.000000E+00    7.696024E-02    3.646900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.977415E+01      3.955000E-03     0       +2.00      3.773767E-08    0.000000E+00    7.696024E-02    3.646900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.818446E+01      3.637000E-03     0       +2.00      1.986491E-06    0.000000E+00    7.696024E-02    3.646900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.623521E+01      3.247000E-03     0       +2.00      6.818611E-06    0.000000E+00    7.696024E-02    3.646900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
