# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 04:16:22 2025
#                        
# Element                            : Pm
# Z                                  : 61
# A                                  : 159
# I                                  : 0
# Half-life                   [sec. ]: 1.49 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 4.150235E+02 
# Emax2 (background)             [eV]: 2.975650E+04 
# Number of resonances (<Emax)       : 21
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.518010E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.656800E+01 
# MACS 30 keV (calculated)       [b.]: 1.453500E-01
# Westcott factor (calculated)       : 9.992600E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 2.472570E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.408600E+02 
#
# Scattering radius              [fm]: 7.19 +/- 7.19 
#
# Average Gtotal   l=0           [eV]: 1.115090E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 5.048890E-03 
# Average Gg       l=0           [eV]: 3.123940E-02 
# Average level spacing D0 (l=0) [eV]: 2.964450E+01 
# Neutron strength function S0 (l=0) : 1.018510E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.413125E+02      4.826200E-02     0       +2.00      9.676002E-02    1.722000E-03    3.245337E-02    2.310700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.773731E+02      3.547500E-02     0       +2.00      8.176359E-02    1.455000E-03    3.245337E-02    2.310700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.554492E+02      3.109000E-02     0       +2.00      2.560717E-01    4.558000E-03    3.245337E-02    2.310700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.187239E+02      2.374500E-02     0       +2.00      2.921282E-03    5.200000E-05    3.245337E-02    2.310700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.012012E+02      2.024000E-02     0       +2.00      5.825998E-02    1.037000E-03    3.245337E-02    2.310700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.179322E+01      1.035900E-02     0       +2.00      4.628360E-01    8.239000E-03    3.245337E-02    2.310700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.786341E+01      3.573000E-03     0       +2.00      3.277121E-01    5.833000E-03    3.245337E-02    2.310700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.341724E+01      6.683000E-03     0       +2.00      4.247820E-03    7.600000E-05    3.245337E-02    2.310700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.472033E+01      1.494400E-02     0       +2.00      8.286670E-03    1.480000E-04    3.245337E-02    2.310700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.087859E+02      2.175700E-02     0       +2.00      1.016901E-01    1.810000E-03    3.245337E-02    2.310700E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
