# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Dec  3 00:32:51 2025
#                        
# Element                            : Po
# Z                                  : 84
# A                                  : 202
# I                                  : 0
# Half-life                   [min. ]: 44.6 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.927175E+02 
# Emax2 (background)             [eV]: 3.612580E+03 
# Number of resonances (<Emax)       : 76
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 4.036910E+01 
# Ress Int. (n,g) (systematics)  [b.]: 3.279090E+02 
# MACS 30 keV (calculated)       [b.]: 6.266400E-01
# Westcott factor (calculated)       : 1.043800E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 7.269010E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.825150E+01 
#
# Scattering radius              [fm]: 7.78 +/- 7.78 
#
# Average Gtotal   l=0           [eV]: 9.250190E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.845430E-06 
# Average Gg       l=0           [eV]: 9.247700E-02 
# Average level spacing D0 (l=0) [eV]: 4.242280E+00 
# Neutron strength function S0 (l=0) : 6.804510E-07 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.554921E+01      7.110000E-03     0       +0.50      8.641320E-07    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.789137E+01      5.578000E-03     0       +0.50      3.809533E-06    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.686769E+01      5.374000E-03     0       +0.50      2.200399E-07    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.233680E+01      4.467000E-03     0       +0.50      4.627090E-07    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.751759E+01      3.504000E-03     0       +0.50      1.289448E-07    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.611952E+01      3.224000E-03     0       +0.50      3.275519E-05    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.231318E+01      2.463000E-03     0       +0.50      7.861738E-06    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.246691E-01      1.250000E-04     0       +0.50      8.677066E-06    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.935342E-01      1.590000E-04     0       +0.50      3.962236E-05    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.231318E+01      2.463000E-03     0       +0.50      1.532590E-05    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.304968E+01      2.610000E-03     0       +0.50      2.542872E-05    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.857797E+01      5.716000E-03     0       +0.50      4.823021E-06    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.269535E+01      8.539000E-03     0       +0.50      2.785414E-05    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.706286E+01      9.413000E-03     0       +0.50      3.333479E-05    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +4.755341E+01      9.511000E-03     0       +0.50      5.042519E-08    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +5.360672E+01      1.072100E-02     0       +0.50      8.631805E-07    0.000000E+00    9.247702E-02    4.587800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
